source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
propsec2,double,numeric,,MAKE PROPERTY MORE SECURE (QQ1C),F9.2,,,TRUE,Retained
watch1,double,numeric,,MORE NEIGHBORHOOD WATCH SCHEMES (Q1E),F9.2,,,TRUE,Retained
watch2,double,numeric,,MORE NEIGHBORHOOD WATCH SCHEMES (QQ1E),F9.2,,,TRUE,Retained
patrols1,double,numeric,,PUBLIC MORE ACTIVE: STREET PATROLS (Q3),F9.2,,,TRUE,Retained
patrols2,double,numeric,,PUBLIC MORE ACTIVE: STREET PATROLS (QQ3),F9.2,,,TRUE,Retained
outprsn1,double,numeric,,MORE OFFENDERS OUT OF PRISON (Q12A),F9.2,,,TRUE,Retained
outprsn2,double,numeric,,MORE OFFENDERS OUT OF PRISON (QQ12A),F9.2,,,TRUE,Retained
comserv1,double,numeric,,MORE OFFENDERS: COMMUNITY SERV. (Q12B),F9.2,,,TRUE,Retained
comserv2,double,numeric,,MORE OFFENDERS: COMMUNITY SERV. (QQ12B),F9.2,,,TRUE,Retained
milserv1,double,numeric,,MORE OFFENDERS: MILITARY SERV. (Q12C),F9.2,,,TRUE,Retained
milserv2,double,numeric,,MORE OFFENDERS: MILITARY SERV. (QQ12C),F9.2,,,TRUE,Retained
train1,double,numeric,,MORE OFFENDERS GET TRAINING (Q12D),F9.2,,,TRUE,Retained
train2,double,numeric,,MORE OFFENDERS GET TRAINING (QQ12D),F9.2,,,TRUE,Retained
morprsn1,double,numeric,,MORE OFFENDERS TO PRISON (Q1G),F9.2,,,TRUE,Retained
morprsn2,double,numeric,,MORE OFFENDERS TO PRISON (QQ1G),F9.2,,,TRUE,Retained
stiffer1,double,numeric,,STIFFER SENTENCES GENERALLY (Q1I),F9.2,,,TRUE,Retained
stiffer2,double,numeric,,STIFFER SENTENCES GENERALLY (QQ1I),F9.2,,,TRUE,Retained
fewpris1,double,numeric,,FEWER PEOPLE TO PRISON (Q8A),F9.2,,,TRUE,Retained
fewpris2,double,numeric,,FEWER PEOPLE TO PRISON (QQ8A),F9.2,,,TRUE,Retained
ptough1,double,numeric,,PRISON LIFE TOUGHER (Q8B),F9.2,,,TRUE,Retained
ptough2,double,numeric,,PRISON LIFE TOUGHER (QQ8B),F9.2,,,TRUE,Retained
pr_only1,double,numeric,,ONLY DANGEROUS CRIMINALS TO PRIS. (Q8C),F9.2,,,TRUE,Retained
pr_only2,double,numeric,,ONLY DANGEROUS CRIMINALS TO PRIS. (QQ8C),F9.2,,,TRUE,Retained
life1,double,numeric,,ALL MURDERERS LIFE SENTENCE (Q8D),F9.2,,,TRUE,Retained
life2,double,numeric,,ALL MURDERERS LIFE SENTENCE (QQ8D),F9.2,,,TRUE,Retained
s_tough1,double,numeric,,TOUGHER SENTENCES (Q8E),F9.2,,,TRUE,Retained
s_tough2,double,numeric,,TOUGHER SENTENCES (QQ8E),F9.2,,,TRUE,Retained
lifmean1,double,numeric,,LIFE SENTENCE MEANS LIFE (Q8F),F9.2,,,TRUE,Retained
lifmean2,double,numeric,,LIFE SENTENCE MEANS LIFE (QQ8F),F9.2,,,TRUE,Retained
refpris1,double,numeric,,TRY HARDER TO REFORM PRISONERS (Q8G),F9.2,,,TRUE,Retained
refpris2,double,numeric,,TRY HARDER TO REFORM PRISONERS (QQ8G),F9.2,,,TRUE,Retained
morecop1,double,numeric,,MORE POLICE ON THE BEAT (Q1J),F9.2,,,TRUE,Retained
morecop2,double,numeric,,MORE POLICE ON THE BEAT (QQ1J),F9.2,,,TRUE,Retained
copgun1,double,numeric,,ON-DUTY POLICE CARRY GUNS (Q7C),F9.2,,,TRUE,Retained
copgun2,double,numeric,,ON-DUTY POLICE CARRY GUNS (QQ7C),F9.2,,,TRUE,Retained
compl1,double,numeric,,INDEP. INVESTIG. POLICE COMPLAIN (Q7D),F9.2,,,TRUE,Retained
compl2,double,numeric,,INDEP. INVESTIG. POLICE COMPLAIN (QQ7D),F9.2,,,TRUE,Retained
