model,term,estimate,std_error,n,polls,groups,singular,convergence_message
main,(Intercept),0.031770268524280304,0.04276358220174005,5379,21,382,FALSE,
main,k1,0.47825442853152456,0.02475228853131669,5379,21,382,FALSE,
main,educationHigh school,0.1288688641179204,0.01606386785678936,5379,21,382,FALSE,
main,educationBA or more,0.1924284738593634,0.018188985349274156,5379,21,382,FALSE,
main,age_decades,-0.00531143898245192,0.001812544084924839,5379,21,382,FALSE,
main,extremity,0.004678101346174236,0.017346257723538098,5379,21,382,FALSE,
main,group_size,3.005108032887923e-4,0.001196051387555828,5379,21,382,FALSE,
main,group_k1,0.09586393362135495,0.05251657138242252,5379,21,382,FALSE,
main,heterogeneity,0.0689827839999797,0.08039018381470751,5379,21,382,FALSE,
main,female,-0.029744542926738567,0.023095046474772174,5379,21,382,FALSE,
main,p_female,-0.012977705795509085,0.035565264860155335,5379,21,382,FALSE,
main,online,-0.11039799440484374,0.027433865999261304,5379,21,382,FALSE,
main,poll_k1,0.5249011272327893,0.09098795481139439,5379,21,382,FALSE,
main,k1:educationHigh school,-0.05373097439212591,0.02946995608715453,5379,21,382,FALSE,
main,k1:educationBA or more,-0.09198773792099361,0.03164602491481719,5379,21,382,FALSE,
main,female:p_female,0.042166766033760635,0.04469279276615907,5379,21,382,FALSE,
minority,(Intercept),0.055097515344431386,0.04895507269159783,4739,18,333,FALSE,
minority,k1,0.521713742488047,0.027797314834286227,4739,18,333,FALSE,
minority,educationHigh school,0.14419575802526638,0.01769386487618026,4739,18,333,FALSE,
minority,educationBA or more,0.215457093425444,0.019894466583917532,4739,18,333,FALSE,
minority,age_decades,-0.005812727370556489,0.0018626860799856228,4739,18,333,FALSE,
minority,extremity,-0.0037699445614998448,0.017419532582891358,4739,18,333,FALSE,
minority,group_size,2.9261634241394365e-4,0.0012029574766975221,4739,18,333,FALSE,
minority,group_k1,0.05248949967017207,0.05351465593577492,4739,18,333,FALSE,
minority,heterogeneity,0.06786424378296958,0.08322808684231268,4739,18,333,FALSE,
minority,female,-0.05170546484279415,0.024523377842914407,4739,18,333,FALSE,
minority,p_female,-0.01783798672969516,0.03626712494937285,4739,18,333,FALSE,
minority,online,-0.10687873386076645,0.02853127536789965,4739,18,333,FALSE,
minority,poll_k1,0.5259777000890951,0.09437629383520152,4739,18,333,FALSE,
minority,minority,-0.03271692737889672,0.01507355519517722,4739,18,333,FALSE,
minority,p_minority,-0.0322298701430123,0.03524060152130478,4739,18,333,FALSE,
minority,k1:educationHigh school,-0.09857748141384677,0.03200369269887003,4739,18,333,FALSE,
minority,k1:educationBA or more,-0.14546190418848345,0.03412672820567457,4739,18,333,FALSE,
minority,female:p_female,0.0873580548065595,0.04665586628471443,4739,18,333,FALSE,
minority,minority:p_minority,-0.040340390515243234,0.05036692526707767,4739,18,333,FALSE,
briefing,(Intercept),0.48494137555228883,0.10784570871866501,856,3,68,FALSE,
briefing,k1,0.44434937078936393,0.16715939079177583,856,3,68,FALSE,
briefing,educationHigh school,0.09013751259587645,0.05765320267781662,856,3,68,FALSE,
briefing,educationBA or more,0.15043159686392768,0.056876683161494836,856,3,68,FALSE,
briefing,age_decades,-0.013958429275176772,0.003944484047870024,856,3,68,FALSE,
briefing,extremity,-0.018938469616232294,0.07217493518514745,856,3,68,FALSE,
briefing,group_size,-0.005510471233485187,0.003741903591147973,856,3,68,FALSE,
briefing,group_k1,-0.28239809056756227,0.12466157921652174,856,3,68,FALSE,
briefing,heterogeneity,0.2083438429435026,0.16184282832975716,856,3,68,FALSE,
briefing,female,-0.06284413600644483,0.047723260530707454,856,3,68,FALSE,
briefing,p_female,-0.04806367771945262,0.07394329057446439,856,3,68,FALSE,
briefing,factor(pollid)92,-0.08840745991131391,0.023322056904327832,856,3,68,FALSE,
briefing,factor(pollid)96,-0.22060984074300471,0.04740248792721008,856,3,68,FALSE,
briefing,read_briefing,0.07635596633430466,0.017496780164028124,856,3,68,FALSE,
briefing,k1:educationHigh school,-0.03287432593781438,0.17607368809569374,856,3,68,FALSE,
briefing,k1:educationBA or more,-0.02908286100300015,0.17119428068414086,856,3,68,FALSE,
briefing,female:p_female,0.11081586917463924,0.09043447183152198,856,3,68,FALSE,
