legacy_field,definition_version,caseid,source_row,historical_value,approved_value
ppage,nic-08-v3,,1,,
meanage,nic-08-v3,,1,1936.8461538461538,36.84615384615385
mode,nic-03-v2,,1,1,0
ppage,nic-08-v3,10000080,5,1934,34
meanage,nic-08-v3,10000080,5,1938.2,38.2
mode,nic-03-v2,10000080,5,1,0
ppage,nic-08-v3,10000100,6,1931,31
meanage,nic-08-v3,10000100,6,1943.2941176470588,43.294117647058826
mode,nic-03-v2,10000100,6,1,0
ppage,nic-08-v3,10000110,7,1935,35
meanage,nic-08-v3,10000110,7,1941.3529411764705,43.8125
mode,nic-03-v2,10000110,7,1,0
ppage,nic-08-v3,10000130,8,1945,45
meanage,nic-08-v3,10000130,8,1946.7777777777778,46.77777777777778
mode,nic-03-v2,10000130,8,1,0
ppage,nic-08-v3,10000160,9,1928,28
meanage,nic-08-v3,10000160,9,1941.5,41.5
mode,nic-03-v2,10000160,9,1,0
ppage,nic-08-v3,10000250,10,1965,65
meanage,nic-08-v3,10000250,10,1945.076923076923,45.07692307692308
mode,nic-03-v2,10000250,10,1,0
ppage,nic-08-v3,10000270,12,1962,62
meanage,nic-08-v3,10000270,12,1941.5,41.5
mode,nic-03-v2,10000270,12,1,0
ppage,nic-08-v3,10000310,14,1963,63
meanage,nic-08-v3,10000310,14,1941.3333333333333,44.214285714285715
mode,nic-03-v2,10000310,14,1,0
ppage,nic-08-v3,10000380,16,1923,23
meanage,nic-08-v3,10000380,16,1933.2142857142858,35.69230769230769
mode,nic-03-v2,10000380,16,1,0
ppage,nic-08-v3,10000400,17,1925,25
meanage,nic-08-v3,10000400,17,1939.0588235294117,39.05882352941177
mode,nic-03-v2,10000400,17,1,0
ppage,nic-08-v3,10000440,21,1928,28
meanage,nic-08-v3,10000440,21,1938.4,38.4
mode,nic-03-v2,10000440,21,1,0
ppage,nic-08-v3,10000460,23,,
meanage,nic-08-v3,10000460,23,1946.2142857142858,41.92857142857143
mode,nic-03-v2,10000460,23,1,0
ppage,nic-08-v3,10000500,24,1954,54
meanage,nic-08-v3,10000500,24,1939.0588235294117,39.05882352941177
mode,nic-03-v2,10000500,24,1,0
ppage,nic-08-v3,10000510,25,1947,47
meanage,nic-08-v3,10000510,25,1946.7777777777778,46.77777777777778
mode,nic-03-v2,10000510,25,1,0
ppage,nic-08-v3,10000520,26,1950,50
meanage,nic-08-v3,10000520,26,1942,42
mode,nic-03-v2,10000520,26,1,0
ppage,nic-08-v3,10000570,29,1981,81
meanage,nic-08-v3,10000570,29,1946.8125,46.8125
mode,nic-03-v2,10000570,29,1,0
ppage,nic-08-v3,10000571,30,1949,49
meanage,nic-08-v3,10000571,30,1947,47
mode,nic-03-v2,10000571,30,1,0
ppage,nic-08-v3,10000590,32,1946,46
meanage,nic-08-v3,10000590,32,1939.0588235294117,39.05882352941177
mode,nic-03-v2,10000590,32,1,0
ppage,nic-08-v3,10000610,33,1945,45
meanage,nic-08-v3,10000610,33,1948.0833333333333,48.083333333333336
mode,nic-03-v2,10000610,33,1,0
ppage,nic-08-v3,10000630,35,1948,48
