scenario,caseid,age,online
historical,NA,NA,0
historical,10000080,62,0
historical,10000100,65,0
historical,10000110,61,0
historical,10000130,51,0
historical,10000160,68,0
historical,10000250,31,0
historical,10000270,34,0
historical,10000310,33,0
historical,10000380,73,0
historical,10000400,71,0
historical,10000440,68,0
historical,10000460,NA,0
historical,10000500,42,0
historical,10000510,49,0
historical,10000520,46,0
historical,10000570,NA,0
historical,10000571,47,0
historical,10000590,50,0
historical,10000610,51,0
historical,10000630,48,0
historical,10000650,67,0
historical,10000670,67,0
historical,10000710,30,0
historical,10000740,46,0
historical,10000760,34,0
historical,10000800,69,0
historical,10000830,59,0
historical,10000840,19,0
historical,10000900,73,0
historical,10000920,76,0
historical,10000940,31,0
historical,10000970,68,0
historical,10001000,55,0
historical,10001030,53,0
historical,10001070,56,0
historical,10001130,60,0
historical,10001140,51,0
historical,10001150,64,0
historical,10001170,71,0
historical,10001180,54,0
historical,10001190,40,0
historical,10001220,58,0
historical,10001230,58,0
historical,10001250,56,0
historical,10001300,54,0
historical,10001320,44,0
historical,10001400,50,0
historical,10001420,74,0
historical,10001470,68,0
historical,10001520,47,0
historical,10001540,66,0
historical,10001560,60,0
historical,10001570,60,0
historical,10001590,NA,0
historical,10001620,46,0
historical,10001820,61,0
historical,10001860,46,0
historical,10001870,50,0
historical,10001880,70,0
historical,10001890,46,0
historical,10001900,42,0
historical,10001950,59,0
historical,10001960,69,0
historical,10002060,70,0
historical,10002070,54,0
historical,10002100,42,0
historical,10002120,62,0
historical,10002170,24,0
historical,10002180,38,0
historical,10002330,62,0
historical,10002350,44,0
historical,10002410,63,0
historical,10002420,69,0
historical,10002490,43,0
historical,10002500,59,0
historical,10002530,65,0
historical,10002570,25,0
historical,10002620,53,0
historical,10002640,61,0
historical,10002720,38,0
historical,10002730,77,0
historical,10002770,62,0
historical,10002780,65,0
historical,10002800,45,0
historical,10002810,77,0
historical,10002820,68,0
historical,10002830,33,0
historical,10002870,41,0
historical,10002890,67,0
historical,10002940,69,0
historical,10003000,44,0
historical,10003020,54,0
historical,10003090,30,0
historical,10003120,52,0
historical,10003130,67,0
historical,10003150,61,0
historical,10003260,55,0
historical,10003270,52,0
historical,10003290,73,0
historical,10003330,47,0
historical,10003340,69,0
historical,10003350,32,0
historical,10003400,59,0
historical,10003410,55,0
historical,10003430,26,0
historical,10003440,74,0
historical,10003460,37,0
historical,10003500,73,0
historical,10003520,65,0
historical,10003580,55,0
historical,10003610,50,0
historical,10003620,43,0
historical,10003660,47,0
historical,10003690,42,0
historical,10003710,59,0
historical,10003870,70,0
historical,10003880,43,0
historical,10003900,44,0
historical,10003930,35,0
historical,10004040,NA,0
historical,10004080,54,0
historical,10004110,35,0
historical,10004150,NA,0
historical,10004160,47,0
historical,10004230,47,0
historical,10004250,68,0
historical,10004270,65,0
historical,10004280,31,0
historical,10004330,50,0
historical,10004340,55,0
historical,10004380,45,0
historical,10004420,52,0
historical,10004460,77,0
historical,10004540,61,0
historical,10004630,38,0
historical,10004660,51,0
historical,10004670,NA,0
historical,10004690,71,0
historical,10004700,51,0
historical,10004710,41,0
historical,10004720,64,0
historical,10004760,45,0
historical,10004850,71,0
historical,10004860,71,0
historical,10004930,73,0
historical,10004970,64,0
historical,10004980,35,0
historical,10005000,55,0
historical,10005010,60,0
historical,10005030,42,0
historical,10005040,63,0
historical,10005050,50,0
historical,10005150,57,0
historical,10005160,19,0
historical,10005180,53,0
historical,10005260,71,0
historical,10005270,69,0
historical,10005360,66,0
historical,10005400,75,0
historical,10005410,72,0
historical,10005420,66,0
historical,10005430,50,0
historical,10005440,62,0
historical,10005450,59,0
historical,10005460,45,0
historical,10005580,95,0
historical,10005650,55,0
historical,10005691,72,0
historical,10005730,69,0
historical,10005800,61,0
historical,10005810,25,0
historical,10005820,66,0
historical,10005830,65,0
historical,10005840,73,0
historical,10005850,71,0
historical,10005860,32,0
historical,10005890,57,0
historical,10005920,59,0
historical,10005930,61,0
historical,10005960,57,0
historical,10006040,57,0
historical,10006070,53,0
historical,10006110,68,0
historical,10006200,49,0
historical,10006220,50,0
historical,10006280,65,0
historical,10006310,66,0
historical,10006320,61,0
historical,10006330,64,0
historical,10006340,66,0
historical,10006350,76,0
historical,10006360,36,0
historical,10006390,55,0
historical,10006400,44,0
historical,10006430,63,0
historical,10006500,59,0
historical,10006510,63,0
historical,10006540,40,0
historical,10006580,54,0
historical,10006620,27,0
historical,10006660,34,0
historical,10006700,59,0
historical,10006710,29,0
historical,10006740,76,0
historical,10006760,54,0
historical,10006780,26,0
historical,10006790,45,0
historical,10006800,27,0
historical,10006880,60,0
historical,10006900,47,0
historical,10006920,75,0
historical,10006930,70,0
historical,10006960,63,0
historical,10007010,40,0
historical,10007140,30,0
historical,10007160,57,0
historical,10007170,61,0
historical,10007180,26,0
historical,10007190,26,0
historical,10007210,62,0
historical,10007220,58,0
historical,10007250,57,0
historical,10007390,69,0
historical,10007410,61,0
historical,10007430,25,0
historical,10007450,55,0
historical,10007471,50,0
historical,10007520,67,0
historical,10007570,47,0
historical,10007580,69,0
historical,10007590,NA,0
historical,10007620,57,0
historical,10007640,NA,0
historical,10007710,43,0
historical,10007720,51,0
historical,10007730,58,0
historical,10007750,57,0
historical,10007760,74,0
historical,10007780,69,0
historical,10007840,62,0
historical,10007860,37,0
historical,10007960,55,0
historical,10008030,52,0
historical,10008050,47,0
historical,10008060,71,0
historical,10008070,68,0
historical,10008080,36,0
historical,10008090,59,0
historical,10008110,17,0
historical,10008120,NA,0
historical,10008130,70,0
historical,10008150,77,0
historical,10008210,41,0
historical,10008220,58,0
historical,10008240,60,0
historical,10008260,58,0
historical,10008310,66,0
historical,10008320,70,0
historical,10008350,26,0
historical,10008380,64,0
historical,10008400,47,0
historical,10008420,34,0
historical,10008430,68,0
historical,10008440,67,0
historical,10008450,64,0
historical,10008451,62,0
historical,10008460,51,0
historical,10008580,57,0
historical,10008590,39,0
historical,10008640,53,0
historical,10008660,59,0
historical,10008690,30,0
historical,10008710,43,0
historical,10008740,95,0
historical,10008750,61,0
historical,10008780,94,0
historical,10008840,59,0
historical,10008890,29,0
historical,10008930,59,0
historical,10008940,52,0
historical,10009000,58,0
historical,10009030,68,0
historical,10009090,54,0
historical,10009150,25,0
historical,10009180,45,0
historical,10009251,63,0
historical,10009390,59,0
historical,10009440,67,0
historical,10009460,75,0
historical,10009520,70,0
historical,10009530,70,0
historical,10009590,43,0
historical,10009630,71,0
historical,10009650,27,0
historical,10009670,64,0
historical,10009750,51,0
historical,10009810,68,0
historical,10009840,75,0
historical,10009870,26,0
historical,10009970,49,0
historical,10009990,45,0
historical,10010000,47,0
historical,10010030,75,0
historical,10010060,40,0
historical,10010080,62,0
historical,10010110,28,0
historical,10010120,71,0
historical,10010140,66,0
historical,10010160,70,0
historical,10010180,66,0
historical,10010200,46,0
historical,10010210,36,0
historical,10010220,37,0
historical,10010230,56,0
historical,10010250,57,0
historical,10010280,52,0
historical,10010330,58,0
historical,10010340,53,0
historical,10010360,58,0
historical,10010390,57,0
historical,10010520,74,0
historical,10010550,55,0
historical,10010580,61,0
historical,10010600,47,0
historical,10010620,56,0
historical,10010630,76,0
historical,10010640,77,0
historical,10010650,40,0
historical,10010660,44,0
historical,10010690,55,0
historical,10010700,53,0
historical,10010710,NA,0
historical,10010720,45,0
historical,10010730,26,0
historical,10010760,65,0
historical,10010770,71,0
historical,10010850,47,0
historical,10010870,66,0
historical,10010960,47,0
historical,10011020,49,0
historical,10011030,47,0
historical,10011040,53,0
historical,10011120,36,0
historical,10011130,50,0
historical,10011150,73,0
historical,10011180,75,0
historical,10011200,41,0
historical,10011210,58,0
historical,10011220,63,0
historical,10011230,58,0
historical,10011240,52,0
historical,10011310,60,0
historical,10011320,57,0
historical,10011330,57,0
historical,10011370,71,0
historical,10011430,75,0
historical,10011440,60,0
historical,10011450,71,0
historical,10011470,96,0
historical,10011490,56,0
historical,10011500,61,0
historical,10011510,52,0
historical,10011520,49,0
historical,10011550,59,0
historical,10011560,52,0
historical,10011580,66,0
historical,10011630,63,0
historical,10011650,68,0
historical,10011660,76,0
historical,10011680,NA,0
historical,10011740,23,0
historical,10011900,63,0
historical,10011960,36,0
historical,10012080,72,0
historical,10012090,26,0
historical,10012092,29,0
historical,10012120,62,0
historical,10012140,67,0
historical,10012170,42,0
historical,10012200,23,0
historical,10012220,34,0
historical,10012230,47,0
historical,10012240,65,0
historical,10012270,39,0
historical,10012310,67,0
historical,10012320,22,0
historical,10012370,74,0
historical,10012390,71,0
historical,10012470,58,0
historical,10012490,45,0
historical,10012540,59,0
historical,10012580,22,0
historical,10012660,29,0
historical,10012680,35,0
historical,10012700,58,0
historical,10012740,58,0
historical,10012790,NA,0
historical,10012800,63,0
historical,10012810,69,0
historical,10012820,67,0
historical,10012830,66,0
historical,10012840,47,0
historical,10012850,46,0
historical,10012990,NA,0
historical,10013030,40,0
historical,10013040,70,0
historical,10013041,36,0
historical,10013130,40,0
