source_row,caseid,historical_sample,addfac1,reduce1,addfac2,reduce2,historical_post,candidate_post
1,30000010,TRUE,10,8,2,8,0.8,0.5
2,30000020,TRUE,10,10,10,8,0.8,0.9
3,30000030,TRUE,NA,5,5,9,0.9,0.7
4,30000040,TRUE,5,10,9,8,0.8,0.85
5,30000050,TRUE,10,10,10,8,0.8,0.9
6,30000060,TRUE,9,6,9,7,0.7,0.8
7,30000070,TRUE,7,NA,9,6,0.6,0.75
8,30000080,TRUE,10,9,10,10,1,1
9,30000090,TRUE,8,8,10,10,1,1
10,30000100,TRUE,10,10,10,10,1,1
11,30000110,TRUE,10,10,8,10,1,0.9
12,30000120,TRUE,10,10,10,10,1,1
13,30000130,TRUE,10,10,10,10,1,1
14,30000140,TRUE,10,10,10,10,1,1
15,30000150,TRUE,10,2,10,5,0.5,0.75
16,30000160,TRUE,5,10,9,10,1,0.95
17,30000170,TRUE,8,10,8,5,0.5,0.65
18,30000180,TRUE,5,10,10,10,1,1
19,30000190,TRUE,NA,8,5,9,0.9,0.7
20,30000200,TRUE,9,10,7,7,0.7,0.7
21,30000210,TRUE,6,8,5,6,0.6,0.55
22,30000220,TRUE,5,5,7,8,0.8,0.75
23,30000230,TRUE,5,10,8,10,1,0.9
24,30000240,TRUE,8,8,9,10,1,0.95
25,30000250,TRUE,10,5,10,10,1,1
26,30000260,TRUE,8,7,2,8,0.8,0.5
27,30000270,TRUE,5,10,10,8,0.8,0.9
28,30000280,TRUE,9,7,6,5,0.5,0.55
29,30000290,TRUE,8,10,9,8,0.8,0.85
30,30000300,TRUE,8,8,5,5,0.5,0.5
31,30000310,TRUE,5,10,10,10,1,1
32,30000320,TRUE,10,6,10,9,0.9,0.95
33,30000330,TRUE,5,6,5,8,0.8,0.65
34,30000340,TRUE,10,10,7,5,0.5,0.6
35,30000350,TRUE,10,10,8,10,1,0.9
36,30000360,TRUE,10,10,5,10,1,0.75
37,30000370,TRUE,10,10,10,8,0.8,0.9
38,30000380,TRUE,10,10,10,10,1,1
39,30000390,TRUE,5,5,8,10,1,0.9
40,30000400,TRUE,10,10,10,10,1,1
41,30000410,TRUE,8,8,8,7,0.7,0.75
42,30000420,TRUE,8,8,7,7,0.7,0.7
43,30000430,TRUE,5,10,10,10,1,1
44,30000440,TRUE,5,10,8,8,0.8,0.8
45,30000450,TRUE,10,7,9,10,1,0.95
46,30000460,TRUE,9,9,8,6,0.6,0.7
47,30000470,TRUE,9,8,9,9,0.9,0.9
48,30000480,TRUE,10,8,7,7,0.7,0.7
49,30000490,TRUE,9,9,10,10,1,1
50,30000500,TRUE,8,9,10,10,1,1
51,30000510,TRUE,8,8,10,10,1,1
52,30000520,TRUE,5,10,10,7,0.7,0.85
53,30000530,TRUE,10,10,10,10,1,1
54,30000540,TRUE,10,5,10,10,1,1
55,30000550,TRUE,NA,5,10,10,1,1
56,30000560,TRUE,10,2,10,10,1,1
57,30000570,TRUE,10,7,7,10,1,0.85
58,30000580,TRUE,10,0,7,10,1,0.85
59,30000590,TRUE,8,10,10,10,1,1
60,30000600,TRUE,10,10,10,10,1,1
61,30000610,TRUE,10,10,8,10,1,0.9
62,30000620,TRUE,10,10,5,9,0.9,0.7
63,30000630,TRUE,8,7,10,10,1,1
64,30000640,TRUE,10,10,10,10,1,1
65,30000650,TRUE,10,10,10,10,1,1
66,30000660,TRUE,9,9,10,10,1,1
67,30000670,TRUE,10,10,7,10,1,0.85
68,30000680,TRUE,9,7,9,9,0.9,0.9
69,30000690,TRUE,10,10,10,10,1,1
70,30000700,TRUE,NA,10,10,10,1,1
71,30000710,TRUE,9,7,5,9,0.9,0.7
72,30000720,TRUE,5,8,5,10,1,0.75
73,30000730,TRUE,8,9,10,10,1,1
74,30000740,TRUE,9,7,8,9,0.9,0.85
75,30000750,TRUE,8,10,8,8,0.8,0.8
76,30000760,TRUE,7,8,8,9,0.9,0.85
77,30000770,TRUE,6,8,5,9,0.9,0.7
78,30000780,TRUE,10,10,10,10,1,1
79,30000790,TRUE,9,7,9,8,0.8,0.85
80,30000800,TRUE,8,10,NA,10,1,1
81,30000810,TRUE,8,9,9,7,0.7,0.8
82,30000820,TRUE,10,10,9,9,0.9,0.9
83,30000830,TRUE,NA,8,7,9,0.9,0.8
84,30000840,TRUE,8,10,10,10,1,1
85,30000850,TRUE,NA,10,5,10,1,0.75
86,30000860,TRUE,1,10,8,5,0.5,0.65
87,30000870,TRUE,8,5,10,8,0.8,0.9
88,30000880,TRUE,7,10,10,10,1,1
89,30000890,TRUE,7,8,7,9,0.9,0.8
90,30000900,TRUE,7,10,10,10,1,1
91,30000910,TRUE,10,10,10,10,1,1
92,30000920,TRUE,8,10,9,10,1,0.95
93,30000930,TRUE,8,9,9,9,0.9,0.9
94,30000940,TRUE,8,5,3,10,1,0.65
95,30000950,TRUE,8,8,10,8,0.8,0.9
96,30000960,TRUE,10,10,9,10,1,0.95
97,30000970,TRUE,10,10,10,9,0.9,0.95
98,30000980,TRUE,10,10,NA,10,1,1
99,30000990,TRUE,10,10,6,9,0.9,0.75
100,30001000,TRUE,8,10,10,10,1,1
101,30001010,TRUE,10,8,9,10,1,0.95
102,30001020,TRUE,4,6,10,5,0.5,0.75
103,30001030,TRUE,10,8,5,10,1,0.75
104,30001040,TRUE,9,5,5,5,0.5,0.5
105,30001050,TRUE,10,10,5,5,0.5,0.5
106,30001060,TRUE,10,10,10,8,0.8,0.9
107,30001070,TRUE,5,5,10,8,0.8,0.9
108,30001080,TRUE,9,10,9,10,1,0.95
109,30001090,TRUE,10,10,8,6,0.6,0.7
110,30001100,TRUE,10,8,6,10,1,0.8
111,30001110,TRUE,10,10,5,10,1,0.75
112,30001120,TRUE,7,9,5,10,1,0.75
113,30001130,TRUE,6,9,9,9,0.9,0.9
114,30001140,TRUE,7,7,9,9,0.9,0.9
115,30001150,TRUE,10,10,10,10,1,1
116,30001160,TRUE,2,5,8,1,0.1,0.45
117,30001170,TRUE,8,8,8,8,0.8,0.8
118,30001180,TRUE,9,0,10,7,0.7,0.85
119,30001190,TRUE,5,10,10,10,1,1
120,30001200,TRUE,NA,8,10,10,1,1
121,30001210,TRUE,10,10,0,10,1,0.5
122,30001220,TRUE,8,7,10,10,1,1
123,30001230,TRUE,5,8,10,10,1,1
124,30001240,TRUE,10,5,10,5,0.5,0.75
125,30001250,TRUE,5,5,9,9,0.9,0.9
126,30001260,TRUE,8,7,6,7,0.7,0.65
127,30001270,TRUE,5,5,10,8,0.8,0.9
128,30001280,TRUE,9,9,10,10,1,1
129,30001290,TRUE,8,8,8,9,0.9,0.85
130,30001300,TRUE,10,9,5,8,0.8,0.65
131,30001310,TRUE,10,5,3,5,0.5,0.4
132,30001320,TRUE,10,10,5,10,1,0.75
133,30001330,TRUE,10,5,10,10,1,1
134,30001340,TRUE,6,8,7,5,0.5,0.6
135,30001350,TRUE,8,8,8,10,1,0.9
136,30001360,TRUE,10,10,8,8,0.8,0.8
137,30001370,TRUE,10,7,10,6,0.6,0.8
138,30001380,TRUE,1,5,10,9,0.9,0.95
139,30001390,TRUE,1,10,7,7,0.7,0.7
140,30001400,TRUE,5,10,5,5,0.5,0.5
141,30001410,TRUE,9,9,9,9,0.9,0.9
142,30001420,TRUE,5,8,8,9,0.9,0.85
143,30001430,TRUE,10,10,9,10,1,0.95
144,30001440,TRUE,10,10,10,10,1,1
145,30001450,TRUE,5,10,8,10,1,0.9
