legacy_field,caseid,historical_value,approved_value
swp.t2att3,30001520,1,1
swp.t2att3,30001530,0.8,0.75
swp.t2att3,30001540,0.5,0.75
swp.t2att3,30001550,0.8,0.65
swp.t2att3,30001560,1,0.95
swp.t2att3,30001570,1,1
swp.t2att3,30001580,0.7,0.65
swp.t2att3,30001590,1,0.9
swp.t2att3,30001600,0.9,0.95
swp.t2att3,30001610,0.8,0.9
swp.t2att3,30001620,0.8,0.7
swp.t2att3,30001630,1,1
swp.t2att3,30001640,1,0.85
swp.t2att3,30001650,1,1
swp.t2att3,30001660,0.7,0.35
swp.t2att3,30001670,0.5,0.75
swp.t2att3,30001680,0.8,0.9
swp.t2att3,30001690,1,1
swp.t2att3,30001700,1,1
swp.t2att3,30001710,1,1
swp.t2att3,30001720,0.6,0.65
swp.t2att3,30001730,1,0.95
swp.t2att3,30001740,1,0.9
swp.t2att3,30001750,1,0.8
swp.t2att3,30001760,0.9,0.8
swp.t2att3,30001770,1,0.9
swp.t2att3,30001780,1,1
swp.t2att3,30001790,0.9,0.9
swp.t2att3,30001800,1,0.9
swp.t2att3,30001810,1,0.85
swp.t2att3,30001820,0.9,0.95
swp.t2att3,30001830,0.9,0.95
swp.t2att3,30001840,0.9,0.95
swp.t2att3,30001850,0.8,0.9
swp.t2att3,30001860,0.8,0.8
swp.t2att3,30001870,0.9,0.7
swp.t2att3,30001880,0.8,0.6
swp.t2att3,30001890,1,1
swp.t2att3,30001900,1,1
swp.t2att3,30001910,1,0.65
swp.t2att3,30001920,1,0.9
swp.t2att3,30001930,1,1
swp.t2att3,30001940,0.6,0.65
swp.t2att3,30001950,1,1
swp.t2att3,30001960,1,1
swp.t2att3,30001970,0.9,0.8
swp.t2att3,30001980,1,1
swp.t2att3,30001990,0.9,0.95
swp.t2att3,30002000,0.8,0.9
swp.t2att3,30002010,0.5,0.65
swp.t2att3,30002020,1,0.95
swp.t2att3,30002030,1,1
swp.t2att3,30002040,1,0.8
swp.t2att3,30002050,1,0.75
swp.t2att3,30002060,1,1
swp.t2att3,30002070,0.9,0.95
swp.t2att3,30002080,0.5,0.9
swp.t2att3,30002090,1,1
swp.t2att3,30002100,0.8,0.8
swp.t2att3,30002110,0.8,0.9
swp.t2att3,30002120,1,0.9
swp.t2att3,30002130,0.9,0.95
swp.t2att3,30002140,1,1
swp.t2att3,30002150,0.9,0.95
swp.t2att3,30002160,1,0.95
swp.t2att3,30002170,1,1
swp.t2att3,30002180,0.5,0.65
swp.t2att3,30002190,1,0.85
swp.t2att3,30002200,0.8,0.8
swp.t2att3,30002210,1,1
swp.t2att3,30002220,0.8,0.9
swp.t2att3,30002230,0.9,0.9
swp.t2att3,30002240,1,0.5
