source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
GRPDISC,double,numeric,,Value of Group Discussions,%8.0g,,,TRUE,Retained
TALKING,double,numeric,,Value of Talking outside Discussions,%8.0g,,,TRUE,Retained
PUCCOMM,double,numeric,,Value of Session w/ PUC Commissioners,%8.0g,,,TRUE,Retained
GLPART,double,numeric,,Group Leader allowed Participation,%8.0g,,,TRUE,Retained
GLINFL,double,numeric,,Group Leader Influenced Group,%8.0g,,,TRUE,Retained
OPENMIND,double,numeric,,Disenters had Good Reasons,%8.0g,,,TRUE,Retained
READMAT,double,numeric,,Time Spent Reading Materials Beforehand,%8.0g,,,TRUE,Retained
BIASMAT,double,numeric,,Were the Materials Balanced,%8.0g,,,TRUE,Retained
BIASDISC,double,numeric,,Town Meeting Discussion was Balanced,%8.0g,,,TRUE,Retained
IDEOLOGY,double,numeric,,Liberal/Conservative Political Scale,%8.0g,,,TRUE,Retained
OWNRENT,double,numeric,,Own or Rent Home,%8.0g,,,TRUE,Retained
WHOPAYS,double,numeric,,Who Pays Electric Bill,%8.0g,,,TRUE,Retained
WHOBUYS,double,numeric,,Who Buys Appliances,%8.0g,,,TRUE,Retained
INSULATE,double,numeric,,Who Purchases Insulation,%8.0g,,,TRUE,Retained
EDUC,double,numeric,,Rs Education,%8.0g,,,TRUE,Retained
AGE,double,numeric,,Rs Age,%8.0g,,,TRUE,Retained
ASSIST,double,numeric,,Does R Receive Government Assistance,%8.0g,,,TRUE,Retained
EMPLOYED,double,numeric,,Does R Work Outside the Home,%8.0g,,,TRUE,Retained
JOB,double,numeric,,Rs Occupation,%8.0g,,,TRUE,Retained
MANYWORK,double,numeric,,Number of Employees at Rs Work,%8.0g,,,TRUE,Retained
TYPEWORK,double,numeric,,Type of Workplace,%8.0g,,,TRUE,Retained
INCOME,double,numeric,,Rs Income,%8.0g,,,TRUE,Retained
RACE,double,numeric,,Rs Race or Ethnicity,%8.0g,,,TRUE,Retained
ZIPCODE,double,numeric,,Rs Zipcode,%8.0g,,,TRUE,Retained
REGCPL,double,numeric,,Rs Region (CPL),%8.0g,,,TRUE,Retained
STUDY,double,numeric,,,%8.0g,,,TRUE,Retained
REGWT,double,numeric,,Rs Region (WT),%8.0g,,,TRUE,Retained
STRTTO2,double,numeric,,"Post:Tradeoff:Short & Long (WT,SWEPCO)",%8.0g,,,TRUE,Retained
DEPEND2,double,numeric,,"Post: Mix Reduce Dependence(WT,SWEPCO)",%8.0g,,,TRUE,Retained
CHANGE2,double,numeric,,"Post: Res Fluctuate w/demand(WT,SWEPCO)",%8.0g,,,TRUE,Retained
IM12,double,numeric,,"Post: Most Important Factor (WT, SWEPCO)",%8.0g,,,TRUE,Retained
IM22,double,numeric,,"Post: Second Most Imp. Factor (WT, SWEPC",%8.0g,,,TRUE,Retained
IM32,double,numeric,,"Post: Third Most Imp. Factor (WT, SWEPCO",%8.0g,,,TRUE,Retained
IM42,double,numeric,,"Post: Fourth Most Imp. Factor (WT, SWEPC",%8.0g,,,TRUE,Retained
STSOL2,double,numeric,,"Post: Short Term Flex (WT,SWEPCO)",%8.0g,,,TRUE,Retained
LTSOL2,double,numeric,,"Post: Long Term Predict (WT,SWEOCO)",%8.0g,,,TRUE,Retained
BUILD2,double,numeric,,"Post: Building a Plant in [WT,SWEPCO]",%8.0g,,,TRUE,Retained
PAYBLD2,double,numeric,,"Post: How Much Pay: Build in [WT,SWEPCO]",%8.0g,,,TRUE,Retained
CNTRCT2,double,numeric,,"Post: Cntrct Term if Import (WT,SWEPCP)",%8.0g,,,TRUE,Retained
REGSWEP,double,numeric,,Rs Region (SWEPCO),%8.0g,,,TRUE,Retained
BUYOUT2,double,numeric,,Post: OK if Build Outside SWEPCO Ter.?,%8.0g,,,TRUE,Retained
PAYEX2,double,numeric,,Post: How Much Pay if not Built in SWEPC,%8.0g,,,TRUE,Retained
KNOWA2,double,numeric,,Post: Did R Answer SOURCE2 Correctly?,%8.0g,,,TRUE,Retained
KNOWB2,double,numeric,,Post: Did R Answer USE2 correctly?,%8.0g,,,TRUE,Retained
KNOWC2,double,numeric,,Post: Did R Answer RT2 Correctly?,%8.0g,,,TRUE,Retained
KNOWD2,double,numeric,,Post: Did R Answer SMOG2 Correctly?,%8.0g,,,TRUE,Retained
KNOWE2,double,numeric,,Post: Did R Answer SETRT2 Correctly?,%8.0g,,,TRUE,Retained
KNOWF2,double,numeric,,Post: Did R Answer PROFIT2 Correctly?CPL,%8.0g,,,TRUE,Retained
KNOWG2,double,numeric,,Post: Did R Answer PCTFUL2 Correctly?CPL,%8.0g,,,TRUE,Retained
FUTURE1,double,numeric,,"Pre: Preserve Coal, Natl Gas, Oil for Fu",%8.0g,,,TRUE,Retained
GROW1,double,numeric,,Pre: Promote Economic Growth in Communit,%8.0g,,,TRUE,Retained
POLL1,double,numeric,,Pre: Reduce Pollution,%8.0g,,,TRUE,Retained
NEEDS1,double,numeric,,Pre: Ensure Everyone Has Basic Needs Met,%8.0g,,,TRUE,Retained
INVEST1,double,numeric,,Pre: Minimize Risk When Investing Money,%8.0g,,,TRUE,Retained
RESCH1,double,numeric,,Pre: Research Even If Higher Elec Rates,%8.0g,,,TRUE,Retained
FEDRCH1,double,numeric,,Pre: Fed Gov Fund Research New Tech (CPL,%8.0g,,,TRUE,Retained
REDUCE1,double,numeric,,"Pre: Reduce Coal, Natl Gas by Efficient",%8.0g,,,TRUE,Retained
JOBS1,double,numeric,,Pre: Number of Jobs Created,%8.0g,,,TRUE,Retained
TAX1,double,numeric,,Pre: Impact on Communitys Tax Base,%8.0g,,,TRUE,Retained
LOWINC1,double,numeric,,Pre: Low Income Customers are Treated Fa,%8.0g,,,TRUE,Retained
GROWTO1,double,numeric,,Pre: Tradeoff: Eco Growth & Pollution,%8.0g,,,TRUE,Retained
POLLTO1,double,numeric,,Pre: Tradeoff: Reduce Pollution & Inc Co,%8.0g,,,TRUE,Retained
STRTTO1,double,numeric,,"Pre: Tradeoff: Short & Long Term (WT,SWE",%8.0g,,,TRUE,Retained
NEEDTO1,double,numeric,,Pre: Tradeoff: Basic Needs Met & Inc Cos,%8.0g,,,TRUE,Retained
INVSTO1,double,numeric,,Pre: Tradeoff: Min Invest Risk & Low Ret,%8.0g,,,TRUE,Retained
LOWEST1,double,numeric,,Pre: Resources With Lowest Cost Electric,%8.0g,,,TRUE,Retained
ENVMT1,double,numeric,,Pre: Resources That Maintain Environment,%8.0g,,,TRUE,Retained
JOBSST1,double,numeric,,Pre: Reources That Create Jobs in S TX (,%8.0g,,,TRUE,Retained
DEPEND1,double,numeric,,"Pre: Mix of Resc Reduce Dependence(WT,SW",%8.0g,,,TRUE,Retained
RENEW1,double,numeric,,"Pre: Renewable Resources such as Wind, S",%8.0g,,,TRUE,Retained
CHANGE1,double,numeric,,"Pre: Resources Fluctuate w/Demand(WT,SWE",%8.0g,,,TRUE,Retained
IM1CPL1,double,numeric,,Pre: Most Important Factor in CPL Survey,%8.0g,,,TRUE,Retained
IM2CPL1,double,numeric,,Pre: Second Most Imp. Factor in CPL Surv,%8.0g,,,TRUE,Retained
IM3CPL1,double,numeric,,Pre: Thrid Most Imp. Factor in CPL Surve,%8.0g,,,TRUE,Retained
IM11,double,numeric,,"Pre: Most Important Factor (WT, SWEPCO)",%8.0g,,,TRUE,Retained
IM21,double,numeric,,"Pre: Second Most Imp. Factor (WT, SWEPCO",%8.0g,,,TRUE,Retained
IM31,double,numeric,,"Pre: Third Most Imp. Factor (WT, SWEPCO)",%8.0g,,,TRUE,Retained
IM41,double,numeric,,"Pre: Fourth Most Imp. Factor (WT, SWEPCO",%8.0g,,,TRUE,Retained
PREF1,double,numeric,,Pre: Does R Prefer An Option?,%8.0g,,,TRUE,Retained
PR11,double,numeric,,Pre: Rs First Preference,%8.0g,,,TRUE,Retained
PR21,double,numeric,,Pre: Rs Second Preference,%8.0g,,,TRUE,Retained
PR31,double,numeric,,Pre: Rs Third Preference,%8.0g,,,TRUE,Retained
COSTS1,double,numeric,,Pre: Construction Costs vs Operating Cos,%8.0g,,,TRUE,Retained
STLTEQ1,double,numeric,,Pre: Short Term vs Long Term Solutions (,%8.0g,,,TRUE,Retained
