poll_id,artifact_id,artifact_type,title,location,source_id,original_archive_path,sha256,rights_status,disclosure_status,publication_status,notes
swepco-1996,cor-sood-swepco-1996,data,Cor-Sood scored knowledge battery,data/swepco-1996/knowledge-battery.csv,cor-sood-swepco-1996,replication/data.zip:data/swp.csv,f45a243ef7037c12c3dc3f4638f0c93e14dd2677bd44efa40679711ccd360531,public-license,approved-public,published,Scored binary items; row number is not a respondent identifier
swepco-1996,cdd-swepco-1996-survey,data,swepco-1996 survey.dta,data/swepco-1996/survey.dta,cdd-swepco-1996-survey,data/Utilities/swepco/swepco_data/swepco2.dta,d308f57bc58e3f2bc7b2446588c85c86060341a7ddd5b86634aa9743484a4c6e,owner-approved,approved-public,published,Unchanged archived survey; raw codes and column names retained
swepco-1996,cdd-swepco-1996-variables,codebook,swepco-1996 variables.csv,data/swepco-1996/variables.csv,cdd-swepco-1996-variables,data/Utilities/swepco/swepco_data/swepco2.dta,30f22993b63cbec9d0618ba9a17d041eea9bed3891219560139a028f2cdf501e,owner-approved,approved-public,published,Generated original field attributes; consult original codebook where labels are absent
swepco-1996,cdd-swepco-1996-value-labels,codebook,swepco-1996 value-labels.csv,data/swepco-1996/value-labels.csv,cdd-swepco-1996-value-labels,data/Utilities/swepco/swepco_data/swepco2.dta,355d2acaa276d4e050435819cd1870270f3a2cccddab59f6368ca593c0bf550c,owner-approved,approved-public,published,Generated original field attributes; consult original codebook where labels are absent
swepco-1996,cdd-swepco-1996-codebook,codebook,swepco-1996 codebook.txt,data/swepco-1996/codebook.txt,cdd-swepco-1996-codebook,data/Utilities/swepco/codebook/swepco.code,5ce5486be80e8cb2ee281181b42b66b17e573eb988161b18b7be7e3c531f8c05,owner-approved,approved-public,published,Unchanged original codebook
