source_column,source_value,value_label
w3bdend,-4,case in not in wave of data collection
w3bdend,-3,"case in wave, no survey on file"
w3btend,-4,case in not in wave of data collection
w3btend,-3,"case in wave, no survey on file"
w3bdur,-4,case in not in wave of data collection
w3bdur,-3,"case in wave, no survey on file"
w3bdurct,-4,case in not in wave of data collection
w3bdurct,-3,"case in wave, no survey on file"
w3bdurct,1,less than 5 minutes
w3bdurct,2,5 - 9:59
w3bdurct,3,10 - 14:59
w3bdurct,4,15 - 19:59
w3bdurct,5,20 - 24:59
w3bdurct,6,25 - 29:59
w3bdurct,7,30 - 34:59
w3bdurct,8,35 - 39:59
w3bdurct,9,40 - 44:59
w3bdurct,10,45 - 49:59
w3bdurct,11,50 - 54:59
w3bdurct,12,55 - 59:59
w3bdurct,13,60 - 64:59
w3bdurct,14,65 - 69:59
w3bdurct,15,70 - 74:59
w3bdurct,16,75 - 79:59
w3bdurct,17,80 - 84:59
w3bdurct,18,85 - 89:59
w3bdurct,19,90 - 94:59
w3bdurct,20,95 - 99:59
w3bdurct,21,more than 100 minutes
w4comsta,-4,case in not in wave of data collection
w4comsta,-3,"case in wave, no survey on file"
w4comsta,1,both
w4comsta,2,baseline only
w4comsta,3,followup only
w4bstart,-4,case in not in wave of data collection
w4bstart,-3,"case in wave, no survey on file"
w4bend,-4,case in not in wave of data collection
w4bend,-3,"case in wave, no survey on file"
w4bdur,-4,case in not in wave of data collection
w4bdur,-3,"case in wave, no survey on file"
w4bres,-4,case in not in wave of data collection
w4bres,-3,"case in wave, no survey on file"
w4bres,0,not a resumed interview (duration less than 100 minutes)
w4bres,1,resumed interview (duration 100 minutes or more)
w4b1,-4,case in not in wave of data collection
w4b1,-3,"case in wave, no survey on file"
w4b1,-2,not asked
w4b1,-1,refused
w4b1,1,certain to vote
w4b1,2,likely to vote
w4b1,3,about as likely to vote as not
w4b1,4,likely not to vote
w4b1,5,certain not to vote
w4b2,-4,case in not in wave of data collection
w4b2,-3,"case in wave, no survey on file"
w4b2,-2,not asked
w4b2,-1,refused
w4b2,1,george w. bush
w4b2,2,john kerry
w4b2,3,ralph nader
w4b2,4,someone else
w4b2,5,blank
w4b2,6,not sure
w4b3,-4,case in not in wave of data collection
w4b3,-3,"case in wave, no survey on file"
w4b3,-2,not asked
w4b3,-1,refused
w4b3,1,completely sure
w4b3,2,reasonably sure
w4b3,3,not very sure
w4b4,-4,case in not in wave of data collection
w4b4,-3,"case in wave, no survey on file"
w4b4,-2,not asked
w4b4,-1,refused
w4b4,1,agree strongly
w4b4,2,agree somewhat
w4b4,3,neither agree nor disagree
w4b4,4,disagree somewhat
w4b4,5,disagree strongly
w4b4,6,blank
w4b4,7,i haven't thought much about this
w4b5,-4,case in not in wave of data collection
w4b5,-3,"case in wave, no survey on file"
w4b5,-2,not asked
w4b5,-1,refused
w4b5,1,agree strongly
w4b5,2,agree somewhat
w4b5,3,neither agree nor disagree
w4b5,4,disagree somewhat
w4b5,5,disagree strongly
w4b5,6,blank
w4b5,7,i haven't thought much about this
w4b6,-4,case in not in wave of data collection
w4b6,-3,"case in wave, no survey on file"
w4b6,-2,not asked
w4b6,-1,refused
w4b6,1,agree strongly
w4b6,2,agree somewhat
w4b6,3,neither agree nor disagree
w4b6,4,disagree somewhat
w4b6,5,disagree strongly
w4b6,6,blank
w4b6,7,i haven't thought much about this
w4b7,-4,case in not in wave of data collection
w4b7,-3,"case in wave, no survey on file"
w4b7,-2,not asked
w4b7,-1,refused
w4b7,1,agree strongly
w4b7,2,agree somewhat
w4b7,3,neither agree nor disagree
w4b7,4,disagree somewhat
w4b7,5,disagree strongly
w4b7,6,blank
w4b7,7,i haven't thought much about this
w4b8,-4,case in not in wave of data collection
w4b8,-3,"case in wave, no survey on file"
w4b8,-2,not asked
w4b8,-1,refused
w4b8,1,agree strongly
w4b8,2,agree somewhat
w4b8,3,neither agree nor disagree
w4b8,4,disagree somewhat
w4b8,5,disagree strongly
w4b8,6,blank
w4b8,7,i haven't thought much about this
w4b9,-4,case in not in wave of data collection
