source_column,source_value,value_label
A7D,3,neither agree nor di
A7D,4,disagree
A7D,5,disagree strongly
A7D,6,not answered
B1A,1,none/no
B1A,2,conservative
B1A,3,labour
B1A,4,liberal democrat
B1A,5,scottish nationnalis
B1A,6,plaid cymru
B1A,7,green party
B1A,8,other party
B1A,9,refused
B1A,10,don't know
B1A,11,not answered
B1B,1,none/no
B1B,2,conservative
B1B,3,labour
B1B,4,liberal democrat
B1B,5,scottish nationnalis
B1B,6,plaid cymru
B1B,7,green party
B1B,8,other party
B1B,9,refused
B1B,10,don't know
B1B,11,not answered
B1C,1,very strong
B1C,2,fairly strong
B1C,3,not very strong
B1C,4,don't know
B1C,5,not answered
B2,1,in full-time educati
B2,2,on government traini
B2,3,in part-time work (u
B2,4,in full-time paid wo
B2,5,waiting to take up p
B2,6,unemployed and looki
B2,7,"unemployed, but not"
B2,8,permanently sick or
B2,9,wholly retired from
B2,10,looking after home o
B2,11,something else
B2,12,not answered
B3,1,respondent only pers
B3,2,2+ adults in househo
B3,3,not answered
B4,1,respondent is c.i.e
B4,2,other household memb
B4,3,not answered
B5,1,in full-time educati
B5,2,on government traini
B5,3,in part-time work (u
B5,4,in full-time paid wo
B5,5,waiting to take up p
B5,6,unemployed and looki
B5,7,"unemployed, but not"
B5,8,permanently sick or
B5,9,wholly retired from
B5,10,looking after home o
B5,11,something else
B5,12,not answered
B7,1,an employee
B7,2,self-employed
B7,3,never worked
B7,4,not answered
B8,1,none
B8,2,1 to 24
B8,3,25 or more
B8,4,not answered
B9,1,1 to 24
B9,2,25 or more
B9,3,not known
B9,4,not answered
B10A,1,none
B10A,2,1 to 24
B10A,3,25 or more
B10A,4,not answered
SOC,1,managers and adminis
SOC,2,professional occupat
SOC,3,assoc professional a
SOC,4,clerical & secretari
SOC,5,craft & related occu
SOC,6,personal & protectiv
SOC,7,sales occupations
SOC,8,plant & machine oper
SOC,9,other occupations
SOC,10,never had job
SOC,11,not answered/inadequ
ES,1,01  self-employed (2
ES,2,02  self-employed (1
ES,3,03  self-employed (n
ES,4,04  self-employed (n
ES,5,05  manager (establi
ES,6,06  manager (establi
ES,7,07  manager (size of
ES,8,08  foreman/supervis
ES,9,09  other employee
ES,10,10  employee (not kn
ES,11,11  na/insufficient
SEG,1,01  employers - larg
SEG,2,02  managers - large
SEG,3,03  employers - smal
SEG,4,04  managers - small
SEG,5,05  professional - s
SEG,6,06  professional - e
SEG,7,07  intermediate non
SEG,8,08  intermediate non
SEG,9,09  junior non-manua
SEG,10,10  personal service
SEG,11,11  foremen and supe
SEG,12,12  skilled manual
SEG,13,13  semi - skilled m
SEG,14,14  unskilled manual
SEG,15,15  own account (oth
SEG,16,16  farmers - employ
SEG,17,17  farmers - own ac
SEG,18,18  agricultural
SEG,19,19  armed forces
SEG,20,20  inadequately des
B11,1,not yet finished
B11,2,never went to school
B11,3,14 or under
B11,4,15
B11,5,16
B11,6,17
B11,7,18
B11,8,19 or over
B11,9,not answered
B12A,1,no qualifications ob
B12A,2,cse grades 2-5 gcse
B12A,3,cse grade 1 gce `o'
B12A,4,gce 'a' level/'s' le
B12A,5,overseas school leav
B12A,6,not answered
B12B,1,no qualifications ob
B12B,2,nvq/svq level 1/gnvq
B12B,3,city & guilds craft/
B12B,4,nvq/svq level 3/gnvq
B12B,5,nvq/svq level 4
B12B,6,rsa/other clerical a
B12B,7,teachers training qu
B12B,8,nursing qualificatio
B12B,9,professional qualifi
B12B,10,"degree, including hi"
B12B,11,nvq/svq level 5
B12B,12,other technical or b
B12B,13,other
B12B,14,not answered
B14,1,one code ringed
B14,2,more than one code
B14,3,not answered
B15,1,british
B15,2,english
B15,3,scottish
B15,4,welsh
B15,5,irish
B15,6,northern irish
B15,7,european
B15,8,other
B15,9,none of these
B15,10,not answered
B16,1,white
B16,2,black - caribbean
B16,3,black - african
B16,4,india
B16,5,bangladesh
B16,6,chinese
B16,7,other
B16,8,refused
B16,9,not answered
B17,1,no religion
B17,2,christian - no denom
B17,3,roman catholic
B17,4,anglican/c of e
B17,5,methodist
B17,6,baptist
B17,7,presbyterian/church
B17,8,free presbyterian
B17,9,brethren
B17,10,united reform church
B17,11,other protestant
B17,12,other christian
B17,13,hindu
B17,14,jewish
B17,15,islam/muslim
B17,16,sikh
B17,17,buddhist
B17,18,other non-christian
B17,19,not answered
B18A,1,just about always
B18A,2,most of the time
B18A,3,some of the time
B18A,4,almost never
B18A,5,not answered
B18B,1,just about always
B18B,2,most of the time
B18B,3,some of the time
B18B,4,almost never
B18B,5,not answered
B18C,1,just about always
B18C,2,most of the time
B18C,3,some of the time
B18C,4,almost never
B18C,5,not answered
B18D,1,just about always
B18D,2,most of the time
B18D,3,some of the time
B18D,4,almost never
B18D,5,not answered
B19A,1,agree strongly
B19A,2,agree
B19A,3,neither agree or dis
B19A,4,disagree
B19A,5,disagree strongly
B19A,6,can't say
B19A,7,not answered
B19B,1,agree strongly
B19B,2,agree
B19B,3,neither agree or dis
B19B,4,disagree
B19B,5,disagree strongly
B19B,6,can't say
B19B,7,not answered
B19C,1,agree strongly
B19C,2,agree
B19C,3,neither agree or dis
B19C,4,disagree
B19C,5,disagree strongly
B19C,6,can't say
B19C,7,not answered
B19D,1,agree strongly
B19D,2,agree
B19D,3,neither agree or dis
B19D,4,disagree
B19D,5,disagree strongly
B19D,6,can't say
B19D,7,not answered
B19E,1,agree strongly
B19E,2,agree
B19E,3,neither agree or dis
B19E,4,disagree
B19E,5,disagree strongly
B19E,6,can't say
B19E,7,not answered
B20A,1,wrong to have better
B20A,2,good luck to them
B20A,3,can't choose/neither
B20A,4,not answered
B20B,1,strongly agree
B20B,2,just agree
B20B,3,not answered
B20C,1,strongly agree
B20C,2,just agree
B20C,3,not answered
B21A,1,stick to traditional
B21A,2,leave past behind
B21A,3,can't choose/neither
B21A,4,not answered
B21B,1,strongly agree
B21B,2,just agree
B21B,3,not answered
B21C,1,strongly agree
B21C,2,just agree
B21C,3,not answered
B22A,1,should be same for a
B22A,2,parents should be ab
B22A,3,can't choose/neither
B22A,4,not answered
B22B,1,strongly agree
B22B,2,just agree
B22B,3,not answered
B22C,1,strongly agree
B22C,2,just agree
B22C,3,not answered
B23A,1,rich should not keep
B23A,2,nothing wrong with i
B23A,3,can't choose/neither
B23A,4,not answered
B23B,1,strongly agree
B23B,2,just agree
B23B,3,not answered
B23C,1,strongly agree
B23C,2,just agree
B23C,3,not answered
B24A,1,agree strongly
B24A,2,agree
B24A,3,neither agree nor di
B24A,4,disagree
B24A,5,disagree strongly
B24A,6,can't say
B24A,7,not answered
B24B,1,agree strongly
B24B,2,agree
B24B,3,neither agree nor di
B24B,4,disagree
B24B,5,disagree strongly
B24B,6,can't say
B24B,7,not answered
B25A,1,yes
B25A,2,no
B25A,3,not answered
B25B,1,number given
B25B,2,number refused
B25B,3,not answered
G1,1,more pro-monarchy
G1,2,no change
G1,3,more anti-monarchy
G2A,1,more important role
G2A,2,no change
G2A,3,less important role
G2B,1,more important role
G2B,2,no change
G2B,3,less important role
G2C,1,more important role
G2C,2,no change
G2C,3,less important role
G2D,1,more important role
G2D,2,no change
G2D,3,less important role
G2E,1,more important role
G2E,2,no change
G2E,3,less important role
G2F,1,more important role
G2F,2,no change
G2F,3,less important role
G2G,1,more important role
G2G,2,no change
G2G,3,less important role
G2H,1,more important role
G2H,2,no change
G2H,3,less important role
G3A,1,more pro-monarchy
G3A,2,no change
G3A,3,more anti-monarchy
G3B,1,more pro-monarchy
G3B,2,no change
G3B,3,more anti-monarchy
G3C,1,more pro-monarchy
G3C,2,no change
G3C,3,more anti-monarchy
G3D,1,more pro-monarchy
G3D,2,no change
G3D,3,more anti-monarchy
G3E,1,more pro-monarchy
G3E,2,no change
G3E,3,more anti-monarchy
G3F,1,more pro-monarchy
G3F,2,no change
G3F,3,more anti-monarchy
G3G,1,more pro-monarchy
G3G,2,no change
G3G,3,more anti-monarchy
G4,1,more political influ
G4,2,no change
G4,3,less political influ
GSCORE,1,knowledge improved
GSCORE,2,no change
GSCORE,3,knowledge decreased
G6A,1,agree more
G6A,2,no change
G6A,3,agree less
G6B,1,agree more
G6B,2,no change
G6B,3,agree less
G6C,1,agree more
G6C,2,no change
G6C,3,agree less
G6D,1,agree more
G6D,2,no change
G6D,3,agree less
G6E,1,agree more
G6E,2,no change
G6E,3,agree less
G6F,1,agree more
G6F,2,no change
G6F,3,agree less
G7A,1,agree more
G7A,2,no change
G7A,3,agree less
G7B,1,agree more
G7B,2,no change
G7B,3,agree less
G7C,1,agree more
G7C,2,no change
G7C,3,agree less
G9,1,more pro-monarchy
G9,2,no change
G9,3,more pro-president
G10,1,will survive longer
G10,2,no change
G10,3,will survive shorter
G11,1,wants to survive lon
G11,2,no change
G11,3,wants to survive sho
G13A,1,agree more
G13A,2,no change
G13A,3,agree less
G13B,1,agree more
G13B,2,no change
G13B,3,agree less
G13C,1,agree more
G13C,2,no change
G13C,3,agree less
G13D,1,agree more
G13D,2,no change
G13D,3,agree less
G13E,1,agree more
G13E,2,no change
G13E,3,agree less
G13F,1,agree more
G13F,2,no change
G13F,3,agree less
G13G,1,agree more
G13G,2,no change
G13G,3,agree less
G14,1,more pro-referendum
G14,2,no change
G14,3,more anti-referendum
G15,1,more pro-monarchy
G15,2,no change
G15,3,more anti-monarchy
G16,1,more in nation's int
G16,2,no change
G16,3,more in monarchy's i
G17,1,more pro-monarchy
G17,2,no change
G17,3,more pro-president
G18,1,more pro-hol
G18,2,no change
G18,3,more anti-hol
G19A,1,more pro-life peers
G19A,2,no change
G19A,3,more anti-life peers
G19B,1,more pro-life peers
G19B,2,no change
G19B,3,more anti-life peers
G20,1,more pro-monarchy
G20,2,no change
G20,3,more anti-monarchy
G21,1,works better
G21,2,no change
G21,3,works less well
G22A,1,agree more
G22A,2,no change
G22A,3,agree less
G22B,1,agree more
G22B,2,no change
G22B,3,agree less
G22C,1,agree more
G22C,2,no change
G22C,3,agree less
G22D,1,agree more
G22D,2,no change
G22D,3,agree less
Q1,1,1   the monarchy sho
Q1,2,2   the monarchy sho
Q1,3,3   the monarchy sho
Q1,4,8   can't choose
Q1,5,9   not answered
Q2A,1,1   very important
Q2A,2,2   quite important
Q2A,3,3   not very importa
Q2A,4,4   not at all impor
Q2A,5,8   can't choose
Q2A,6,9   not answered
Q2B,1,1   very important
Q2B,2,2   quite important
Q2B,3,3   not very importa
Q2B,4,4   not at all impor
Q2B,5,8   can't choose
Q2B,6,9   not answered
Q2C,1,1   very important
Q2C,2,2   quite important
Q2C,3,3   not very importa
Q2C,4,4   not at all impor
Q2C,5,8   can't choose
Q2C,6,9   not answered
Q2D,1,1   very important
Q2D,2,2   quite important
Q2D,3,3   not very importa
Q2D,4,4   not at all impor
Q2D,5,8   can't choose
Q2D,6,9   not answered
Q2E,1,1   very important
Q2E,2,2   quite important
Q2E,3,3   not very importa
Q2E,4,4   not at all impor
Q2E,5,8   can't choose
Q2E,6,9   not answered
Q2F,1,1   very important
Q2F,2,2   quite important
Q2F,3,3   not very importa
Q2F,4,4   not at all impor
Q2F,5,8   can't choose
Q2F,6,9   not answered
Q2G,1,1   very important
Q2G,2,2   quite important
Q2G,3,3   not very importa
Q2G,4,4   not at all impor
Q2G,5,8   can't choose
Q2G,6,9   not answered
Q2H,1,1   very important
Q2H,2,2   quite important
Q2H,3,3   not very importa
Q2H,4,4   not at all impor
Q2H,5,8   can't choose
Q2H,6,9   not answered
Q3A,1,1   strongly agree
Q3A,2,2   agree
Q3A,3,3   neither agree or
Q3A,4,4   disagree
Q3A,5,5   strongly disagre
Q3A,6,9   not answered
Q3B,1,1   strongly agree
Q3B,2,2   agree
Q3B,3,3   neither agree or
Q3B,4,4   disagree
Q3B,5,5   strongly disagre
Q3B,6,9   not answered
Q3C,1,1   strongly agree
Q3C,2,2   agree
Q3C,3,3   neither agree or
Q3C,4,4   disagree
Q3C,5,5   strongly disagre
Q3C,6,9   not answered
Q3D,1,1   strongly agree
Q3D,2,2   agree
Q3D,3,3   neither agree or
Q3D,4,4   disagree
Q3D,5,5   strongly disagre
Q3D,6,9   not answered
Q3E,1,1   strongly agree
Q3E,2,2   agree
Q3E,3,3   neither agree or
Q3E,4,4   disagree
Q3E,5,5   strongly disagre
Q3E,6,9   not answered
Q3F,1,1   strongly agree
Q3F,2,2   agree
Q3F,3,3   neither agree or
Q3F,4,4   disagree
Q3F,5,5   strongly disagre
Q3F,6,9   not answered
Q3G,1,1   strongly agree
Q3G,2,2   agree
Q3G,3,3   neither agree or
Q3G,4,4   disagree
Q3G,5,5   strongly disagre
Q3G,6,9   not answered
Q4,1,1   a great deal of
Q4,2,2   quite a lot of i
Q4,3,3   some influence
Q4,4,4   not very much in
Q4,5,5   no influence at
Q4,6,8   can't say
Q4,7,9   not answered
Q5A,1,1   true
Q5A,2,2   false
Q5A,3,3   don't know
Q5A,4,9   not answered
Q5B,1,1   true
Q5B,2,2   false
Q5B,3,3   don't know
Q5B,4,9   not answered
Q5C,1,1   true
Q5C,2,2   false
Q5C,3,3   don't know
Q5C,4,9   not answered
Q5D,1,1   true
Q5D,2,2   false
Q5D,3,3   don't know
Q5D,4,9   not answered
Q5E,1,1   true
Q5E,2,2   false
Q5E,3,3   don't know
Q5E,4,9   not answered
Q5F,1,1   true
Q5F,2,2   false
Q5F,3,3   don't know
Q5F,4,9   not answered
Q5G,1,1   true
Q5G,2,2   false
Q5G,3,3   don't know
Q5G,4,9   not answered
Q5H,1,1   true
Q5H,2,2   false
Q5H,3,3   don't know
Q5H,4,9   not answered
Q6A,1,1   strongly agree
Q6A,2,2   agree
Q6A,3,3   neither agree or
Q6A,4,4   disagree
Q6A,5,5   strongly disagre
Q6A,6,9   not answered
Q6B,1,1   strongly agree
Q6B,2,2   agree
Q6B,3,3   neither agree or
Q6B,4,4   disagree
Q6B,5,5   strongly disagre
Q6B,6,9   not answered
Q6C,1,1   strongly agree
Q6C,2,2   agree
Q6C,3,3   neither agree or
Q6C,4,4   disagree
Q6C,5,5   strongly disagre
Q6C,6,9   not answered
Q6D,1,1   strongly agree
Q6D,2,2   agree
Q6D,3,3   neither agree or
Q6D,4,4   disagree
Q6D,5,5   strongly disagre
Q6D,6,9   not answered
Q6E,1,1   strongly agree
Q6E,2,2   agree
Q6E,3,3   neither agree or
Q6E,4,4   disagree
Q6E,5,5   strongly disagre
Q6E,6,9   not answered
Q6F,1,1   strongly agree
Q6F,2,2   agree
Q6F,3,3   neither agree or
Q6F,4,4   disagree
Q6F,5,5   strongly disagre
Q6F,6,9   not answered
Q7A,1,1   strongly agree
Q7A,2,2   agree
Q7A,3,3   neither agree or
Q7A,4,4   disagree
Q7A,5,5   strongly disagre
Q7A,6,9   not answered
Q7B,1,1   strongly agree
Q7B,2,2   agree
Q7B,3,3   neither agree or
Q7B,4,4   disagree
Q7B,5,5   strongly disagre
Q7B,6,9   not answered
Q7C,1,1   strongly agree
Q7C,2,2   agree
Q7C,3,3   neither agree or
Q7C,4,4   disagree
Q7C,5,5   strongly disagre
Q7C,6,9   not answered
Q8A,1,1   brother or siste
Q8A,2,2   eldest brother
Q8A,3,3   eldest sister
Q8A,4,4   eldest child
Q8A,5,5   eldest son
Q8A,6,6   eldest daughter
Q8A,7,7   none of these
Q8A,8,8   can't choose
Q8A,9,9   not answered
Q8B,1,1   brother or siste
Q8B,2,2   eldest brother
Q8B,3,3   eldest sister
Q8B,4,4   eldest child
Q8B,5,5   eldest son
Q8B,6,6   eldest daughter
Q8B,7,7   none of these
Q8B,8,8   can't choose
Q8B,9,9   not answered
Q9,1,1   to continue to h
Q9,2,2   to have a presid
Q9,3,8   can't choose
Q9,4,9   not answered
Q10,1,1   at least another
Q10,2,2   at least another
Q10,3,3   at least another
Q10,4,4   at least another
Q10,5,5   at least another
Q10,6,6   less than 5 year
Q10,7,8   can't choose
Q10,8,9   not answered
Q11,1,1   at least another
Q11,2,2   at least another
Q11,3,3   at least another
Q11,4,4   at least another
Q11,5,5   at least another
Q11,6,6   less than 5 year
Q11,7,8   can't choose
Q11,8,9   not answered
Q12A,1,1   a different styl
Q12A,2,2   an elected head
Q12A,3,3   an elected head
Q12A,4,8   can't choose
Q12A,5,9   not answered
Q12B,1,1   a different styl
Q12B,2,2   an elected head
Q12B,3,3   an elected head
Q12B,4,8   can't choose
Q12B,5,9   not answered
Q13A,1,1   strongly agree
Q13A,2,2   agree
Q13A,3,3   neither agree or
Q13A,4,4   disagree
Q13A,5,5   strongly disagre
Q13A,6,9   not answered
Q13B,1,1   strongly agree
Q13B,2,2   agree
Q13B,3,3   neither agree or
Q13B,4,4   disagree
Q13B,5,5   strongly disagre
Q13B,6,9   not answered
Q13C,1,1   strongly agree
Q13C,2,2   agree
Q13C,3,3   neither agree or
Q13C,4,4   disagree
Q13C,5,5   strongly disagre
Q13C,6,9   not answered
Q13D,1,1   strongly agree
Q13D,2,2   agree
Q13D,3,3   neither agree or
Q13D,4,4   disagree
Q13D,5,5   strongly disagre
Q13D,6,9   not answered
Q13E,1,1   strongly agree
Q13E,2,2   agree
Q13E,3,3   neither agree or
Q13E,4,4   disagree
Q13E,5,5   strongly disagre
Q13E,6,9   not answered
Q13F,1,1   strongly agree
Q13F,2,2   agree
Q13F,3,3   neither agree or
Q13F,4,4   disagree
Q13F,5,5   strongly disagre
Q13F,6,9   not answered
Q13G,1,1   strongly agree
Q13G,2,2   agree
Q13G,3,3   neither agree or
Q13G,4,4   disagree
Q13G,5,5   strongly disagre
Q13G,6,9   not answered
Q14,1,1   definitely
Q14,2,2   probably
Q14,3,3   definitely not
Q14,4,4   probably not
