source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
ARF22,double,haven_labelled|vctrs_vctr|double,,outcome of recruitment attempt,F8.0,,,TRUE,Retained
TOTAL,double,numeric,,,F8.0,,,TRUE,Retained
WEEKEND,double,haven_labelled|vctrs_vctr|double,,attended weekend,F8.0,,,TRUE,Retained
AGEGP,double,haven_labelled|vctrs_vctr|double,,agegp  age summary,F8.0,,,TRUE,Retained
AGESEX,double,haven_labelled|vctrs_vctr|double,,agesex  age group within sex,F8.0,,,TRUE,Retained
CHILD,double,haven_labelled|vctrs_vctr|double,,child  children in h/hold (a3a/b),F8.0,,,TRUE,Retained
YCHILD,double,haven_labelled|vctrs_vctr|double,,ychild  age of youngest child (a3b),F8.0,,,TRUE,Retained
MARSTAT,double,haven_labelled|vctrs_vctr|double,,marstat  summary marital status (a4),F8.0,,,TRUE,Retained
NEWSPAP,double,haven_labelled|vctrs_vctr|double,,newspap  summary newspaper readership (a,F8.0,,,TRUE,Retained
POLINT,double,haven_labelled|vctrs_vctr|double,,polint  interest in politics (a6),F8.0,,,TRUE,Retained
PARTY,double,haven_labelled|vctrs_vctr|double,,party  party identity (b1a),F8.0,,,TRUE,Retained
STATUS,double,haven_labelled|vctrs_vctr|double,,status  activity status (b3),F8.0,,,TRUE,Retained
SEGFULL,double,haven_labelled|vctrs_vctr|double,,segfull  full seg breakdown,F8.0,,,TRUE,Retained
CLASS,double,haven_labelled|vctrs_vctr|double,,class  summary class (based on seg),F8.0,,,TRUE,Retained
EDUCAGE,double,haven_labelled|vctrs_vctr|double,,educage  age left ft ed (b11),F8.0,,,TRUE,Retained
ACQUALS,double,haven_labelled|vctrs_vctr|double,,acquals  academic qualifications (b12a),F8.0,,,TRUE,Retained
VOQUALS,double,haven_labelled|vctrs_vctr|double,,vocquals  vocational qualifications (b12,F8.0,,,TRUE,Retained
QUALSUM,double,haven_labelled|vctrs_vctr|double,,qualsum qualifications summary (b12b),F8.0,,,TRUE,Retained
IDENT,double,haven_labelled|vctrs_vctr|double,,natid  national identity,F8.0,,,TRUE,Retained
