source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
answerf2,double,haven_labelled|vctrs_vctr|double,,r correct or not on sophf2,F8.0,,,TRUE,Retained
sophist1,double,haven_labelled|vctrs_vctr|double,,summary of r's knowledge of true and false qs (t1),F8.0,,,TRUE,Retained
sophist2,double,haven_labelled|vctrs_vctr|double,,summary of r's knowledge of true and false qs (t2),F8.0,,,TRUE,Retained
hknow1,double,numeric,,proportion of correct answers (true and false) (t1),F9.2,,,TRUE,Retained
hknow2,double,numeric,,proportion of correct answers (true and false) (t2),F9.2,,,TRUE,Retained
chhknow,double,numeric,,change in health knowledge (hknow2 - hknow1),F9.2,,,TRUE,Retained
part,double,haven_labelled|vctrs_vctr|double,,"participant in dop, or not participant",F8.0,,,TRUE,Retained
t1payhlt,double,numeric,,"T1 Healthcare Payer Index, recoded payhlth1, 0 to 1 scale, 0=govt pays, 1= indiv",F9.2,,,TRUE,Retained
t2payhlt,double,numeric,,"T2 Healthcare Payer Index, recoded payhlth2, 0 to 1 scale, 0=govt pays, 1= indiv",F9.2,,,TRUE,Retained
t1poora,double,numeric,,"T1 Priority to Poor Index, recoded poora1, 0 to 1 scale, 1=agree, 0= disagree",F9.2,,,TRUE,Retained
t2poora,double,numeric,,"T2 Priority to Poor Index, recoded poora2, 0 to 1 scale, 1=agree, 0= disagree",F9.2,,,TRUE,Retained
t1option,double,numeric,,"T1 Options Index, recoded options1, 0 to 1 scale, 1=spend more, 0= spend less",F9.2,,,TRUE,Retained
t2option,double,numeric,,"T2 Options Index, recoded options2, 0 to 1 scale, 1=spend more, 0= spend less",F9.2,,,TRUE,Retained
t1chgp,double,numeric,,"T1, recoded chgp1, 0 to 1 scale, 1=in favour, 0= against",F9.2,,,TRUE,Retained
t2chgp,double,numeric,,"T2, recoded chgp2, 0 to 1 scale, 1=in favour, 0= against",F9.2,,,TRUE,Retained
t1chvis,double,numeric,,"T1, recoded chvis1, 0 to 1 scale, 1=in favour, 0= against",F9.2,,,TRUE,Retained
t2chvis,double,numeric,,"T2, recoded chvis2, 0 to 1 scale, 1=in favour, 0= against",F9.2,,,TRUE,Retained
t1chmeal,double,numeric,,"T1, recoded chmeal1, 0 to 1 scale, 1=in favour, 0= against",F9.2,,,TRUE,Retained
t2chmeal,double,numeric,,"T2, recoded chmeal2, 0 to 1 scale, 1=in favour, 0= against",F9.2,,,TRUE,Retained
t1chstay,double,numeric,,"T1, recoded chstay1, 0 to 1 scale, 1=in favour, 0= against",F9.2,,,TRUE,Retained
t2chstay,double,numeric,,"T2, recoded chstay2, 0 to 1 scale, 1=in favour, 0= against",F9.2,,,TRUE,Retained
t1chamb,double,numeric,,"T1, recoded chamb1, 0 to 1 scale, 1=in favour, 0= against",F9.2,,,TRUE,Retained
t2chamb,double,numeric,,"T2, recoded chamb2, 0 to 1 scale, 1=in favour, 0= against",F9.2,,,TRUE,Retained
t1hlthfu,double,numeric,,"T1 Healthcare Funding Options Index: t1chgp, t1chvis, t1chmeal, t1stay, t1amb",F9.2,,,TRUE,Retained
t2hlthfu,double,numeric,,"T2 Healthcare Funding Options Index: t2chgp, t2chvis, t2chmeal, t2stay, t2amb",F9.2,,,TRUE,Retained
t1treata,double,numeric,,"T1, recoded treata, 1=everyone should have access to all, 0=lower priority on ex",F9.2,,,TRUE,Retained
t2treata,double,numeric,,"T2, recoded treata, 1=everyone should have access to all, 0=lower priority on ex",F9.2,,,TRUE,Retained
t1cuts,double,numeric,,"T1, recoded cuts1, 1=everyone has to right to access, 0=make cuts",F9.2,,,TRUE,Retained
t2cuts,double,numeric,,"T2, recoded cuts1, 1=everyone has to right to access, 0=make cuts",F9.2,,,TRUE,Retained
t1manage,double,numeric,,"T1 Managing Scarcity Index: t1treata, t1cuts",F9.2,,,TRUE,Retained
t2manage,double,numeric,,"T2 Managing Scarcity Index: t2treata, t2cuts",F9.2,,,TRUE,Retained
t1cthart,double,numeric,,"T1 recoded cthart1, 1= against cuts",F9.2,,,TRUE,Retained
t2cthart,double,numeric,,"T2 recoded cthart2, 1= against cuts",F9.2,,,TRUE,Retained
t1ctnurs,double,numeric,,"T1 recoded ctnurs1, 1= against cuts",F9.2,,,TRUE,Retained
t2ctnurs,double,numeric,,"T2 recoded ctnurs2, 1= against cuts",F9.2,,,TRUE,Retained
t1ctbaby,double,numeric,,"T1 recoded ctbaby1, 1= against cuts",F9.2,,,TRUE,Retained
t2ctbaby,double,numeric,,"T2 recoded ctbaby2, 1= against cuts",F9.2,,,TRUE,Retained
t1cutexp,double,numeric,,"T1 Cutting Expensive Treatments Index: t1cthart, t1ctnurs, t1ctbaby",F9.2,,,TRUE,Retained
t2cutexp,double,numeric,,"T2 Cutting Expensive Treatments Index: t2cthart, t2ctnurs, t2ctbaby",F9.2,,,TRUE,Retained
t1ctexpt,double,numeric,,T1 Cutting Expensive Treatments Version B: t1cutexptrtments t1treata,F9.2,,,TRUE,Retained
t2ctexpt,double,numeric,,T2 Cutting Expensive Treatments Version B: t2cutexptrtments t2treata,F9.2,,,TRUE,Retained
t1ctfert,double,numeric,,"T1 recoded ctfert1, 1= against cuts/privatization",F9.2,,,TRUE,Retained
t2ctfert,double,numeric,,"T2 recoded ctfert2, 1= against cuts/privatization",F9.2,,,TRUE,Retained
t1cthosp,double,numeric,,"T1 recoded cthosp1, 1= against cuts/privatization",F9.2,,,TRUE,Retained
t2cthosp,double,numeric,,"T2 recoded cthosp2, 1= against cuts/privatization",F9.2,,,TRUE,Retained
t1ctcosm,double,numeric,,"T1 recoded ctcosm1, 1= against cuts/privatization",F9.2,,,TRUE,Retained
t2ctcosm,double,numeric,,"T2 recoded ctcosm2, 1= against cuts/privatization",F9.2,,,TRUE,Retained
t1smking,double,numeric,,"T1 recoded prsmokb1, 1= no difference",F9.2,,,TRUE,Retained
t2smking,double,numeric,,"T2 recoded prsmokb2, 1= no difference",F9.2,,,TRUE,Retained
t1ageb,double,numeric,,"T1 recoded ageb1, 1= no difference",F9.2,,,TRUE,Retained
t2ageb,double,numeric,,"T2 recoded ageb2, 1= no difference",F9.2,,,TRUE,Retained
t1lista,double,numeric,,"T1 recoded lista1, 1=agree waiting list, no other considerations",F9.2,,,TRUE,Retained
t2lista,double,numeric,,"T1 recoded lista1, 1=agree waiting list, no other considerations",F9.2,,,TRUE,Retained
t1severa,double,numeric,,"T1 recoded severa1, 1=based on severity",F9.2,,,TRUE,Retained
t2severa,double,numeric,,"T2 recoded severa2, 1=based on severity",F9.2,,,TRUE,Retained
t1severi,double,numeric,,T1 Priority Based On Severity Index: t1lista t1severa - 1=based on severity,F9.2,,,TRUE,Retained
t2severi,double,numeric,,T2 Priority Based On Severity Index: t2lista t2severa - 1=based on severity,F9.2,,,TRUE,Retained
t1older,double,numeric,,"T1 recoded older1, 1= older people should have priority",F9.2,,,TRUE,Retained
t2older,double,numeric,,"T2 recoded older2, 1= older people should have priority",F9.2,,,TRUE,Retained
t1preven,double,numeric,,"T1 recoded preva1, 1= priority to prevention",F9.2,,,TRUE,Retained
t2preven,double,numeric,,"T2 recoded preva2, 1= priority to prevention",F9.2,,,TRUE,Retained
t1qoflif,double,numeric,,"T1 recoded lifea1, 1= quality of life would benefit most from treatment",F9.2,,,TRUE,Retained
t1bestde,double,numeric,,"T1 recoded bestdec1, 1= medical experts, 0=public guidelines",F9.2,,,TRUE,Retained
t2bestde,double,numeric,,"T2 recoded bestdec2, 1= medical experts, 0=public guidelines",F9.2,,,TRUE,Retained
t1ingpa,double,numeric,,"T1 recoded ingpa1, 1=most/all say",F9.2,,,TRUE,Retained
t2ingpa,double,numeric,,"T1 recoded ingpa2, 1=most/all say",F9.2,,,TRUE,Retained
t1indoca,double,numeric,,"T1 recoded indoca1, 1=most/all say",F9.2,,,TRUE,Retained
t2indoca,double,numeric,,"T2 recoded indoca2, 1=most/all say",F9.2,,,TRUE,Retained
t1inpuba,double,numeric,,"T1 recoded inpuba1, 1=most/all say",F9.2,,,TRUE,Retained
t2inpuba,double,numeric,,"T2 recoded inpuba2, 1=most/all say",F9.2,,,TRUE,Retained
t1ingova,double,numeric,,"T1 recoded ingova1, 1=most/all say",F9.2,,,TRUE,Retained
t2ingova,double,numeric,,"T2 recoded ingova2, 1=most/all say",F9.2,,,TRUE,Retained
t1dispub,double,numeric,,T1 average t1inpuba t1ingova,F9.2,,,TRUE,Retained
t2dispub,double,numeric,,T2 average t2inpuba t2ingova,F9.2,,,TRUE,Retained
t1diffav,double,numeric,,T1 Difference btwn t1avg2 t1avg1 (for discretion index),F9.2,,,TRUE,Retained
t2diffav,double,numeric,,T2 Difference btwn t2avg2 t2avg1 (for discretion index),F9.2,,,TRUE,Retained
t1discre,double,numeric,,T1 Discretion Index: t1diffavg2avg1 t1bestdec,F9.2,,,TRUE,Retained
t2discre,double,numeric,,T2 Discretion Index: t2diffavg2avg1 t2bestdec,F9.2,,,TRUE,Retained
t1moresa,double,numeric,,"T1 recoded say1, 1=agree",F9.2,,,TRUE,Retained
t2moresa,double,numeric,,"T2 recoded say2, 1=agree",F9.2,,,TRUE,Retained
t1wl,double,numeric,,T1 average of t1smkingview t1ageb (for waiting list index),F9.2,,,TRUE,Retained
t2wl,double,numeric,,T2 average of t2smkingview t2ageb (for waiting list index),F9.2,,,TRUE,Retained
t1waitli,double,numeric,,T1 Waiting List Index: t1wl  t1lista,F9.2,,,TRUE,Retained
t2waitli,double,numeric,,T2 Waiting List Index: t2wl  t2lista,F9.2,,,TRUE,Retained
t2qoflif,double,numeric,," T2 recoded lifea2, 1 = strongly agree",F9.2,,,TRUE,Retained
t1pritre,double,numeric,,"T1 Privatizing Some Treatments Index, ctfert & ctcosm, 1 = against cuts",F9.2,,,TRUE,Retained
t2pritre,double,numeric,,"T2 Privatizing Some Treatments Index, ctfert & ctcosm, 1 = against cuts",F9.2,,,TRUE,Retained
t1smkbtr,double,numeric,,"T1 recoded prsmokb, 0=smoker, .5=no difference, 1=nonsmoker",F9.2,,,TRUE,Retained
t2smkbtr,double,numeric,,"T2 recoded prsmokb, 0=smoker, .5=no difference, 1=nonsmoker",F9.2,,,TRUE,Retained
t1agebtr,double,numeric,,"T1 recoded ageb, 0=smoker, .5=no difference, 1=nonsmoker",F9.2,,,TRUE,Retained
t2agebtr,double,numeric,,"T2 recoded ageb, 0=smoker, .5=no difference, 1=nonsmoker",F9.2,,,TRUE,Retained
t1lowris,double,numeric,,"T1 Priority to Lower Risk Patients? - smkbtri, agebtri",F9.2,,,TRUE,Retained
t2lowris,double,numeric,,"T2 Priority to Lower Risk Patients? - smkbtri, agebtri",F9.2,,,TRUE,Retained
t1avgdis,double,numeric,,T1 Discretion: Doctors - Avg of ingpa & indoca,F9.2,,,TRUE,Retained
t2avgdis,double,numeric,,T12 Discretion: Doctors - Avg of ingpa & indoca,F9.2,,,TRUE,Retained
knowdiff,double,numeric,,,F8.2,,,TRUE,Retained
gender_D,double,numeric,,Female Dummy,F8.2,,,TRUE,Retained
Notmarried_D,double,numeric,,Not Married Dummy,F8.2,,,TRUE,Retained
income_r,double,numeric,,Income,F8.2,,,TRUE,Retained
educa_r,double,numeric,,Education,F8.2,,,TRUE,Retained
DiffHealthPay,double,numeric,,Healthcare Payer 0govt pays 1 indiv,F8.2,,,TRUE,Retained
PriorityPoorCh,double,numeric,,Priority to Poor,F8.2,,,TRUE,Retained
OptionsCh,double,numeric,,Options 1 spend more 0 spend less,F8.2,,,TRUE,Retained
HealthfundCh,double,numeric,,Healthcare Funding Options,F8.2,,,TRUE,Retained
CuttingExpensiveCh,double,numeric,,Cutting Expensive Treatments,F8.2,,,TRUE,Retained
PrivateTreatCh,double,numeric,,Privatizing Some Treatments,F8.2,,,TRUE,Retained
WaitingList,double,numeric,,waiting list,F8.2,,,TRUE,Retained
SeverityCh,double,numeric,,Priority Based On Severity,F8.2,,,TRUE,Retained
PriorityPrevCh,double,numeric,,priority to prevention,F8.2,,,TRUE,Retained
QualofLifeCh,double,numeric,,quality of life would benefit most from treatment,F8.2,,,TRUE,Retained
DiscretionPubCh,double,numeric,,DISCRETION: PUBLIC & GOV’T,F8.2,,,TRUE,Retained
DoctorDiscCh,double,numeric,,Doctors Discretion,F8.2,,,TRUE,Retained
PatientSayCh,double,numeric,,Patients have more say,F8.2,,,TRUE,Retained
AbsDiffHealthPay,double,numeric,,,F8.2,,,TRUE,Retained
AbsPriorityPoorCh,double,numeric,,,F8.2,,,TRUE,Retained
AbsOptionsCh,double,numeric,,,F8.2,,,TRUE,Retained
AbsHealthfundCh,double,numeric,,,F8.2,,,TRUE,Retained
AbsCuttingExpensiveCh,double,numeric,,,F8.2,,,TRUE,Retained
AbsPrivateTreatCh,double,numeric,,,F8.2,,,TRUE,Retained
AbsPriorityPrevCh,double,numeric,,,F8.2,,,TRUE,Retained
AbsSeverityCh,double,numeric,,,F8.2,,,TRUE,Retained
AbsWaitingList,double,numeric,,,F8.2,,,TRUE,Retained
AbsQualofLifeCh,double,numeric,,,F8.2,,,TRUE,Retained
AbsDiscretionPubCh,double,numeric,,,F8.2,,,TRUE,Retained
AbsDoctorDiscCh,double,numeric,,,F8.2,,,TRUE,Retained
AbsPatientSayCh,double,numeric,,,F8.2,,,TRUE,Retained
class_R,double,numeric,,Working Class Dummy,F8.2,,,TRUE,Retained
ethnic_R,double,numeric,,Non White Dummy,F8.2,,,TRUE,Retained
selfemp_R,double,numeric,,Self Employed Dummy,F8.2,,,TRUE,Retained
hshldsz_R,double,numeric,,Only 1 adult 18+ Dummy,F8.2,,,TRUE,Retained
superv_R,double,numeric,,Supervise more than 1 person Dummy,F8.2,,,TRUE,Retained
employ_R,double,numeric,,Not full time employed Dummy,F8.2,,,TRUE,Retained
Working,double,numeric,,Full time or part time work,F8.2,,,TRUE,Retained
kid_R,double,numeric,,Kids under 17 Dummy,F8.2,,,TRUE,Retained
pollid,double,numeric,,,F8.2,,,TRUE,Retained
mode,double,numeric,,,F8.2,,,TRUE,Retained
t1knowlevel,double,numeric,,,F8.2,,,TRUE,Retained
numitems,double,numeric,,,F8.2,,,TRUE,Retained
pollid1,character,character,,,A4,,,TRUE,Retained
group1,character,character,,,A4,,,TRUE,Retained
pollgroup1,character,character,,,A8,,,TRUE,Retained
pollgroup,double,numeric,,,F8.0,,,TRUE,Retained
