source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
educa,double,haven_labelled|vctrs_vctr|double,,highest qualification at or after school (b11),F8.0,,,TRUE,Retained
educb,double,haven_labelled|vctrs_vctr|double,,highest qualification (b12),F8.0,,,TRUE,Retained
pastgp,double,haven_labelled|vctrs_vctr|double,,visited an nhs gp (b13a),F8.0,,,TRUE,Retained
pastout,double,haven_labelled|vctrs_vctr|double,,outpatient in an nhs hospital (b13b),F8.0,,,TRUE,Retained
pastin,double,haven_labelled|vctrs_vctr|double,,inpatient in an nhs hospital (b13c),F8.0,,,TRUE,Retained
pastvis,double,haven_labelled|vctrs_vctr|double,,visited patient in an nhs hospital (b13d),F8.0,,,TRUE,Retained
pastpat,double,haven_labelled|vctrs_vctr|double,,treatment as a private patient (b13e),F8.0,,,TRUE,Retained
privins,double,haven_labelled|vctrs_vctr|double,,private health insurance scheme (b14),F8.0,,,TRUE,Retained
health,double,haven_labelled|vctrs_vctr|double,,general health for your age (b15a),F8.0,,,TRUE,Retained
wrryhlth,double,haven_labelled|vctrs_vctr|double,,worry about your health (b15b),F8.0,,,TRUE,Retained
smokstat,double,haven_labelled|vctrs_vctr|double,,smoking status (b16),F8.0,,,TRUE,Retained
ethnic,double,haven_labelled|vctrs_vctr|double,,ethnic group (b17),F8.0,,,TRUE,Retained
income,double,haven_labelled|vctrs_vctr|double,,total income of your household (b18),F8.0,,,TRUE,Retained
solpro,double,haven_labelled|vctrs_vctr|double,,standard of living change (b19),F8.0,,,TRUE,Retained
trusta,double,haven_labelled|vctrs_vctr|double,,trust govt nation over politics (b20a),F8.0,,,TRUE,Retained
trustb,double,haven_labelled|vctrs_vctr|double,,trust british journalists (b20b),F8.0,,,TRUE,Retained
trustc,double,haven_labelled|vctrs_vctr|double,,trust top civil servants (b20c),F8.0,,,TRUE,Retained
trustd,double,haven_labelled|vctrs_vctr|double,,trust hospital doctors (b20d),F8.0,,,TRUE,Retained
truste,double,haven_labelled|vctrs_vctr|double,,trust police (b20e),F8.0,,,TRUE,Retained
phone,double,haven_labelled|vctrs_vctr|double,,telephone in household (b21a),F8.0,,,TRUE,Retained
canring,double,haven_labelled|vctrs_vctr|double,,satisfactory interview check (b21b),F8.0,,,TRUE,Retained
duration,double,haven_labelled|vctrs_vctr|double,,interview duration (b22b),F8.0,,,TRUE,Retained
dateofi,double,haven_labelled|vctrs_vctr|double,,interview date (b22c),F8.0,,,TRUE,Retained
interno,double,haven_labelled|vctrs_vctr|double,,interviewer number (b22f),F8.0,,,TRUE,Retained
soclss,double,haven_labelled|vctrs_vctr|double,,social class,F8.0,,,TRUE,Retained
mtneed1,double,haven_labelled|vctrs_vctr|double,,nhs meets everyone's medical needs t1 (q1),F8.0,,,TRUE,Retained
options1,double,haven_labelled|vctrs_vctr|double,,government options t1 (q2),F8.0,,,TRUE,Retained
comp1,double,haven_labelled|vctrs_vctr|double,,complaints taken seriously t1 (q3a),F8.0,,,TRUE,Retained
well1,double,haven_labelled|vctrs_vctr|double,,well enough to leave hospital t1 (q3b),F8.0,,,TRUE,Retained
trtmt1,double,haven_labelled|vctrs_vctr|double,,views on your treatment taken seriously t1 (q3c),F8.0,,,TRUE,Retained
oper1,double,haven_labelled|vctrs_vctr|double,,operation at set time t1 (q3d),F8.0,,,TRUE,Retained
hlth1,double,haven_labelled|vctrs_vctr|double,,views on health care t1 (q4),F8.0,,,TRUE,Retained
payhlth1,double,haven_labelled|vctrs_vctr|double,,payment for health care t1 (q5),F8.0,,,TRUE,Retained
payown1,double,haven_labelled|vctrs_vctr|double,,pay for own health care  t1 (q6),F8.0,,,TRUE,Retained
cuts1,double,haven_labelled|vctrs_vctr|double,,cutting treatments t1 (q7),F8.0,,,TRUE,Retained
resrcs1,double,haven_labelled|vctrs_vctr|double,,future nhs resources t1 (q8),F8.0,,,TRUE,Retained
sopha1,double,haven_labelled|vctrs_vctr|double,,standard charge for prescription t1 (q9a),F8.0,,,TRUE,Retained
sophb1,double,haven_labelled|vctrs_vctr|double,,proportion of old people getting larger t1 (q9b),F8.0,,,TRUE,Retained
sophc1,double,haven_labelled|vctrs_vctr|double,,spending on nhs doubled in last 20 years t1 (q9c),F8.0,,,TRUE,Retained
sophd1,double,haven_labelled|vctrs_vctr|double,,people use private medical treatment t1 (q9d),F8.0,,,TRUE,Retained
sophe1,double,haven_labelled|vctrs_vctr|double,,free breast cancer screening t1 (q9e),F8.0,,,TRUE,Retained
sophf1,double,haven_labelled|vctrs_vctr|double,,cosmetic surgery never available on nhs t1 (q9f),F8.0,,,TRUE,Retained
prsmoka1,double,haven_labelled|vctrs_vctr|double,,smoking affects treatment priority t1 (q10a),F8.0,,,TRUE,Retained
prsmokb1,double,haven_labelled|vctrs_vctr|double,,r's view on smoking and priority t1 (q10b),F8.0,,,TRUE,Retained
agea1,double,haven_labelled|vctrs_vctr|double,,age matters in treatment priority t1 (q11a),F8.0,,,TRUE,Retained
ageb1,double,haven_labelled|vctrs_vctr|double,,respondent's age priority t1 (q11b),F8.0,,,TRUE,Retained
treata1,double,haven_labelled|vctrs_vctr|double,,lower priority to expensive treatments t1 (q12a),F8.0,,,TRUE,Retained
treatb1,double,haven_labelled|vctrs_vctr|double,,nhs actions on expensive treatments t1 (q12b),F8.0,,,TRUE,Retained
lifea1,double,haven_labelled|vctrs_vctr|double,,quality of life t1 (q13a),F8.0,,,TRUE,Retained
lifeb1,double,haven_labelled|vctrs_vctr|double,,nhs priority to quality of life t1 (q13b),F8.0,,,TRUE,Retained
preva1,double,haven_labelled|vctrs_vctr|double,,priority to prevention t1 (q14a),F8.0,,,TRUE,Retained
prevb1,double,haven_labelled|vctrs_vctr|double,,nhs priority to prevention t1 (q14b),F8.0,,,TRUE,Retained
severa1,double,haven_labelled|vctrs_vctr|double,,priority to severity t1 (q15a),F8.0,,,TRUE,Retained
severb1,double,haven_labelled|vctrs_vctr|double,,respondent's priority to severity t1 (q15b),F8.0,,,TRUE,Retained
lista1,double,haven_labelled|vctrs_vctr|double,,priority to waiting list t1 (q16a),F8.0,,,TRUE,Retained
listb1,double,haven_labelled|vctrs_vctr|double,,nhs priority to waiting list t1 (q16b),F8.0,,,TRUE,Retained
poora1,double,haven_labelled|vctrs_vctr|double,,priority to poor t1 (q17a),F8.0,,,TRUE,Retained
poorb1,double,haven_labelled|vctrs_vctr|double,,nhs priority to the poor t1 (q17b),F8.0,,,TRUE,Retained
ingova1,double,haven_labelled|vctrs_vctr|double,,amount of govt input t1 (q18a_a),F8.0,,,TRUE,Retained
ingpa1,double,haven_labelled|vctrs_vctr|double,,amount of gp input t1 (q18a_b),F8.0,,,TRUE,Retained
inhma1,double,haven_labelled|vctrs_vctr|double,,hospital or health service manager input t1 (q18a_c),F8.0,,,TRUE,Retained
indoca1,double,haven_labelled|vctrs_vctr|double,,amount of doctor input t1 (q18a_d),F8.0,,,TRUE,Retained
inpuba1,double,haven_labelled|vctrs_vctr|double,,amount of general public input t1 (q18a_e),F8.0,,,TRUE,Retained
ingovb1,double,haven_labelled|vctrs_vctr|double,,amount of input govt does have t1 (q18b_a),F8.0,,,TRUE,Retained
ingpb1,double,haven_labelled|vctrs_vctr|double,,amount of input gps have t1 (q18b_b_,F8.0,,,TRUE,Retained
inhmb1,double,haven_labelled|vctrs_vctr|double,,input hospital or health service managers have t1 (q18b_c),F8.0,,,TRUE,Retained
indocb1,double,haven_labelled|vctrs_vctr|double,,amount of input doctors have t1 (q18b_d),F8.0,,,TRUE,Retained
inpubb1,double,haven_labelled|vctrs_vctr|double,,amount of input from general public t1 (q18b_e),F8.0,,,TRUE,Retained
bestdec1,double,haven_labelled|vctrs_vctr|double,,best way to make decision t1 (q19),F8.0,,,TRUE,Retained
cthart1,double,haven_labelled|vctrs_vctr|double,,nhs cut down on heart transplants t1 (q20_a),F8.0,,,TRUE,Retained
ctnurs1,double,haven_labelled|vctrs_vctr|double,,nhs cut down on long term nursing care t1 (q20_b),F8.0,,,TRUE,Retained
ctbaby1,double,haven_labelled|vctrs_vctr|double,,nhs cut down on intensive care for premature babies t1 (q20_c),F8.0,,,TRUE,Retained
ctfert1,double,haven_labelled|vctrs_vctr|double,,nhs cut down on fertility treatment t1 (q21_a),F8.0,,,TRUE,Retained
cthosp1,double,haven_labelled|vctrs_vctr|double,,nhs cut down on hospice care for terminal t1 (q21_b),F8.0,,,TRUE,Retained
ctcosm1,double,haven_labelled|vctrs_vctr|double,,nhs cut down on cosmetic surgery t1 (q21_c),F8.0,,,TRUE,Retained
chgp1,double,haven_labelled|vctrs_vctr|double,,charges for visiting your gp t1 (q22_a),F8.0,,,TRUE,Retained
chvis1,double,haven_labelled|vctrs_vctr|double,,charges for your gp visiting t1 (q22_b),F8.0,,,TRUE,Retained
chmeal1,double,haven_labelled|vctrs_vctr|double,,charges for hospital meals t1 (q22_c),F8.0,,,TRUE,Retained
chstay1,double,haven_labelled|vctrs_vctr|double,,charges for accomodation in hospital t1 (q22_d),F8.0,,,TRUE,Retained
chamb1,double,haven_labelled|vctrs_vctr|double,,introducing charges for non-emergency ambulance t1 (q22_e),F8.0,,,TRUE,Retained
effic1,double,haven_labelled|vctrs_vctr|double,,nhs efficiency t1 (q23_a),F8.0,,,TRUE,Retained
say1,double,haven_labelled|vctrs_vctr|double,,patients have more say t1 (q23_b),F8.0,,,TRUE,Retained
older1,double,haven_labelled|vctrs_vctr|double,,older people have priority for treatment t1 (q23_c),F8.0,,,TRUE,Retained
expect1,double,haven_labelled|vctrs_vctr|double,,expect too much of the nhs t1 (q23_d),F8.0,,,TRUE,Retained
save1,double,haven_labelled|vctrs_vctr|double,,save life at any cost t1 (q23_e),F8.0,,,TRUE,Retained
ration1,double,haven_labelled|vctrs_vctr|double,,ration treatments  t1 (q23_f),F8.0,,,TRUE,Retained
best1,double,haven_labelled|vctrs_vctr|double,,nhs is best in the world t1 (q23_g),F8.0,,,TRUE,Retained
social1,double,haven_labelled|vctrs_vctr|double,,improved social conditions reduce demands t1 (q23_h),F8.0,,,TRUE,Retained
natint1,double,haven_labelled|vctrs_vctr|double,,vote based on national interests t1 (q24_a),F8.0,,,TRUE,Retained
blame1,double,haven_labelled|vctrs_vctr|double,,poor people have themselves to blame t1 (q24_b),F8.0,,,TRUE,Retained
succes1,double,haven_labelled|vctrs_vctr|double,,too concerned about unsuccessful t1 (q24_c),F8.0,,,TRUE,Retained
govrl1,double,haven_labelled|vctrs_vctr|double,,life is never fair so no govt role t1 (q24_d),F8.0,,,TRUE,Retained
country,double,haven_labelled|vctrs_vctr|double,,country (country),F8.0,,,TRUE,Retained
agegp,double,haven_labelled|vctrs_vctr|double,,age grouped (agegp derived from  a2),F8.0,,,TRUE,Retained
agesex,double,haven_labelled|vctrs_vctr|double,,,F8.0,,,TRUE,Retained
kids,double,haven_labelled|vctrs_vctr|double,,children in household (kids),F8.0,,,TRUE,Retained
party,double,haven_labelled|vctrs_vctr|double,,respondent's pid (derived from b1a and b1b),F8.0,,,TRUE,Retained
acqual,double,haven_labelled|vctrs_vctr|double,,academic qualifications (acqual derived from b11),F8.0,,,TRUE,Retained
degree,double,haven_labelled|vctrs_vctr|double,,respondent has degree (degree derived from b12),F8.0,,,TRUE,Retained
seg,double,haven_labelled|vctrs_vctr|double,,grouped seg,F8.0,,,TRUE,Retained
segabr,double,haven_labelled|vctrs_vctr|double,,,F8.0,,,TRUE,Retained
educ,double,haven_labelled|vctrs_vctr|double,,highest educ qualification reached (educ),F8.0,,,TRUE,Retained
hospexp,double,haven_labelled|vctrs_vctr|double,,hospital experience (hospexp),F8.0,,,TRUE,Retained
smoke,double,haven_labelled|vctrs_vctr|double,,,F8.0,,,TRUE,Retained
quiz,double,haven_labelled|vctrs_vctr|double,,,F8.0,,,TRUE,Retained
arrival,double,haven_labelled|vctrs_vctr|double,,respondent booked on the friday (arrival),F8.0,,,TRUE,Retained
group,double,haven_labelled|vctrs_vctr|double,,"respondent""s discussion group number (group)",F8.0,,,TRUE,Retained
manwkend,double,haven_labelled|vctrs_vctr|double,,attended and completed post-wknd questionnaire (manwkend),F8.0,,,TRUE,Retained
mtneed2,double,haven_labelled|vctrs_vctr|double,,nhs meets everyone's medical needs t2 (w1),F8.0,,,TRUE,Retained
options2,double,haven_labelled|vctrs_vctr|double,,government options t2 (w2),F8.0,,,TRUE,Retained
comp2,double,haven_labelled|vctrs_vctr|double,,complaints taken seriously t2 (w3a),F8.0,,,TRUE,Retained
well2,double,haven_labelled|vctrs_vctr|double,,well enough to leave hospital t2 (w3b),F8.0,,,TRUE,Retained
trtmt2,double,haven_labelled|vctrs_vctr|double,,views on your treatment taken seriously t2 (w3c),F8.0,,,TRUE,Retained
oper2,double,haven_labelled|vctrs_vctr|double,,operation at set time t2 (w3d),F8.0,,,TRUE,Retained
hlth2,double,haven_labelled|vctrs_vctr|double,,views on health care t2 (w4),F8.0,,,TRUE,Retained
payhlth2,double,haven_labelled|vctrs_vctr|double,,payment for health care t2 (w5),F8.0,,,TRUE,Retained
payown2,double,haven_labelled|vctrs_vctr|double,,pay for own health care t2 (w6),F8.0,,,TRUE,Retained
cuts2,double,haven_labelled|vctrs_vctr|double,,cutting treatments t2 (w7),F8.0,,,TRUE,Retained
resrcs2,double,haven_labelled|vctrs_vctr|double,,future nhs resources t2 (w8),F8.0,,,TRUE,Retained
sopha2,double,haven_labelled|vctrs_vctr|double,,standard charge for prescription  t2 (w9a),F8.0,,,TRUE,Retained
sophb2,double,haven_labelled|vctrs_vctr|double,,proportion of old people getting larger t2 (w9b),F8.0,,,TRUE,Retained
sophc2,double,haven_labelled|vctrs_vctr|double,,spending on nhs doubled in last 20 years  t2 (w9c),F8.0,,,TRUE,Retained
sophd2,double,haven_labelled|vctrs_vctr|double,,people use private medical treatment t2 (w9d),F8.0,,,TRUE,Retained
sophe2,double,haven_labelled|vctrs_vctr|double,,free breast cancer screening t2 (w9e),F8.0,,,TRUE,Retained
sophf2,double,haven_labelled|vctrs_vctr|double,,cosmetic surgery not available on nhs t2 (w9f),F8.0,,,TRUE,Retained
prsmoka2,double,haven_labelled|vctrs_vctr|double,,smoking affects treatment priority t2 (w10a),F8.0,,,TRUE,Retained
prsmokb2,double,haven_labelled|vctrs_vctr|double,,r's view on smoking and priority t2 (w10b),F8.0,,,TRUE,Retained
agea2,double,haven_labelled|vctrs_vctr|double,,age matters in treatment priority t2 (w11a),F8.0,,,TRUE,Retained
ageb2,double,haven_labelled|vctrs_vctr|double,,respondent's age priority t2 (w11b),F8.0,,,TRUE,Retained
treata2,double,haven_labelled|vctrs_vctr|double,,lower priority to expensive treatments t2 (w12a),F8.0,,,TRUE,Retained
treatb2,double,haven_labelled|vctrs_vctr|double,,nhs actions on expensive treatments t2 (w12b),F8.0,,,TRUE,Retained
lifea2,double,haven_labelled|vctrs_vctr|double,,quality of life t2 (w13a),F8.0,,,TRUE,Retained
lifeb2,double,haven_labelled|vctrs_vctr|double,,nhs priority to quality of life t2 (w13b),F8.0,,,TRUE,Retained
preva2,double,haven_labelled|vctrs_vctr|double,,priority to prevention t2 (w14a),F8.0,,,TRUE,Retained
prevb2,double,haven_labelled|vctrs_vctr|double,,nhs priority to prevention t2 (w14b),F8.0,,,TRUE,Retained
