table,path,rows,columns,sha256,schema_version
analysis_polls,output/analysis/analysis_polls.parquet,50,15,a3ec215e82b74fec9fc725aa5f3f7b9437b5ff4139e09a696cce12d3560eaf5b,1
analysis_poll_events,output/analysis/analysis_poll_events.parquet,54,10,6264f3f23f287f091a6d2545c92d0f09c0b1a7ca1724677c62790a6607670214,1
analysis_items,output/analysis/analysis_items.parquet,245,14,8d18a7ff395700526e19bb812bab80d1fe49d85ab441cfdc453c09003ec86823,1
analysis_participants,output/analysis/analysis_participants.parquet,51681,16,ff012f1efcdebef7b0fb47a5b664b1176a3afa10bddf4c6d9e88abf4caf55d1c,1
analysis_item_responses,output/analysis/analysis_item_responses.parquet,750441,11,7fde8c3642dae0b30939bc37766dc5ca88a17a8100be0a9e63db3156ab7e40d4,1
analysis_scores,output/analysis/analysis_scores.parquet,95125,9,40dacb9e0491735cec7a476095c3dc0342336072cb6ceb0f3965d879607cd5ef,1
