legacy_field,caseid,historical_value,approved_value
t1knowcor,1600,0.5555555555555556,0.5555555555555556
t1knowcor,1601,0.8888888888888888,0.8888888888888888
t1knowcor,1602,0.3333333333333333,0.3333333333333333
t1knowcor,1603,0.7777777777777778,0.7777777777777778
t1knowcor,1604,0.5555555555555556,0.5555555555555556
t1knowcor,1605,0.5555555555555556,0.4444444444444444
t1knowcor,1606,0.4444444444444444,0.4444444444444444
t1knowcor,1607,0.8888888888888888,0.7777777777777778
t1knowcor,1608,0.5555555555555556,0.5555555555555556
t1knowcor,1609,0.5555555555555556,0.5555555555555556
t1knowcor,1610,0.7777777777777778,0.6666666666666666
t1knowcor,1611,0.6666666666666666,0.6666666666666666
t1knowcor,1612,0.4444444444444444,0.4444444444444444
t1knowcor,1613,0.6666666666666666,0.6666666666666666
t1knowcor,1614,0.4444444444444444,0.4444444444444444
t1knowcor,1615,0.4444444444444444,0.4444444444444444
t1knowcor,1616,0.6666666666666666,0.6666666666666666
t1knowcor,1617,0.7777777777777778,0.7777777777777778
t1knowcor,1618,0.5555555555555556,0.5555555555555556
t1knowcor,1619,0.6666666666666666,0.6666666666666666
t1knowcor,1620,0.5555555555555556,0.5555555555555556
t1knowcor,1621,0.2222222222222222,0.2222222222222222
t1knowcor,1622,0.1111111111111111,0
t1knowcor,1623,0.4444444444444444,0.4444444444444444
t1knowcor,1624,0.6666666666666666,0.6666666666666666
t1knowcor,1625,0.7777777777777778,0.7777777777777778
t1knowcor,1626,0.3333333333333333,0.3333333333333333
t1knowcor,1627,0.7777777777777778,0.7777777777777778
t1knowcor,1628,0.6666666666666666,0.5555555555555556
t1knowcor,1629,0.4444444444444444,0.4444444444444444
t1knowcor,1630,0.4444444444444444,0.4444444444444444
t1knowcor,1631,0.4444444444444444,0.4444444444444444
t1knowcor,1632,0.1111111111111111,0.1111111111111111
t1knowcor,1633,0.4444444444444444,0.4444444444444444
t1knowcor,1634,0.6666666666666666,0.6666666666666666
t1knowcor,1635,0.7777777777777778,0.7777777777777778
t1knowcor,1636,0.4444444444444444,0.4444444444444444
t1knowcor,1637,0.4444444444444444,0.4444444444444444
t1knowcor,1638,0.5555555555555556,0.5555555555555556
t1knowcor,1639,0.6666666666666666,0.6666666666666666
t1knowcor,1640,0.8888888888888888,0.8888888888888888
t1knowcor,1641,0.1111111111111111,0.1111111111111111
t1knowcor,1642,0.6666666666666666,0.6666666666666666
t1knowcor,1643,0.6666666666666666,0.6666666666666666
t1knowcor,1644,0.6666666666666666,0.6666666666666666
t1knowcor,1645,0.4444444444444444,0.4444444444444444
t1knowcor,1646,0.7777777777777778,0.7777777777777778
t1knowcor,1647,0.8888888888888888,0.8888888888888888
t1knowcor,1648,0.7777777777777778,0.7777777777777778
t1knowcor,1649,0.8888888888888888,0.8888888888888888
t1knowcor,1650,0.8888888888888888,0.8888888888888888
t1knowcor,1651,0.6666666666666666,0.6666666666666666
t1knowcor,1652,0.6666666666666666,0.6666666666666666
t1knowcor,1653,0.8888888888888888,0.8888888888888888
t1knowcor,1654,0.2222222222222222,0.2222222222222222
t1knowcor,1655,0.5555555555555556,0.5555555555555556
t1knowcor,1656,0.7777777777777778,0.7777777777777778
t1knowcor,1657,0.5555555555555556,0.4444444444444444
t1knowcor,1658,0.6666666666666666,0.6666666666666666
t1knowcor,1659,0.3333333333333333,0.2222222222222222
t1knowcor,1660,0.4444444444444444,0.4444444444444444
t1knowcor,1661,0.8888888888888888,0.7777777777777778
t1knowcor,1662,0.2222222222222222,0.2222222222222222
t1knowcor,1663,0.4444444444444444,0.4444444444444444
t1knowcor,1664,0.3333333333333333,0.3333333333333333
t1knowcor,1665,0.8888888888888888,0.8888888888888888
t1knowcor,1666,1,1
t1knowcor,1667,0.5555555555555556,0.5555555555555556
t1knowcor,1668,0.5555555555555556,0.5555555555555556
t1knowcor,1669,0.4444444444444444,0.4444444444444444
t1knowcor,1670,0.8888888888888888,0.8888888888888888
t1knowcor,1671,0.4444444444444444,0.4444444444444444
t1knowcor,1672,0.7777777777777778,0.7777777777777778
t1knowcor,1673,0.3333333333333333,0.3333333333333333
t1knowcor,1674,0.5555555555555556,0.5555555555555556
t1knowcor,1675,0.4444444444444444,0.4444444444444444
t1knowcor,1676,0.8888888888888888,0.8888888888888888
t1knowcor,1677,0.7777777777777778,0.7777777777777778
t1knowcor,1678,0.6666666666666666,0.5555555555555556
t1knowcor,1679,0.6666666666666666,0.6666666666666666
t1knowcor,1680,0.8888888888888888,0.8888888888888888
t1knowcor,1681,0.1111111111111111,0.1111111111111111
t1knowcor,1682,0.5555555555555556,0.5555555555555556
t1knowcor,1683,0.5555555555555556,0.5555555555555556
t1knowcor,1684,0.3333333333333333,0.3333333333333333
t1knowcor,1685,0.3333333333333333,0.2222222222222222
t1knowcor,1686,0.7777777777777778,0.7777777777777778
t1knowcor,1687,0.3333333333333333,0.2222222222222222
t1knowcor,1688,0.2222222222222222,0.2222222222222222
