legacy_field,caseid,source_row,historical_value,approved_value
btp03.olt1demo,930001,1,0.238888889551163,0.23888888955116272
btp03.olt1demo,930002,2,0.727777779102325,0.894444465637207
btp03.olt1demo,930003,3,0.644444465637207,0.8111110925674438
btp03.olt1demo,930004,4,0.800000011920929,0.9666666388511658
btp03.olt1demo,930005,5,0.416666656732559,0.4166666567325592
btp03.olt1demo,930006,6,0.488888889551163,0.4888888895511627
btp03.olt1demo,930007,7,0.649999976158142,0.8166666626930237
btp03.olt1demo,930008,8,0.477777779102325,0.47777777910232544
btp03.olt1demo,930009,9,0.316666662693024,0.3166666626930237
btp03.olt1demo,930010,10,0.566666662693024,0.7333333492279053
btp03.olt1demo,930011,11,0.75,0.8333333134651184
btp03.olt1demo,930012,12,0.466666668653488,0.46666666865348816
btp03.olt1demo,930013,13,0.438888877630234,0.5222222208976746
btp03.olt1demo,930014,14,0.611111104488373,0.7777777910232544
btp03.olt1demo,930015,15,0.600000023841858,0.7666666507720947
btp03.olt1demo,930016,16,0.238888889551163,0.3222222328186035
btp03.olt1demo,930017,17,0.600000023841858,0.7666666507720947
btp03.olt1demo,930018,18,0.461111098527908,0.4611110985279083
btp03.olt1demo,930019,19,0.611111104488373,0.694444477558136
btp03.olt1demo,930020,20,0.483333319425583,0.4833333194255829
btp03.olt1demo,930021,21,0.400000005960464,0.4000000059604645
btp03.olt1demo,930022,22,0.244444444775581,0.24444444477558136
btp03.olt1demo,930023,23,0.694444417953491,0.8611111044883728
btp03.olt1demo,930024,24,0.672222197055817,0.8388888835906982
btp03.olt1demo,930025,25,0.75,0.9166666865348816
btp03.olt1demo,930026,26,0.461111098527908,0.6277777552604675
btp03.olt1demo,930027,27,0.627777755260468,0.7944444417953491
btp03.olt1demo,930028,28,0.611111104488373,0.6944444179534912
btp03.olt1demo,930029,29,0.527777791023254,0.6944444179534912
btp03.olt1demo,930030,30,0.222222223877907,0.2222222238779068
btp03.olt1demo,930031,31,0.583333313465118,0.75
btp03.olt1demo,930032,32,0.144444450736046,0.14444445073604584
btp03.olt1demo,930033,33,0.50555557012558,0.5055555701255798
btp03.olt1demo,930034,34,0.416666686534882,0.5
btp03.olt1demo,930035,35,0.191666662693024,0.19166666269302368
btp03.olt1demo,930036,36,0.466666668653488,0.46666666865348816
btp03.olt1demo,930037,37,0.37777778506279,0.3777777850627899
btp03.olt1demo,930038,38,0.544444441795349,0.7111111283302307
btp03.olt1demo,930039,39,0.538888871669769,0.6222222447395325
btp03.olt1demo,930040,40,0.711111128330231,0.7944444417953491
btp03.olt1demo,930041,41,0.416666656732559,0.4166666567325592
btp03.olt1demo,930042,42,0.672222197055817,0.7555555701255798
btp03.olt1demo,930043,43,0.455555558204651,0.5388888716697693
btp03.olt1demo,930044,44,0.627777755260468,0.7944444417953491
btp03.olt1demo,930045,45,0.544444441795349,0.7111111283302307
btp03.olt1demo,930046,46,0.294444441795349,0.3777777850627899
btp03.olt1demo,930047,47,0.644444465637207,0.8111110925674438
btp03.olt1demo,930048,48,0.588888883590698,0.7555555701255798
btp03.olt1demo,930049,49,0.449999988079071,0.44999998807907104
btp03.olt1demo,930050,50,0.577777743339539,0.7444444298744202
btp03.olt1demo,930051,51,0.588888883590698,0.7555555701255798
btp03.olt1demo,930052,52,0.533333301544189,0.6166666746139526
btp03.olt1demo,930053,53,0.37777778506279,0.3777777850627899
btp03.olt1demo,930054,54,0.433333337306976,0.4333333373069763
btp03.olt1demo,930055,55,0.577777802944183,0.7444444298744202
btp03.olt1demo,930056,56,0.466666698455811,0.46666669845581055
btp03.olt1demo,930057,57,0.566666662693024,0.5666666626930237
btp03.olt1demo,930058,58,0.37777778506279,0.3777777850627899
btp03.olt1demo,930059,59,0.461111098527908,0.5444444417953491
btp03.olt1demo,930060,60,0.516666650772095,0.6833333373069763
btp03.olt1demo,930061,61,0.194444447755814,0.1944444477558136
btp03.olt1demo,930062,62,0.727777779102325,0.894444465637207
btp03.olt1demo,930063,63,0.711111128330231,0.8777777552604675
btp03.olt1demo,930064,64,0.5,0.5833333134651184
btp03.olt1demo,930065,65,0.283333331346512,0.28333333134651184
btp03.olt1demo,930066,66,0.466666668653488,0.46666666865348816
btp03.olt1demo,930067,67,0.444444447755814,0.5277777910232544
btp03.olt1demo,930068,68,0.583333313465118,0.5833333134651184
btp03.olt1demo,930069,69,0.527777791023254,0.6944444179534912
btp03.olt1demo,930070,70,0.50555557012558,0.5888888835906982
btp03.olt1demo,930071,71,0.583333313465118,0.75
btp03.olt1demo,930072,72,0.37222221493721,0.3722222149372101
btp03.olt1demo,930073,73,0.566666662693024,0.7333333492279053
btp03.olt1demo,930074,74,0.238888904452324,0.2388889044523239
btp03.olt1demo,930075,75,0.388888895511627,0.3888888955116272
btp03.olt1demo,930076,76,0.161111116409302,0.16111111640930176
btp03.olt1demo,930077,77,0.716666638851166,0.8833333253860474
btp03.olt1demo,930078,78,0.450000017881393,0.45000001788139343
btp03.olt1demo,930079,79,0.649999976158142,0.8166666626930237
btp03.olt1demo,930080,80,0.555555582046509,0.7222222089767456
btp03.olt1demo,930081,81,0.355555564165115,0.43888887763023376
btp03.olt1demo,930082,82,0.316666662693024,0.3166666626930237
btp03.olt1demo,930083,83,0.611111104488373,0.7777777910232544
btp03.olt1demo,930084,84,0.638888895511627,0.8055555820465088
btp03.olt1demo,930085,85,0.37777778506279,0.3777777850627899
btp03.olt1demo,930086,86,0.49444442987442,0.6611111164093018
btp03.olt1demo,930087,87,0.188888892531395,0.18888889253139496
btp03.olt1demo,930088,88,0.533333361148834,0.6166666746139526
btp03.olt1demo,930089,89,0.322222232818604,0.3222222328186035
btp03.olt1demo,930090,90,0.5,0.5
btp03.olt1demo,930091,91,0.655555546283722,0.8222222328186035
btp03.olt1demo,930092,92,0.416666656732559,0.4166666567325592
btp03.olt1demo,930093,93,0.227777779102325,0.22777777910232544
btp03.olt1demo,930094,94,0.627777755260468,0.7111111283302307
btp03.olt1demo,930095,95,0.688888907432556,0.855555534362793
btp03.olt1demo,930096,96,0.644444465637207,0.8111110925674438
btp03.olt1demo,930097,97,0.561111092567444,0.644444465637207
btp03.olt1demo,930098,98,0.661111116409302,0.8277778029441833
btp03.olt1demo,930099,99,0.51111114025116,0.5944444537162781
btp03.olt1demo,930100,100,0.538888871669769,0.7055555582046509
btp03.olt1demo,930101,101,0.308333337306976,0.3083333373069763
btp03.olt1demo,930102,102,0.161111116409302,0.16111111640930176
btp03.olt1demo,930103,103,0.594444453716278,0.7611110806465149
btp03.olt1demo,930104,104,0.300000011920929,0.46666666865348816
btp03.olt1demo,930105,105,0.305555552244186,0.3055555522441864
btp03.olt1demo,930106,106,0.611111104488373,0.6944444179534912
btp03.olt1demo,930107,107,0.427777767181396,0.4277777671813965
btp03.olt1demo,930108,108,0.777777791023254,0.9444444179534912
btp03.olt1demo,930109,109,0.694444417953491,0.8611111044883728
btp03.olt1demo,930110,110,0.733333349227905,0.8999999761581421
btp03.olt1demo,930111,111,0.733333349227905,0.8999999761581421
btp03.olt1demo,930112,112,0.438888877630234,0.5222222208976746
btp03.olt1demo,930113,113,0.311111122369766,0.47777777910232544
btp03.olt1demo,930114,114,0.338888883590698,0.33888888359069824
btp03.olt1demo,930115,115,0.444444447755814,0.6111111044883728
btp03.olt1demo,930116,116,0.51111114025116,0.6777777671813965
btp03.olt1demo,930117,117,0.649999976158142,0.8166666626930237
btp03.olt1demo,930118,118,0.455555558204651,0.6222222447395325
btp03.olt1demo,930119,119,0.579999983310699,0.746666669845581
btp03.olt1demo,930120,120,0.405555546283722,0.4055555462837219
btp03.olt1demo,930121,121,0.677777767181396,0.8444444537162781
btp03.olt1demo,930122,122,0.411111116409302,0.49444445967674255
btp03.olt1demo,930123,123,0.394444435834885,0.39444443583488464
btp03.olt1demo,930124,124,0.461111128330231,0.5444444417953491
btp03.olt1demo,930125,125,0.422222226858139,0.42222222685813904
btp03.olt1demo,930126,126,0.344444453716278,0.3444444537162781
btp03.olt1demo,930127,127,0.622222244739532,0.7888888716697693
btp03.olt1demo,930128,128,0.533333361148834,0.699999988079071
btp03.olt1demo,930129,129,0.572222232818604,0.7388888597488403
btp03.olt1demo,930130,130,0.616666674613953,0.7833333611488342
btp03.olt1demo,930131,131,0.466666668653488,0.46666666865348816
btp03.olt1demo,930132,132,0.875,0.875
btp03.olt1demo,930133,133,0.649999976158142,0.8166666626930237
btp03.olt1demo,930134,134,0.472222238779068,0.5555555820465088
btp03.olt1demo,930135,135,0.661111116409302,0.8277778029441833
btp03.olt1demo,930136,136,0.238888904452324,0.2388889044523239
btp03.olt1demo,930137,137,0.666666686534882,0.8333333134651184
btp03.olt1demo,930138,138,0.416666656732559,0.4166666567325592
btp03.olt1demo,930139,139,0.699999988079071,0.8666666746139526
btp03.olt1demo,930140,140,0.37777778506279,0.3777777850627899
btp03.olt1demo,930141,141,0.227777779102325,0.22777777910232544
btp03.olt1demo,930142,142,0.616666674613953,0.7833333015441895
btp03.olt1demo,930143,143,0.327777802944183,0.32777780294418335
btp03.olt1demo,930144,144,0.722222208976746,0.8888888955116272
btp03.olt1demo,930145,145,0.277777791023254,0.2777777910232544
btp03.olt1demo,930146,146,0.733333349227905,0.7333333492279053
btp03.olt1demo,930147,147,0.550000011920929,0.550000011920929
btp03.olt1demo,930148,148,0.561111092567444,0.7277777791023254
btp03.olt1demo,930149,149,0.577777802944183,0.7444444298744202
btp03.olt1demo,930150,150,0.688888907432556,0.855555534362793
btp03.olt1demo,930151,151,0.677777767181396,0.8444444537162781
btp03.olt1demo,930152,152,0.450000017881393,0.5333333611488342
btp03.olt1demo,930153,153,0.611111104488373,0.7777777910232544
btp03.olt1demo,930154,154,0.541666686534882,0.5416666865348816
btp03.olt1demo,930155,155,0.691666662693024,0.6916666626930237
btp03.olt1demo,930156,156,0.322222232818604,0.3222222328186035
btp03.olt1demo,930157,157,0.383333325386047,0.38333332538604736
btp03.olt1demo,930158,158,0.699999988079071,0.8666666746139526
btp03.olt1demo,930159,159,0.616666674613953,0.699999988079071
btp03.olt1demo,930160,160,0.427777767181396,0.4277777671813965
btp03.olt1demo,930161,161,0.777777791023254,0.9444444179534912
btp03.olt1demo,930162,162,0.658333301544189,0.6583333015441895
btp03.olt1demo,930163,163,0.316666662693024,0.4000000059604645
btp03.olt1demo,930164,164,0.594444453716278,0.7611111402511597
btp03.olt1demo,930165,165,0.716666698455811,0.7166666984558105
btp03.olt1demo,930166,166,0.288888901472092,0.2888889014720917
btp03.olt1demo,930167,167,0.338888913393021,0.33888891339302063
btp03.olt1demo,930168,168,0.5,0.6666666865348816
btp03.olt1demo,930169,169,0.577777802944183,0.7444444298744202
btp03.olt1demo,930170,170,0.427777796983719,0.42777779698371887
btp03.olt1demo,930171,171,0.388888895511627,0.472222238779068
btp03.olt1demo,930172,172,0.338888883590698,0.33888888359069824
btp03.olt1demo,930173,173,0.727777779102325,0.894444465637207
btp03.olt1demo,930174,174,0.538888871669769,0.7055555582046509
btp03.olt1demo,930175,175,0.777777791023254,0.9444444179534912
btp03.olt1demo,930176,176,0.438888877630234,0.43888887763023376
btp03.olt1demo,930177,177,0.133333340287209,0.13333334028720856
