table,path,rows,columns,sha256,schema_version
derived_measures,output/polardata/derived_measures.parquet,181939,9,14089f6406abaac7989d8cc7b01222afa7e9ddf67b0f00e18c8a448775cd52ff,2
polardata,output/polardata/polardata.parquet,5869,364,6052cb84f20f05b331f07a1b806ef6d55832073fed4b4c592b2868014dad479d,1
polardata,output/polardata/polardata.tab,5869,364,996df60094069440eac9bedd43827f26ef9d1716eb29e8494b913c0ec74caca3,1
attitude_indices,output/polardata/attitude-indices.parquet,129,7,acd8c33dce01f82632d9af7469f7eecb1d47511bb1e2e6ef515398746d82418b,1
attitude_indices,output/polardata/attitude-indices.tab,129,7,d2d81cdac3c9cea257954ac5c6e513d9d09ce253babd7d9f8ab6ae8cd2c9b281,1
uk_health_partial,output/polardata/uk-health-1998.parquet,230,73,28b741b1ef3b749b33282f5f7b97a06b5dbaf9e48dcfe9d01f8bf2bfb6cebf61,1
