source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
S11_11_2,double,haven_labelled|vctrs_vctr|double,float64,Fremskridtspartiet,F8.0,,,TRUE,Retained
S11_12_2,double,haven_labelled|vctrs_vctr|double,float64,Enhedslisten,F8.0,,,TRUE,Retained
S11_13_2,double,haven_labelled|vctrs_vctr|double,float64,Frihed 2000,F8.0,,,TRUE,Retained
S12A_2,double,haven_labelled|vctrs_vctr|double,float64,12a. Borgere som dig selv ikke har indflydelse på Folketingets og Regeringens beslutninger?,F8.0,,,TRUE,Retained
S12B_2,double,haven_labelled|vctrs_vctr|double,float64,12b. Borgere som dig selv ikke har indflydelse på EUs beslutninger?,F8.0,,,TRUE,Retained
S12C_2,double,haven_labelled|vctrs_vctr|double,float64,12c. Borgere som dig selv er kvalificeret til at deltage i en debat om euroen?,F8.0,,,TRUE,Retained
S12D_2,double,haven_labelled|vctrs_vctr|double,float64,"12d. Borgere som dig selv har en mening om politik, som er værd at lytte til?",F8.0,,,TRUE,Retained
S12E_2,double,haven_labelled|vctrs_vctr|double,float64,"12e. Manglende viden er grunden til, at andre borgere har en anden opfattelse af politik end dig selv?",F8.0,,,TRUE,Retained
S12F_2,double,haven_labelled|vctrs_vctr|double,float64,12f. Andre borgere har gode argumenter for at have en anderledes opfattelse af politik end du selv har?,F8.0,,,TRUE,Retained
S13A_2,double,haven_labelled|vctrs_vctr|double,float64,13a. I hvor høj grad føler du dig velinformeret om euroen?,F8.0,,,TRUE,Retained
S13B_2,double,haven_labelled|vctrs_vctr|double,float64,13b. I hvor høj grad følger du med i den politiske debat om euroen?,F8.0,,,TRUE,Retained
S13C_2,double,haven_labelled|vctrs_vctr|double,float64,13c. I hvor høj grad er du politisk interesseret?,F8.0,,,TRUE,Retained
S13D_2,double,haven_labelled|vctrs_vctr|double,float64,13d. I hvor høj grad har du tillid til danske politikere?,F8.0,,,TRUE,Retained
S14_2,double,haven_labelled|vctrs_vctr|double,float64,"14. I din omgangskreds sker det så ofte, nu og da eller aldrig, at I taler om politiske forhold?",F8.0,,,TRUE,Retained
