source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
caseid,double,numeric,,Case identification number,F8.0,,,TRUE,Retained
group,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,,Small group number,F8.0,-1,,TRUE,Retained
part,double,haven_labelled|vctrs_vctr|double,,Participant in DOP? (1=Yes),F8.0,,,TRUE,Retained
region,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,,Standard Region,F8.0,-1|99,,TRUE,Retained
sex,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,,Sex of respondent (A1 IAQ),F8.0,-1,,TRUE,Retained
age,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,,Age of respondent (A2 IAQ),F8.0,-1,97|99,TRUE,Retained
child17,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,,Number of children 0-17 (A3a IAQ),F8.0,-1|99,,TRUE,Retained
child5,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,,How many are aged under 5? (A3b IAQ),F8.0,-1|9,,TRUE,Retained
child511,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,,How many are aged between 5 and 11? (A3b IAQ),F8.0,-1|9,,TRUE,Retained
child12,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,,How many are aged between 12 and 15? (A3b IAQ),F8.0,-1|9,,TRUE,Retained
child16,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,,How many are aged between 16 and 17? (A3b IAQ),F8.0,-1|9,,TRUE,Retained
marital,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,,Marital status (A4 IAQ),F8.0,-1|9,,TRUE,Retained
readnews,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,,Do you normally read any daily morning newspaper a least three times a week? (A5a IAQ),F8.0,-1|9,,TRUE,Retained
whichpap,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,,Which paper do you normally read (A5b IAQ),F8.0,-1|99,,TRUE,Retained
genint,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,,How interested would you say you are in politics generally ... (A6 IAQ),F8.0,-1|9|8,,TRUE,Retained
futint,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,,And how interested would you say you are in the future of Britain in Europe ... (A7 IAQ),F8.0,-1|9|8,,TRUE,Retained
majknowl,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,,How knowledgeable British public are about stronger links with Europe (A8a IAQ),F8.0,-1|9|8,,TRUE,Retained
ownknowl,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,,How knowledgeable personally about stronger links with Europe (A8b IAQ),F8.0,-1|9|8,,TRUE,Retained
ptyalleg,double,haven_labelled_spss|haven_labelled|vctrs_vctr|double,,Party allegiance (B1a IAQ),F8.0,-1,97|99,TRUE,Retained
