source_column,source_value,value_label
part,0,No
part,1,Yes
region,-1,Not applicable
region,1,North
region,2,North West
region,3,Yorks+Humberside
region,4,West Mids
region,5,East Mids
region,6,East Anglia
region,7,South West
region,8,South East
region,9,G.London
region,10,Wales
region,11,Scotland
region,99,Not answered
sex,-1,Not applicable
sex,0,Male
sex,1,Female
age,-1,Not applicable
age,96,96+
age,97,Refused
age,98,Dont know
age,99,Not answered
child17,-1,Not applicable
child17,0,None
child17,99,Not answered
child5,-1,Not applicable
child5,0,NONE
child5,9,Not answered
child511,-1,Not applicable
child511,0,NONE
child511,9,Not answered
child12,-1,Not applicable
child12,0,NONE
child12,9,Not answered
child16,-1,Not applicable
child16,0,NONE
child16,9,Not answered
marital,-1,Not applicable
marital,1,"Married,"
marital,2,"Living as married,"
marital,3,Separated or divorced
marital,4,Widowed
marital,5,Single and never married
marital,9,Not answered
readnews,-1,Not applicable
readnews,0,No
readnews,1,Yes
readnews,9,Not answered
whichpap,-1,Not applicable
whichpap,1,(Scottish) Daily Express
whichpap,2,Daily Mail
whichpap,3,Daily Mirror/Record
whichpap,4,Daily Star
whichpap,5,The Sun
whichpap,6,Today
whichpap,7,Daily Telegraph
whichpap,8,Financial Times
whichpap,9,The Guardian
whichpap,10,The Independent
whichpap,11,The Times
whichpap,12,Other daily morning paper
whichpap,99,Not answered
genint,-1,Not applicable
genint,1,Not at all interested
genint,2,Not very interested
genint,3,Fairly interested
genint,4,Very interested
genint,8,Can't say
genint,9,Not answered
futint,-1,Not applicable
futint,1,Not at all interested
futint,2,Not very interested
futint,3,Fairly interested
futint,4,Very interested
futint,8,Can't say
futint,9,Not answered
majknowl,-1,Not applicable
majknowl,1,Not at all knowledgeable
majknowl,2,Not very knowledgeable
majknowl,3,Fairly knowledgeable
majknowl,4,Very knowledgeable
majknowl,8,Can't say
majknowl,9,Not answered
ownknowl,-1,Not applicable
ownknowl,1,Not at all knowledgeable
ownknowl,2,Not very knowledgeable
ownknowl,3,Fairly knowledgeable
ownknowl,4,Very knowledgeable
ownknowl,8,Can't say
ownknowl,9,Not answered
ptyalleg,-1,Not applicable
ptyalleg,0,None/No
ptyalleg,1,Conservative
ptyalleg,2,Labour
ptyalleg,3,Liberal Democrat
ptyalleg,4,Scottish Nationalist
ptyalleg,5,Plaid Cymru
ptyalleg,6,Green Party
ptyalleg,7,Other party
ptyalleg,97,Refused
ptyalleg,98,Don't know
ptyalleg,99,Not answered
closer,-1,Not applicable
closer,0,None/No
closer,1,Conservative
closer,2,Labour
closer,3,Liberal Democrat
closer,4,Scottish Nationnalist
closer,5,Plaid Cymru
closer,6,Green Party
closer,7,Other party
closer,97,Refused
closer,98,Don't know
closer,99,Not answered
strength,-1,Not applicable
strength,1,Not very strong
strength,2,Fairly strong
strength,3,Very strong
strength,8,Don't know
strength,9,Not answered
votejune,-1,Not applicable
votejune,0,"No, did not vote"
