legacy_field,caseid,source_row,historical_value,approved_value
grpgain,950001,1,0.100000003476938,0.4500000113000473
grpgain,950002,2,0.175000003911555,0.3750000065192581
grpgain,950003,3,0.166666679705183,0.27777780385481143
grpgain,950004,4,0.222222248299256,0.22222224829925585
grpgain,950006,6,0.0357142871112697,0.2857143229671909
grpgain,950007,7,0.341666666232049,0.46666667709747955
grpgain,950008,8,0.0833333398525917,0.6666667188207339
grpgain,950009,9,0,0.47500003233552035
grpgain,950010,10,0.285714279753821,0.47142860540321957
grpgain,950011,11,0.0888888956109684,0.3111111398537959
grpgain,950013,13,NA,NA
grpgain,950014,14,0.420634925365448,0.5158730745315552
grpgain,950015,15,0.0277777785021398,0.25000000434617203
grpgain,950016,16,0.0714285742225393,0.35714289067047184
grpgain,950017,17,0,0.26666667640209213
grpgain,950018,18,0.200000012516976,0.25000001043081305
grpgain,950019,19,0.11111112733682,0.28888891855875704
grpgain,950020,20,0.288461549494129,0.3076923177219355
grpgain,950021,21,0.300000010430813,0.47500002738088387
grpgain,950023,23,0.426666690587998,0.4266666905879979
grpgain,950024,24,0.200000013038517,0.2666666927437003
grpgain,950025,25,0.166666679705183,0.25000002607703364
grpgain,950026,26,0.333333368102712,0.44444447921382263
grpgain,950027,27,0.333333342025677,0.44444447341892473
grpgain,950028,28,0.214285716414452,0.3095238208770752
grpgain,950029,29,0.355555582443874,0.44444446762402895
grpgain,950031,31,0,0.35714289067047184
grpgain,950032,32,0.25,0.4642857291868764
grpgain,950033,33,0,0.3500000260770336
grpgain,950035,35,0.10416666775321,0.1458333387660484
grpgain,950036,36,0.128571421716894,0.5285714363200326
grpgain,950037,37,0.177777795162467,0.4888889584276453
grpgain,950041,41,0.150000005215406,0.3750000065192581
grpgain,950042,42,0.480000021696091,0.520000020027161
grpgain,950046,46,0.111111118354731,0.25000001303851616
grpgain,950047,47,0.119047621531146,0.21428571180218728
grpgain,950049,49,NA,NA
grpgain,950051,51,0.265306115150452,0.37755101919174194
grpgain,950052,52,0.138888907722301,0.3055555656966237
grpgain,950053,53,0,0.314814833165319
grpgain,950054,54,0.1666666927437,0.27777780385481143
grpgain,950055,55,0.333333385487401,0.3888889410429562
grpgain,950056,56,0.0666666743159296,0.3777778037389124
grpgain,950059,59,0.0512820529536559,0.35897437502176344
grpgain,950060,60,0.464285757126553,0.48214289160179263
grpgain,950061,61,0.214285711802187,0.21428571180218728
grpgain,950062,62,0.349206358194351,0.4761904776096344
grpgain,950063,63,0,0.47142860540321957
grpgain,950066,66,0.200000002607703,0.47500002738088387
grpgain,950067,67,0,0.3500000260770336
grpgain,950068,68,0,0.4444444965985117
grpgain,950069,69,0.0833333398525917,0.5000000521540673
grpgain,950072,72,0,0.41666670143604484
grpgain,950073,73,0.350000006258488,0.42000002419948623
grpgain,950074,74,0.0833333420256774,0.44444447341892473
grpgain,950075,75,0.216666681443652,0.416666697089871
grpgain,950076,76,0,0.4583333615834516
grpgain,950078,78,0.42222224632899,0.5333333528041843
grpgain,950080,80,0.0277777795886828,0.33333334202567744
grpgain,950081,81,0.384615416710194,0.38461541671019356
grpgain,950082,82,0.200000013038517,0.40000002607703367
grpgain,950083,83,0.246153856745133,0.32307695132035524
grpgain,950084,84,0.292307700973291,0.3384615660630745
grpgain,950085,85,0.13333334637185,0.20000001303851683
grpgain,950086,86,0.266666697263718,0.40000002503395127
grpgain,950087,87,0.482142891601793,0.5178571605522719
grpgain,950088,88,0.190476205377352,0.3333333507180215
grpgain,950089,89,0.0370370413832093,0.3888889236582671
grpgain,950090,90,0.687500026077034,0.6875000260770336
grpgain,950091,91,0.440000023365021,0.520000020027161
grpgain,950092,92,0,0.4444444965985117
grpgain,950093,93,0.430555585254398,0.5138889142415591
grpgain,950094,94,0.310000007927418,0.42000002419948623
grpgain,950095,95,0.244444449080361,0.5222222297555871
grpgain,950096,96,0.177777795162467,0.377777812547156
grpgain,950098,98,0.066666669100523,0.4800000216960911
grpgain,950099,99,0,0.36666670143604485
grpgain,950100,100,0,0.38461541671019356
grpgain,950101,101,0.250000026077034,0.6666667188207339
grpgain,950104,104,0.583333337679505,0.5833333376795053
grpgain,950105,105,0.337500008475035,0.437500003259629
grpgain,950106,106,0.0933333398699762,0.4800000216960911
grpgain,950107,107,0.145833338766048,0.18750000325962904
grpgain,950110,110,0.46666667709748,0.47777778762910106
grpgain,950111,111,0.361111127047075,0.4537037148105878
grpgain,950112,112,0.277777812547156,0.3888889236582671
grpgain,950113,113,0.190476205377352,0.3333333507180215
grpgain,950114,114,0.166666675359011,0.4537037148105878
grpgain,950116,116,0,0.7000000521540672
grpgain,950117,117,0.128205130211054,0.4102564236292473
grpgain,950118,118,0.107142864593438,0.1785714322967191
grpgain,950119,119,0.205128222512894,0.2820512994359711
grpgain,950120,120,0.250000010430813,0.42000002419948623
grpgain,950121,121,NA,NA
grpgain,950122,122,0.250000026077034,0.3888889410429562
grpgain,950123,123,0.0666666710128389,0.4666667014360449
grpgain,950124,124,0.300000034769378,0.4000000347693782
grpgain,950125,125,0.244444461829134,0.4888889584276453
grpgain,950126,126,0.128205130211054,0.4102564236292473
grpgain,950127,127,0,0.43333336288730323
grpgain,950128,128,0.250000010430813,0.4800000216960911
grpgain,950129,129,0.333333342025677,0.3833333394179742
grpgain,950130,130,0.277777803854811,0.3888889410429562
grpgain,950131,131,0.0750000073015691,0.5250000511109838
grpgain,950132,132,0.142857148445079,0.5000000521540673
grpgain,950133,133,0.221428573131561,0.5
grpgain,950134,134,0.355555582443874,0.46666668891906776
grpgain,950135,135,0.129629640253606,0.314814833165319
grpgain,950136,136,0.0250000016298146,0.37500002607703364
grpgain,950137,137,0.420634925365448,0.5158730745315552
grpgain,950138,138,0.292307700973291,0.46153848400482805
grpgain,950139,139,0.27777778936757,0.5277778024060861
grpgain,950140,140,0.35000000782311,0.4500000286847355
grpgain,950141,141,0.3222222401864,0.5000000086923441
grpgain,950142,142,0,0.9333334376414679
grpgain,950144,144,NA,NA
grpgain,950145,145,0,0.3750000521540673
grpgain,950146,146,0,0.5185185262450466
grpgain,950148,148,NA,NA
grpgain,950149,149,0.472527474164963,0.47252747416496277
grpgain,950150,150,0.500000052154067,0.5666667188207339
grpgain,950151,151,0.107142858207226,0.535714328289032
grpgain,950152,152,0.142857152791251,0.21428571180218728
grpgain,950154,154,0.150000004172325,0.1833333465456965
grpgain,950155,155,0.166666670143604,0.1833333465456965
grpgain,950156,156,0.0576923112026774,0.46153848962141936
grpgain,950157,157,0,0.22222224829925585
grpgain,950158,158,0.232142865657806,0.5714285373687744
grpgain,950159,159,0.0769230834423353,0.07692308344233534
grpgain,950160,160,0.366666701436045,0.6000000695387564
grpgain,950161,161,0.309523819457918,0.4761905208939624
grpgain,950163,163,0.0416666710128387,0.43055558525439785
grpgain,950165,165,0.222222236709462,0.4861111379125054
grpgain,950166,166,0.107692313629847,0.32307695132035524
grpgain,950167,167,0.450000002086163,0.5250000511109838
grpgain,950168,168,0.0634920671582222,0.4761904776096344
grpgain,950170,170,0.495238095521927,0.5333333611488342
grpgain,950171,171,0.500000052154067,0.5000000521540673
grpgain,950174,174,0.107692313629847,0.32307695132035524
grpgain,950175,175,0.0714285726703349,0.5714285813626789
grpgain,950176,176,0.125000013038517,0.25000002607703364
grpgain,950177,177,0.205128222512894,0.23076926553860896
grpgain,950178,178,0.300000019123157,0.5500000060846408
grpgain,950179,179,0.240000010848046,0.4800000216960911
grpgain,950180,180,0.300000010430813,0.4250000299885871
grpgain,950181,181,0.153061226010323,0.37755101919174194
grpgain,950183,183,0.0972222258440323,0.5000000086923441
grpgain,950184,184,0.333333368102712,0.377777812547156
grpgain,950185,185,0.300000034769378,0.36666670143604485
grpgain,950187,187,0.166666679705183,0.22222224829925585
grpgain,950188,188,0.0634920671582222,0.5158730745315552
grpgain,950189,189,0.476190520893962,0.5238095834141722
grpgain,950190,190,NA,NA
grpgain,950191,191,0.11666666927437,0.46666667709747955
grpgain,950192,192,0,0.15384616688467068
