poll_id,title,year,place,topic,mode,collection
uk-crime-1994,UK Crime,1994,Britain,Crime,face-to-face,cdd
uk-eu-1995,UK EU,1995,Britain,Britain's future in Europe,face-to-face,cdd
uk-monarchy-1996,UK Monarchy,1996,Britain,Future of the monarchy,face-to-face,cdd
nic-1996,National Issues Convention,1996,United States,Foreign and economic policy,face-to-face,cdd
cpl-1996,Central Power & Light,1996,Texas,Electricity choices,face-to-face,cdd
wtu-1996,West Texas Utilities,1996,Texas,Electricity choices,face-to-face,cdd
swepco-1996,Southwestern Electric Power,1996,Texas,Electricity choices,face-to-face,cdd
uk-general-election-1997,UK General Election,1997,Britain,Electoral choice,face-to-face,cdd
uk-health-1998,UK Health,1998,Britain,National Health Service,face-to-face,cdd
australia-republic-1999,Australia Republic Referendum,1999,Australia,Becoming a republic,face-to-face,cdd
denmark-euro-2000,Denmark: Euro,2000,Denmark,Adopting the euro,face-to-face,cdd
nic2-2003,National Issues Convention 2,2003,United States,Foreign policy,face-to-face,cdd
btp-national-2003,By the People: National,2003,United States,Foreign policy,online,cdd
btp-online-primaries-2004,By the People 2004 Online Primaries,2004,United States,Presidential primaries,online,cdd
btp-presidential-primaries-2004,By the People 2004 US Presidential Primaries,2004,United States,Presidential primaries,online,cdd
btp-general-election-2004,By the People 2004 US General Election,2004,United States,Presidential election,online,cdd
new-haven-2004,"New Haven, CT",2004,Connecticut,Airport and regional tax sharing,face-to-face,cdd
btp-health-education-2005,By the People: Health and Education,2005,United States,Health care and education,online,cdd
zeguo-2005,Zeguo Township,2005,China,Local infrastructure projects,face-to-face,cdd
marousi-2006,"Marousi, Greece",2006,Greece,Choosing a mayoral candidate,face-to-face,cdd
tomorrows-europe-2007,Tomorrow's Europe (EU),2007,European Union,"Pensions, globalization and enlargement",face-to-face,cdd
bulgaria-2007,Bulgarian National,2007,Bulgaria,"Roma housing, crime and education",face-to-face,cdd
northern-ireland-2007,Northern Ireland,2007,Northern Ireland,Local education,face-to-face,cdd
vermont-energy-2007,Vermont Energy,2007,Vermont,Energy choices,face-to-face,cdd
btp-2007,By the People 2007,2007,United States,Electoral reform,online,cdd
san-mateo-2008,"San Mateo, CA",2008,California,Housing,face-to-face,cdd
europolis-2009,Europolis,2009,European Union,Climate change and immigration,face-to-face,cdd
michigan-2009,Michigan,2009,Michigan,Economy and budget,face-to-face,cdd
california-whats-next-2011,California What's Next,2011,California,Government reform,face-to-face,cdd
tanzania-2015,Tanzania,2015,Tanzania,Resource governance,face-to-face,public-replication
america-in-one-room-2019,America in One Room,2019,United States,National policy,face-to-face,public-replication
a1r-climate-2021,America in One Room: Climate,2021,United States,Climate and energy,online,public-replication
amr-2024,Antimicrobial Resistance,2024,Six countries,Antimicrobial resistance,online,public-replication
bulgaria-crime-2002,Bulgarian National Crime Poll,2002,Bulgaria,Crime and criminal justice,face-to-face,cdd
porto-alegre-2009,Porto Alegre Statewide Deliberative Poll,2009,"Porto Alegre, Rio Grande do Sul, Brazil",Civil service career reform,face-to-face,materials-only
entergy-1998,Entergy Texas Southeast Texas Town Meeting,1998,"Beaumont, Texas",Electricity resource planning,face-to-face,materials-only
texas-utilities-1998,Texas Utilities Partners in Choice for Texas,1998,"Dallas, Texas",Electricity resource planning,face-to-face,materials-only
southwestern-public-service-1998,Southwestern Public Service Town Meeting,1998,"Amarillo, Texas",Electricity resource planning,face-to-face,materials-only
el-paso-electric-1997,El Paso Electric Southwest Town Meeting,1997,"El Paso, Texas",Electricity resource planning,face-to-face,materials-only
new-haven-education-2005,Greater New Haven Citizens Forum on Education,2005,"New Haven, Connecticut",Academic achievement gap,face-to-face,materials-only
dearborn-healthcare-2005,Healthcare Summit at Henry Ford Community College,2005,"Dearborn, Michigan",Local healthcare,face-to-face,materials-only
nebraska-education-2005,By the People Citizen Deliberation in Kearney,2005,"Kearney, Nebraska",Nebraska education policy,face-to-face,materials-only
rochester-education-2005,Deliberation Week Rochester Education,2005,"Rochester, New York",Equal educational opportunities,,materials-only
bowling-green-healthcare-2005,WBGU-PBS Deliberation Week Citizen Summits,2005,Northwest Ohio,Local healthcare,face-to-face,materials-only
kansas-city-healthcare-2005,By the People Kansas City Healthcare,2005,"Kansas City, Missouri",Health care cost and access,,materials-only
albuquerque-education-2005,By the People Albuquerque Citizen Dialogue,2005,"Albuquerque, New Mexico",Educational achievement gaps,face-to-face,materials-only
baton-rouge-hammond-healthcare-2005,By the People Baton Rouge and Hammond Healthcare Forums,2005,"Baton Rouge and Hammond, Louisiana","HIV/AIDS, long-term healthcare, and health insurance",face-to-face,materials-only
charlottesville-healthcare-2005,By the People Charlottesville Healthcare Dialogue,2005,"Charlottesville, Virginia",Healthcare for rural central Virginia,face-to-face,materials-only
muncie-healthcare-2005,By the People Muncie Wellness Dialogue,2005,"Muncie, Indiana",Individual wellness and healthcare,face-to-face,materials-only
south-florida-healthcare-2006,WPBT Citizens Healthcare Forum,2006,"Fort Lauderdale, Florida",Healthcare access and costs,face-to-face,materials-only
