legacy_field,layer,alias_of,evidence
X,export-artifact,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
pollid,identifier,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
caseid,identifier,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
country,poll-metadata,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
mode,poll-metadata,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
t1knowlevel,poll-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
numitems,poll-metadata,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
pollgroup,identifier,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
groupsize,group-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
avgsd,group-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
numindices,poll-metadata,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
genvar,group-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
readbrief,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
t1know,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
t1knowr,respondent,t1know,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R; conditional alias: excludes Australia Republic and UK Crime; consult poll-specific targets
t1knowcor,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
grpgain,group-derived,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
t2know,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
ppage,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
educ4,respondent,,vault/cdd/merge_data_scripts/03_data.R; 04_kyu.R; 05_fix_data.R; 06_add_more_vars.R
