reference_id,poll_id,kind,title,url,local_artifact_id,accessed,notes
us-cpl-1996-cdd-cpl-1996-variables,cpl-1996,codebook,cpl-1996 variables.csv,,cdd-cpl-1996-variables,2026-09-24,"Existing repository source: data/cpl-1996/variables.csv; Machine-extracted source variable/value labels, not a complete authored codebook."
us-cpl-1996-cdd-cpl-1996-value-labels,cpl-1996,codebook,cpl-1996 value-labels.csv,,cdd-cpl-1996-value-labels,2026-09-24,"Existing repository source: data/cpl-1996/value-labels.csv; Machine-extracted source variable/value labels, not a complete authored codebook."
us-cpl-1996-cdd-cpl-1996-codebook,cpl-1996,codebook,cpl-1996 codebook.txt,,cdd-cpl-1996-codebook,2026-09-24,Existing repository source: data/cpl-1996/codebook.txt
us-swepco-1996-cdd-swepco-1996-variables,swepco-1996,codebook,swepco-1996 variables.csv,,cdd-swepco-1996-variables,2026-09-24,"Existing repository source: data/swepco-1996/variables.csv; Machine-extracted source variable/value labels, not a complete authored codebook."
us-swepco-1996-cdd-swepco-1996-value-labels,swepco-1996,codebook,swepco-1996 value-labels.csv,,cdd-swepco-1996-value-labels,2026-09-24,"Existing repository source: data/swepco-1996/value-labels.csv; Machine-extracted source variable/value labels, not a complete authored codebook."
us-swepco-1996-cdd-swepco-1996-codebook,swepco-1996,codebook,swepco-1996 codebook.txt,,cdd-swepco-1996-codebook,2026-09-24,Existing repository source: data/swepco-1996/codebook.txt
us-wtu-1996-cdd-wtu-1996-variables,wtu-1996,codebook,wtu-1996 variables.csv,,cdd-wtu-1996-variables,2026-09-24,"Existing repository source: data/wtu-1996/variables.csv; Machine-extracted source variable/value labels, not a complete authored codebook."
us-wtu-1996-cdd-wtu-1996-value-labels,wtu-1996,codebook,wtu-1996 value-labels.csv,,cdd-wtu-1996-value-labels,2026-09-24,"Existing repository source: data/wtu-1996/value-labels.csv; Machine-extracted source variable/value labels, not a complete authored codebook."
us-wtu-1996-cdd-wtu-1996-codebook,wtu-1996,codebook,wtu-1996 codebook.txt,,cdd-wtu-1996-codebook,2026-09-24,Existing repository source: data/wtu-1996/codebook.txt
us-btp-2007-cdd-btp-2007-survey-variables,btp-2007,codebook,Source variables,,cdd-btp-2007-survey-variables,2026-09-24,"Existing repository source: data/btp-2007/variables.csv; Machine-extracted source variable/value labels, not a complete authored codebook."
us-btp-2007-cdd-btp-2007-survey-value-labels,btp-2007,codebook,Source value-labels,,cdd-btp-2007-survey-value-labels,2026-09-24,"Existing repository source: data/btp-2007/value-labels.csv; Machine-extracted source variable/value labels, not a complete authored codebook."
us-btp-general-election-2004-cdd-btp-general-election-2004-survey-variables,btp-general-election-2004,codebook,Source variables,,cdd-btp-general-election-2004-survey-variables,2026-09-24,"Existing repository source: data/btp-general-election-2004/variables.csv; Machine-extracted source variable/value labels, not a complete authored codebook."
us-btp-general-election-2004-cdd-btp-general-election-2004-survey-value-labels,btp-general-election-2004,codebook,Source value-labels,,cdd-btp-general-election-2004-survey-value-labels,2026-09-24,"Existing repository source: data/btp-general-election-2004/value-labels.csv; Machine-extracted source variable/value labels, not a complete authored codebook."
us-btp-health-education-2005-cdd-btp-health-education-2005-survey-variables,btp-health-education-2005,codebook,Source variables,,cdd-btp-health-education-2005-survey-variables,2026-09-24,"Existing repository source: data/btp-health-education-2005/variables.csv; Machine-extracted source variable/value labels, not a complete authored codebook."
us-btp-health-education-2005-cdd-btp-health-education-2005-survey-value-labels,btp-health-education-2005,codebook,Source value-labels,,cdd-btp-health-education-2005-survey-value-labels,2026-09-24,"Existing repository source: data/btp-health-education-2005/value-labels.csv; Machine-extracted source variable/value labels, not a complete authored codebook."
us-btp-online-primaries-2004-cdd-btp-online-primaries-2004-survey-variables,btp-online-primaries-2004,codebook,Source variables,,cdd-btp-online-primaries-2004-survey-variables,2026-09-24,"Existing repository source: data/btp-online-primaries-2004/variables.csv; Machine-extracted source variable/value labels, not a complete authored codebook."
us-btp-online-primaries-2004-cdd-btp-online-primaries-2004-survey-value-labels,btp-online-primaries-2004,codebook,Source value-labels,,cdd-btp-online-primaries-2004-survey-value-labels,2026-09-24,"Existing repository source: data/btp-online-primaries-2004/value-labels.csv; Machine-extracted source variable/value labels, not a complete authored codebook."
us-california-whats-next-2011-cdd-california-whats-next-2011-survey-variables,california-whats-next-2011,codebook,Source variables,,cdd-california-whats-next-2011-survey-variables,2026-09-24,"Existing repository source: data/california-whats-next-2011/variables.csv; Machine-extracted source variable/value labels, not a complete authored codebook."
us-california-whats-next-2011-cdd-california-whats-next-2011-survey-value-labels,california-whats-next-2011,codebook,Source value-labels,,cdd-california-whats-next-2011-survey-value-labels,2026-09-24,"Existing repository source: data/california-whats-next-2011/value-labels.csv; Machine-extracted source variable/value labels, not a complete authored codebook."
us-nic-1996-cdd-nic-1996-survey-variables,nic-1996,codebook,Source variables,,cdd-nic-1996-survey-variables,2026-09-24,"Existing repository source: data/nic-1996/variables.csv; Machine-extracted source variable/value labels, not a complete authored codebook."
us-nic-1996-cdd-nic-1996-survey-value-labels,nic-1996,codebook,Source value-labels,,cdd-nic-1996-survey-value-labels,2026-09-24,"Existing repository source: data/nic-1996/value-labels.csv; Machine-extracted source variable/value labels, not a complete authored codebook."
us-vermont-energy-2007-cdd-vermont-energy-2007-survey-variables,vermont-energy-2007,codebook,Source variables,,cdd-vermont-energy-2007-survey-variables,2026-09-24,"Existing repository source: data/vermont-energy-2007/variables.csv; Machine-extracted source variable/value labels, not a complete authored codebook."
us-vermont-energy-2007-cdd-vermont-energy-2007-survey-value-labels,vermont-energy-2007,codebook,Source value-labels,,cdd-vermont-energy-2007-survey-value-labels,2026-09-24,"Existing repository source: data/vermont-energy-2007/value-labels.csv; Machine-extracted source variable/value labels, not a complete authored codebook."
us-san-mateo-2008-cdd-san-mateo-2008-survey-variables,san-mateo-2008,codebook,Source variables,,cdd-san-mateo-2008-survey-variables,2026-09-24,"Existing repository source: data/san-mateo-2008/variables.csv; Machine-extracted source variable/value labels, not a complete authored codebook."
us-san-mateo-2008-cdd-san-mateo-2008-survey-value-labels,san-mateo-2008,codebook,Source value-labels,,cdd-san-mateo-2008-survey-value-labels,2026-09-24,"Existing repository source: data/san-mateo-2008/value-labels.csv; Machine-extracted source variable/value labels, not a complete authored codebook."
us-michigan-2009-cdd-michigan-2009-survey-variables,michigan-2009,codebook,Source variables,,cdd-michigan-2009-survey-variables,2026-09-24,"Existing repository source: data/michigan-2009/variables.csv; Machine-extracted source variable/value labels, not a complete authored codebook."
us-michigan-2009-cdd-michigan-2009-survey-value-labels,michigan-2009,codebook,Source value-labels,,cdd-michigan-2009-survey-value-labels,2026-09-24,"Existing repository source: data/michigan-2009/value-labels.csv; Machine-extracted source variable/value labels, not a complete authored codebook."
us-btp-2007-cdd-btp-2007-codebook,btp-2007,codebook,Original codebook.pdf,,cdd-btp-2007-codebook,2026-09-24,Existing repository source: data/btp-2007/codebook.pdf
us-btp-general-election-2004-cdd-btp-general-election-2004-questionnaires,btp-general-election-2004,questionnaire,Original questionnaires.doc,,cdd-btp-general-election-2004-questionnaires,2026-09-24,Existing repository source: data/btp-general-election-2004/questionnaires.doc
us-btp-health-education-2005-cdd-btp-health-education-2005-questionnaire-pre,btp-health-education-2005,questionnaire,Original questionnaire-pre.doc,,cdd-btp-health-education-2005-questionnaire-pre,2026-09-24,Existing repository source: data/btp-health-education-2005/questionnaire-pre.doc
us-btp-health-education-2005-cdd-btp-health-education-2005-questionnaire-post,btp-health-education-2005,questionnaire,Original questionnaire-post.doc,,cdd-btp-health-education-2005-questionnaire-post,2026-09-24,Existing repository source: data/btp-health-education-2005/questionnaire-post.doc
us-btp-online-primaries-2004-cdd-btp-online-primaries-2004-questionnaires,btp-online-primaries-2004,questionnaire,Original questionnaires.doc,,cdd-btp-online-primaries-2004-questionnaires,2026-09-24,Existing repository source: data/btp-online-primaries-2004/questionnaires.doc
us-california-whats-next-2011-cdd-california-whats-next-2011-questionnaire-pre,california-whats-next-2011,questionnaire,Original questionnaire-pre.doc,,cdd-california-whats-next-2011-questionnaire-pre,2026-09-24,Existing repository source: data/california-whats-next-2011/questionnaire-pre.doc
