poll_id,artifact_id,artifact_type,title,location,source_id,original_archive_path,sha256,rights_status,disclosure_status,publication_status,notes
wtu-1996,cor-sood-wtu-1996,data,Cor-Sood scored knowledge battery,data/wtu-1996/knowledge-battery.csv,cor-sood-wtu-1996,replication/data.zip:data/wtu.csv,6a4767801886badbbaf6c61ea96d26d917afe4237c169e58ffc1d546c9d68346,public-license,approved-public,published,Scored binary items; row number is not a respondent identifier
wtu-1996,cdd-wtu-1996-survey,data,wtu-1996 survey.dta,data/wtu-1996/survey.dta,cdd-wtu-1996-survey,data/Utilities/wt/wt_data/wt2.dta,ecc9949d86ab2f51133eeb7f8b0749ab6913fedb9d82b2cbe247e021f40d4b88,owner-approved,approved-public,published,Unchanged archived survey; raw codes and column names retained
wtu-1996,cdd-wtu-1996-variables,codebook,wtu-1996 variables.csv,data/wtu-1996/variables.csv,cdd-wtu-1996-variables,data/Utilities/wt/wt_data/wt2.dta,30f22993b63cbec9d0618ba9a17d041eea9bed3891219560139a028f2cdf501e,owner-approved,approved-public,published,Generated original field attributes; consult original codebook where labels are absent
wtu-1996,cdd-wtu-1996-value-labels,codebook,wtu-1996 value-labels.csv,data/wtu-1996/value-labels.csv,cdd-wtu-1996-value-labels,data/Utilities/wt/wt_data/wt2.dta,355d2acaa276d4e050435819cd1870270f3a2cccddab59f6368ca593c0bf550c,owner-approved,approved-public,published,Generated original field attributes; consult original codebook where labels are absent
wtu-1996,cdd-wtu-1996-codebook,codebook,wtu-1996 codebook.txt,data/wtu-1996/codebook.txt,cdd-wtu-1996-codebook,data/Utilities/wt/codebook/wt.code,2fc0c85588f9fab831ba00e124a6f40ce1ad0121aaa8e7d7c93b7ce9c21fd098,owner-approved,approved-public,published,Unchanged original codebook
wtu-1996,material-d647471b30f926dc-wtu-1996,briefing-material,energy-wtu,data/wtu-1996/briefing-materials/energy-wtu.pdf,material-d647471b30f926dc,meta_data/briefing_materials/energy-wtu.pdf,d647471b30f926dcc03c54a7df11cf8ec7ba54b3ea9d72833fb0c394a1613704,review-required,approved-public,published,Historical metadata archive; content classified for reference. Instrument-to-variable and version-specific comparisons remain required. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
wtu-1996,material-1ee4b1a7a598708d-wtu-1996,paper,Deliberation and Public Spiritedness Rui Wang 5-22-14 working paper,data/shared/papers/deliberation-and-public-spiritedness-rui-wang-5-22-14-working-paper.docx,material-1ee4b1a7a598708d,meta_data/cdd_papers/Deliberation and Public Spiritedness Rui Wang 5-22-14 working paper.docx,1ee4b1a7a598708dbae08be396c5097b13979ee806a0806c99ab97d3d16beb73,review-required,approved-public,published,Historical metadata archive; content classified for reference. Instrument-to-variable and version-specific comparisons remain required. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
wtu-1996,material-cdd3ff1e869846b9-wtu-1996,paper,Util-appam,data/shared/papers/util-appam.doc,material-cdd3ff1e869846b9,meta_data/cdd_papers/Util-appam.doc,cdd3ff1e869846b9c1e3cd5b4da5c80aab2794e764426b90ec88df2f474e3f45,review-required,approved-public,published,Historical metadata archive; content classified for reference. Instrument-to-variable and version-specific comparisons remain required. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
wtu-1996,material-14f09619eb8626fc-wtu-1996,codebook,AllPollIndices,data/shared/codebooks/attitude_indices/allpollindices.csv,material-14f09619eb8626fc,meta_data/attitude_indices/AllPollIndices.csv,14f09619eb8626fc7861fe1bd3ca498a35fec8cfdcc8ba9728ff6e80b9e56992,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
wtu-1996,material-e0ff5cf4f836a41b-wtu-1996,codebook,AllPollIndices_withEmpiricalPremises,data/shared/codebooks/attitude_indices/allpollindices-withempiricalpremises.csv,material-e0ff5cf4f836a41b,meta_data/attitude_indices/AllPollIndices_withEmpiricalPremises.csv,e0ff5cf4f836a41b9bb66245130d5246dd7a942668872045c5ee66be48d1f2f5,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
wtu-1996,material-9408908108592c63-wtu-1996,codebook,Appendix A -1-13-14,data/shared/codebooks/knowledge_indices/appendix-a-1-13-14.docx,material-9408908108592c63,meta_data/knowledge_indices/Appendix A -1-13-14.docx,9408908108592c6339ae1041bd0d118c210451535cd317be4c431871b0c5e75c,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
wtu-1996,material-a6eea8ca19a00fe8-wtu-1996,codebook,Appendix A -9-14-14,data/shared/codebooks/knowledge_indices/appendix-a-9-14-14.docx,material-a6eea8ca19a00fe8,meta_data/knowledge_indices/Appendix A -9-14-14.docx,a6eea8ca19a00fe84b2b3bab798a67aec325c43ae5be66f3a51525976e1032d1,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
wtu-1996,material-7af1872d80219bc0-wtu-1996,codebook,Rosetta Stone,data/shared/codebooks/rosetta_stone/rosetta-stone.xls,material-7af1872d80219bc0,meta_data/rosetta_stone/Rosetta Stone.xls,7af1872d80219bc0f745e63c426cec847e480a8c2aa180072f6e2a838b4974c3,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
wtu-1996,material-7731a4ce1a2d98a7-wtu-1996,research-design,Appendix - Poll Details- 5-18-14--e,data/shared/design/poll_details/appendix-poll-details-5-18-14-e.docx,material-7731a4ce1a2d98a7,meta_data/poll_details/Appendix - Poll Details- 5-18-14--e.docx,7731a4ce1a2d98a79b7ae2657648c01a1625bad2d4be07c3bd97c2b029d869d1,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
wtu-1996,material-eabf0fc4da9a721a-wtu-1996,paper,Deliberative Polling and Policy Outcomes: Electric Utility Issues in Texas,data/shared/papers/utilities-paper.pdf,material-eabf0fc4da9a721a,,eabf0fc4da9a721a6ec7b90f7a104f1373153c97096d99b9111012a1218ef122,review-required,approved-public,published,"APPAM November 1999 paper. Tables 4-5 report knowledge and attitude results for the utilities; match item scaling, samples and weights before numerical checks. Source URL: https://drive.google.com/uc?export=download&id=1cDsPToB2AF9w8ou-VCcFEe6UEYhix5X0. Retrieved 2026-09-23. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply."
wtu-1996,material-d74cf3d2a3e6254d-wtu-1996,questionnaire,Entergy residential Deliberative Poll data format,data/shared/questionnaires/utilities-questionnaires.pdf,material-d74cf3d2a3e6254d,,d74cf3d2a3e6254db3e20167083a855a21a7061db2a5885983d10c9e9d6da8f9,review-required,approved-public,published,"RELATED EVENT ONLY. Header identifies Entergy; not a verified CPL, WTU or SWEPCO fielded questionnaire. Do not transfer answer keys or response codes. Source URL: https://drive.google.com/uc?export=download&id=11dQI6rQtqXVjjY64j_KmT-8qsnSMe10P. Retrieved 2026-09-23. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply."
