source_column,source_value,value_label
qb30,1,"support strongly,"
qb30,2,"support somewhat,"
qb30,3,"neither support nor oppose this,"
qb30,4,"oppose somewhat,"
qb30,5,"oppose strongly,"
qb30,6,or haven't you thought much about this?
qb31,-2,not asked
qb31,-1,refused
qb31,1,"support strongly,"
qb31,2,"support somewhat,"
qb31,3,"neither support nor oppose this,"
qb31,4,"oppose somewhat,"
qb31,5,"oppose strongly,"
qb31,6,or haven't you thought much about this?
qb32a,-2,not asked
qb32a,-1,refused
qb32a,1,to work with other countries one by one to establish agreeme
qb32a,2,to work with groups of countries through international insti
qb32a,3,"to leave things as they are,"
qb32a,4,haven't thought much about this
qb32b,-2,not asked
qb32b,-1,refused
qb32b,1,to work with other countries one by one to establish agreeme
qb32b,2,to work with groups of countries through international insti
qb32b,3,"to leave things as they are,"
qb33,-2,not asked
qb33,-1,refused
qb33,1,"repeal the north american free trade agreement, called nafta"
qb33,2,"leave nafta the way it is,"
qb33,3,adopt agreements like nafta but with more latin american cou
qb33,4,haven't thought much about this
qb34,-2,not asked
qb34,-1,refused
qb34,1,"the loss of many jobs in this country,"
qb34,2,"some jobs,"
qb34,3,"only a few jobs,"
qb34,4,"the loss of no jobs,"
qb34,5,haven't thought much about this
qb35,-2,not asked
qb35,-1,refused
qb35,1,"the creation of many jobs in this country,"
qb35,2,"some jobs,"
qb35,3,"only a few jobs,"
qb35,4,"the creation of no jobs,"
qb35,5,haven't thought much about this
qb36,-2,not asked
qb36,-1,refused
qb36,1,"higher trade barriers (than most other countries),"
qb36,2,"lower trade barriers (than most other countries),"
qb36,3,"about the same, or"
qb36,4,haven't you heard anything about this?
qb37a,-2,not asked
qb37a,-1,refused
qb37b,-2,not asked
qb37b,-1,refused
qb37c,-2,not asked
qb37c,-1,refused
qb37d,-2,not asked
qb37d,-1,refused
qb37e,-2,not asked
qb37e,-1,refused
qb37f,-2,not asked
qb37f,-1,refused
qb38,-2,not asked
qb38,-1,refused
qb38,1,"the u.s. take the lead acting by itself,"
qb38,2,should the u.s. take the lead acting with close allies like
qb38,3,should the u.s. & its close allies take the lead acting thro
qb38,4,"should the united nations take the lead,"
qb38,5,"should nobody take the lead,"
qb38,6,haven't thought much about this
qb39,-2,not asked
qb39,-1,refused
qb39,1,"the u.s. take the lead acting by itself,"
qb39,2,should the u.s. take the lead acting with close allies like
qb39,3,should the u.s. & its close allies take the lead acting thro
qb39,4,"should the united nations & the world bank take the lead,"
qb39,5,"should nobody take the lead,"
qb39,6,haven't thought much about this
qb40,-2,not asked
qb40,-1,refused
qb40,1,"1 dollar,"
qb40,2,"5 dollars,"
qb40,3,"10 dollars,"
qb40,4,"20 dollars,"
qb40,5,"30 dollars or more, or"
qb40,6,don't you have much idea about that?
qb41,-2,not asked
qb41,-1,refused
qb41,1,"1 dollar,"
qb41,2,"5 dollars,"
qb41,3,"10 dollars,"
qb41,4,"20 dollars,"
qb41,5,"30 dollars or more, or"
qb41,6,don't you have much idea about that?
qb42,-2,not asked
qb42,-1,refused
qb42,1,"4 dollars worth,"
qb42,2,"8 dollars,"
qb42,3,"12 dollars,"
qb42,4,"24 dollars or more, or"
qb42,5,don't you have much idea about that?
qb43,-2,not asked
qb43,-1,refused
qb43,1,"fewer than 5 out of 100,"
qb43,2,"about 10 of 100,"
qb43,3,"about 20 of 100,"
qb43,4,"30 or more out of 100, or"
qb43,5,don't you have much idea about that?
qb44,-2,not asked
qb44,-1,refused
qb44,1,true
qb44,2,false
qb45,-2,not asked
qb45,-1,refused
qb45,1,true
qb45,2,false
qb46a,-2,not asked
qb46a,-1,refused
qb46a,1,republican
qb46a,2,democrat
qb46a,3,independent
qb46a,4,other - please specify
qb46a,5,no preference
qb46b,-2,not asked
qb46b,-1,refused
qb46b,1,strong republican
qb46b,2,not very strong republican
qb46c,-2,not asked
qb46c,-1,refused
qb46c,1,strong democrat
qb46c,2,not very strong democrat
qb46d,-2,not asked
qb46d,-1,refused
qb46d,1,republican party
qb46d,2,democratic party
qb46d,3,neither
qb47,-2,not asked
qb47,-1,refused
qb47,1,"agree strongly,"
qb47,2,"agree somewhat,"
qb47,3,"fall somewhere in between,"
qb47,4,"disagree somewhat,"
qb47,5,"disagree strongly,"
qb47,6,or haven't you thought much about this?
qb48,-2,not asked
qb48,-1,refused
qb48,1,"agree strongly,"
qb48,2,"agree somewhat,"
qb48,3,"fall somewhere in between,"
qb48,4,"disagree somewhat,"
qb48,5,"disagree strongly,"
qb48,6,or haven't you thought much about this?
qb49,-2,not asked
qb49,-1,refused
qb50,-2,not asked
qb50,-1,refused
qb51,-2,not asked
qb51,-1,refused
qb52,-2,not asked
qb52,-1,refused
qb53,-2,not asked
qb53,-1,refused
qb53,1,"a great deal,"
qb53,2,"quite a bit,"
