source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
serial,double,numeric,,serial number,F8.0,,,TRUE,Retained
group,double,numeric,,small group number,F8.0,,,TRUE,Retained
interno,double,numeric,,interviewer number (qb23f),F8.0,,,TRUE,Retained
totcals,double,numeric,,total # of calls to complete interview,F8.0,,,TRUE,Retained
es,double,numeric,,employment status of r (summary),F8.0,,,TRUE,Retained
seg,double,numeric,,socioeconomic group (occupation),F8.0,,,TRUE,Retained
segdum,double,numeric,,dummy: recoded seg: middle class (1) [1 to 9 in seg]/working class (0) [10 to 19,F8.0,,,TRUE,Retained
intday,double,numeric,,interview day of month,F8.0,,,TRUE,Retained
intmonth,double,numeric,,month of interviewer,F8.0,,,TRUE,Retained
intyear,double,numeric,,year of interview,F8.0,,,TRUE,Retained
country,double,numeric,,country in britain,F8.0,,,TRUE,Retained
party,double,numeric,,party id (from b1a and b1b),F8.0,,,TRUE,Retained
educ,double,numeric,,highest educ qualification reached,F8.0,,,TRUE,Retained
educreco,double,haven_labelled|vctrs_vctr|double,,recoded educ 0 to 1 scale,F9.2,,,TRUE,Retained
gender,double,numeric,,gender (1=male) (qa1),F8.0,,,TRUE,Retained
newsyn,double,numeric,,read daily am paper 3x week? (qa2a),F8.0,,,TRUE,Retained
newsp,double,numeric,,which newspaper? (qa2b),F8.0,,,TRUE,Retained
age,double,numeric,,age in years (qa3),F8.0,,,TRUE,Retained
kids,double,numeric,,children < 17 at home? (qa4),F8.0,,,TRUE,Retained
kids5,double,numeric,,children < 5? (qa4b),F8.0,,,TRUE,Retained
kids110,double,numeric,,children >= 5 and <=11? (qa4b),F8.0,,,TRUE,Retained
kids15,double,numeric,,children >=12 and <=15? (q4ab),F8.0,,,TRUE,Retained
kids17,double,numeric,,children >=16 and <=17? (q4ab),F8.0,,,TRUE,Retained
marstat,double,numeric,,marital status (qa5),F8.0,,,TRUE,Retained
mastreco,double,haven_labelled|vctrs_vctr|double,,recoded marital status - dichotomous,F8.0,,,TRUE,Retained
mardum,double,numeric,,married dummy - married/living as married (1)/other (0),F8.0,,,TRUE,Retained
formardu,double,numeric,,formerly married dummy - divorced/separated/widowed (1)/other (0),F8.0,,,TRUE,Retained
inf3t1,double,numeric,,t1 knowledge index - 3 factual items only,F9.2,,,TRUE,Retained
inf12t1,double,numeric,,t1 knowledge index - factual items + party placements,F9.2,,,TRUE,Retained
inf15t1,double,numeric,,t1 knowledge index - party placements only,F9.2,,,TRUE,Retained
infcont1,double,numeric,,t1 conservative party knowledge index - how many conservative party placements a,F9.2,,,TRUE,Retained
inflabt1,double,numeric,,t1 labour party knowledge index - how many labour party placements answered corr,F9.2,,,TRUE,Retained
infldt1,double,numeric,,t1 liberal democrats party knowledge index - how many lib dem placements answere,F9.2,,,TRUE,Retained
inf3t2,double,numeric,,t2 knowledge index - 3 factual items only,F9.2,,,TRUE,Retained
inf15t2,double,numeric,,t2 knowledge index - factual items + party placements,F9.2,,,TRUE,Retained
inf12t2,double,numeric,,t2 knowledge index - party placements only,F8.0,,,TRUE,Retained
infcont2,double,numeric,,t2 conservative party knowledge index - how many conservative party placements a,F9.2,,,TRUE,Retained
inflabt2,double,numeric,,t2 labour party knowledge index - how many labour party placements answered corr,F9.2,,,TRUE,Retained
infldt2,double,numeric,,t2 liberal democrats party knowledge index - how many lib dem placements answere,F9.2,,,TRUE,Retained
inft2wei,double,numeric,,t2 knowledge index with factual and party placement items weighted equally,F9.2,,,TRUE,Retained
distrdst,double,numeric,,distance from group mean on rdstr1re at t1 (rdstr1re - gmnrdstr1re),F9.2,,,TRUE,Retained
distrd_a,double,numeric,,distance from group mean on rdstr1redk at t1 (rdstr1redk - gmnrdstr1redk),F9.2,,,TRUE,Retained
disttx1,double,numeric,,distance from group mean on txr1re at t1 (txr1re - gmntxr1re),F9.2,,,TRUE,Retained
distwge1,double,numeric,,distance from group mean on wger1re at t1 (wger1re - gmnwger1re),F9.2,,,TRUE,Retained
distwg_a,double,numeric,,distance from group mean on wger1redk at t1 (wger1redk - gmnwger1redk),F9.2,,,TRUE,Retained
disteu1,double,numeric,,distance from group mean on eur1re at t1 (eur1re - gmneur1re),F9.2,,,TRUE,Retained
disteu1d,double,numeric,,distance from group mean on eur1redk at t1 (eur1redk - gmneur1redk),F9.2,,,TRUE,Retained
distrd_b,double,numeric,,distance from group mean on rdstc1redk at t1 (rdstc1redk - gmnrdstc1redk),F9.2,,,TRUE,Retained
