source_column,source_value,value_label
txl1re,0,6/7
txl1re,1,"gov. spend lot, tax lot (7/7)"
txl1redk,0,6/7
txl1redk,1,"gov. spend lot, tax lot (7/7)"
taxld1co,0,wrong/dk/not ans
taxld1co,1,correct
txld1re,-9,not answered
txld1re,-8,don't know
txld1re,0,6/7
txld1re,1,"gov. spend lot, tax lot (7/7)"
txld1red,0,6/7
txld1red,1,"gov. spend lot, tax lot (7/7)"
wger1re,-9,not answered
wger1re,-8,don't know
wger1re,0,6/7
wger1re,1,yes min wage (7/7)
wger1red,0,6/7
wger1red,1,yes min wage (7/7)
wgec1cor,0,wrong/dk/not ans
wgec1cor,1,correct
wgec1re,-9,not answered
wgec1re,-8,don't know
wgec1re,0,6/7
wgec1re,1,yes min wage (7/7)
wgec1red,0,6/7
wgec1red,1,yes min wage (7/7)
wgel1cor,0,wrong/dk/not ans
wgel1cor,1,correct
wgel1re,-9,not answered
wgel1re,-8,don't know
wgel1re,0,6/7
wgel1re,1,yes min wage (7/7)
wgel1red,0,6/7
wgel1red,1,yes min wage (7/7)
wgeld1co,0,wrong/dk/not ans
wgeld1co,1,correct
wgeld1re,-9,not answered
wgeld1re,-8,don't know
wgeld1re,0,6/7
wgeld1re,1,yes min wage (7/7)
wgeld1_a,0,6/7
wgeld1_a,1,yes min wage (7/7)
eur1re,-9,not answered
eur1re,-8,don't know
eur1re,0,6/7
eur1re,1,unite with eu (7/7)
eur1redk,0,6/7
eur1redk,1,unite with eu (7/7)
euc1cor,0,wrong/dk/not ans
euc1cor,1,correct
euc1re,-9,not answered
euc1re,-8,don't know
euc1re,0,6/7
euc1re,1,unite with eu (7/7)
euc1redk,0,6/7
euc1redk,1,unite with eu (7/7)
eul1cor,0,wrong/dk/not ans
eul1cor,1,correct
eul1re,-9,not answered
eul1re,-8,don't know
eul1re,0,6/7
eul1re,1,unite with eu (7/7)
eul1redk,0,6/7
eul1redk,1,unite with eu (7/7)
euld1cor,0,wrong/dk/not ans
euld1cor,1,correct
euld1re,-9,not answered
euld1re,-8,don't know
euld1re,0,6/7
euld1re,1,unite with eu (7/7)
euld1red,0,6/7
euld1red,1,unite with eu (7/7)
eutax1re,-9,not answered
eutax1re,-8,don't know
eutax1re,0,agree somewhat
eutax1re,1,disagree somewhat
eugov1re,-9,not answered
eugov1re,-8,don't know
eugov1re,0,agree somewhat
eugov1re,1,disagree somewhat
eupnd1re,-9,not answered
eupnd1re,-8,don't know
eupnd1re,0,agree somewhat
eupnd1re,1,disagree somewhat
cnrch1re,-9,not answered
cnrch1re,-8,don't know
cnrch1re,0,a little better off
cnrch1re,1,a lot better off
cnpr1re,-9,not answered
cnpr1re,-8,don't know
cnpr1re,0,a little better off
cnpr1re,1,a lot better off
cnwelf1r,-9,not answered
cnwelf1r,-8,don't know
cnwelf1r,0,a little better off
cnwelf1r,1,a lot better off
cnpns1re,-9,not answered
cnpns1re,-8,don't know
cnpns1re,0,a little better off
cnpns1re,1,a lot better off
lbrch1re,-9,not answered
lbrch1re,-8,don't know
lbrch1re,0,a little better off
lbrch1re,1,a lot better off
lbpr1re,-9,not answered
lbpr1re,-8,don't know
lbpr1re,0,a little better off
lbpr1re,1,a lot better off
lbwlf1re,-9,not answered
lbwlf1re,-8,don't know
lbwlf1re,0,a little better off
lbwlf1re,1,a lot better off
lbpns1re,-9,not answered
lbpns1re,-8,don't know
lbpns1re,0,a little better off
lbpns1re,1,a lot better off
vtint1re,-9,not answered/would not vote
vtint1re,-8,don't know
vtint1re,1,conservative party
vtint1re,2,labour party
vtint1re,3,liberal democrats
vtint1re,4,other party
vtsr1re,-8,don't know
vtsr1re,-1,n/a
vtsr1re,0,reasonably sure
vtsr1re,1,absolutely sure
trnt1re,-9,not answered
trnt1re,-8,don't know
trnt1re,0,(6/7)
trnt1re,1,definitely will vote
ukdm1re,-9,not answered
ukdm1re,-8,don't know
ukdm1re,0,"works well, change some"
ukdm1re,1,"works well, no change"
frcn1re,-9,not answered
frcn1re,-8,don't know
frcn1re,0,agree somewhat
frcn1re,1,agree strongly
frlb1re,-9,not answered
frlb1re,-8,don't know
frlb1re,0,agree somewhat
frlb1re,1,agree strongly
ecld1re,-9,not answered
ecld1re,-8,don't know
ecld1re,0,agree somewhat
ecld1re,1,agree strongly
lstn1re,-9,not answered
lstn1re,-8,don't know
lstn1re,0,agree somewhat
lstn1re,1,agree strongly
ecr2reco,-9,not answered
ecr2reco,-8,dk
ecr2reco,0,got a little stronger
ecr2reco,1,got a lot stronger
inr2reco,-9,not answered
inr2reco,-8,dk
inr2reco,0,gone up a little
inr2reco,1,gone up a lot
