WEIGHT_CONTROL	WEIGHT_DELEGATE	POST	GROUP	CONDITION	Q1	Q2A	Q2B	Q2C	Q2D	Q2E	Q2F	Q2G	Q2H	Q2I	Q3A	Q3B	Q3C	Q3D	Q3E	Q3F	Q3G	Q3H	Q4A	Q4B	Q4C	Q4D	Q4E	Q4F	Q4G	Q4H	Q4I	Q4J	Q5A	Q5B	Q5C	Q5D	Q5E	Q5F	Q5G	Q5H	Q5I	Q5J	Q6A	Q6B	Q6C	Q6D	Q6E	Q6F	Q6G	Q6H	Q6I	Q6J	D1	D2D	D2R	D2I	LIBCONV	Q9_1	Q9_2	PK1	PK1TIME	PK2	PK2TIME	PK3	PK3TIME	PK4	PK4TIME	PK5	PK5TIME	PK6	PK6TIME	PK7	PK7TIME	T2Q1	T2Q2A	T2Q2B	T2Q2C	T2Q2D	T2Q2E	T2Q2F	T2Q2G	T2Q2H	T2Q2I	T2Q3A	T2Q3B	T2Q3C	T2Q3D	T2Q3E	T2Q3F	T2Q3G	T2Q3H	T2Q4A	T2Q4B	T2Q4C	T2Q4D	T2Q4E	T2Q4F	T2Q4G	T2Q4H	T2Q4I	T2Q4J	T2Q5A	T2Q5B	T2Q5C	T2Q5D	T2Q5E	T2Q5F	T2Q5G	T2Q5H	T2Q5I	T2Q5J	T2Q6A	T2Q6B	T2Q6C	T2Q6D	T2Q6E	T2Q6F	T2Q6G	T2Q6H	T2Q6I	T2Q6J	T2D1	T2D2D	T2D2R	T2D2I	T2LIBCONV	T2Q9_1	T2Q9_2	T2PK1	T2PK1TIME	T2PK2	T2PK2TIME	T2PK3	T2PK3TIME	T2PK4	T2PK4TIME	T2PK6	T2PK6TIME	T2PK5	T2PK5TIME	T2PK7	T2PK7TIME	PARTYID3	T2PARTYID3	GENDER	AGE	AGE4	RACETHNICITY	EDUC4
"1.491475533"	" "	1	" "	0	7	5	5	0	5	5	10	5	5	5	7	7	7	77	8	77	3	5	5	77	0	77	7	0	5	5	7	0	0	0	5	5	10	5	10	10	77	10	7	77	5	10	5	77	7	5	7	3	1	"2"	" "	" "	4	50	50	77	5	77	3	77	7	77	4	4	13	77	4	77	4	"8"	"5"	"0"	"0"	"5"	"5"	"7"	"5"	"5"	"5"	"7"	"77"	"5"	"77"	"7"	"2"	"2"	"7"	"5"	"4"	"3"	"5"	"10"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"5"	"5"	"10"	"10"	"10"	"10"	"5"	"7"	"77"	"5"	"77"	"5"	"5"	"77"	"10"	"10"	"7"	"5"	"1"	"2"	" "	" "	"3"	"64"	"41"	"2"	"13"	"1"	"8"	"1"	"49"	"77"	"62"	"77"	"44"	"4"	"9"	"77"	"7"	1	"1"	2	54	3	1	2
" "	" "	0	" "	1	3	2	5	2	10	10	10	0	5	10	0	5	2	0	5	0	5	5	0	0	0	5	10	2	10	0	7	0	5	5	8	5	10	5	8	0	8	5	2	10	10	10	10	0	8	9	10	5	2	" "	"2"	" "	4	1	40	2	3	1	3	77	7	3	13	4	8	2	5	2	20	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2	" "	1	37	2	1	4
" "	"0.51365971"	1	"9"	1	7	0	10	10	6	10	8	10	10	5	10	10	10	10	0	0	0	10	3	8	5	8	10	2	10	10	6	2	0	0	7	7	10	10	7	5	10	10	10	6	10	10	8	10	7	8	6	10	1	"1"	" "	" "	2	86	10	2	8	1	6	1	7	4	16	1	48	2	12	1	22	"8"	"0"	"10"	"9"	"7"	"9"	"5"	"0"	"10"	"4"	"10"	"10"	"10"	"10"	"2"	"0"	"0"	"8"	"8"	"3"	"5"	"7"	"7"	"0"	"7"	"8"	"5"	"6"	"0"	"0"	"10"	"10"	"10"	"6"	"9"	"2"	"9"	"9"	"10"	"3"	"8"	"8"	"8"	"10"	"8"	"6"	"5"	"10"	"1"	"1"	" "	" "	"2"	"80"	"30"	"2"	" "	"1"	" "	"1"	" "	"4"	" "	"2"	" "	"4"	" "	"2"	" "	1	"1"	2	71	4	2	4
"0.777217328"	" "	1	" "	0	4	5	7	7	5	5	5	9	8	10	9	9	8	5	5	5	5	5	5	5	1	5	5	8	5	9	9	3	2	2	8	10	10	10	10	10	10	10	5	5	5	5	5	5	10	7	8	5	1	"2"	" "	" "	5	17	9	2	3	1	2	77	3	4	5	4	6	77	3	2	9	"5"	"5"	"4"	"5"	"5"	"4"	"10"	"8"	"10"	"10"	"9"	"9"	"9"	"5"	"7"	"7"	"8"	"5"	"5"	"10"	"0"	"10"	"10"	"8"	"5"	"10"	"10"	"5"	"5"	"2"	"7"	"8"	"10"	"9"	"10"	"10"	"10"	"10"	"7"	"5"	"5"	"5"	"5"	"6"	"8"	"5"	"5"	"4"	"1"	"2"	" "	" "	"5"	"35"	"15"	"2"	"7"	"1"	"3"	"77"	"4"	"77"	"10"	"77"	"3"	"4"	"13"	"2"	"8"	1	"1"	1	47	3	1	3
" "	"1.465232705"	1	"25"	1	1	0	10	10	10	10	7	0	10	0	10	10	5	10	10	0	10	7	5	10	5	10	10	0	10	10	10	0	3	7	7	9	8	10	9	6	10	10	8	5	10	8	8	8	10	9	8	6	1	"2"	" "	" "	3	75	15	1	16	2	3	3	7	3	11	4	71	77	25	1	44	"98"	"0"	"10"	"6"	"10"	"10"	"4"	"2"	"10"	"0"	"10"	"10"	"7"	"9"	"6"	"6"	"1"	"6"	"6"	"9"	"1"	"8"	"9"	"1"	"7"	"6"	"1"	"1"	"0"	"2"	"5"	"6"	"10"	"10"	"10"	"4"	"10"	"10"	"10"	"10"	"10"	"10"	"4"	"10"	"10"	"6"	"7"	"6"	"1"	"2"	" "	" "	"4"	"50"	"0"	"2"	" "	"1"	" "	"3"	" "	"1"	" "	"2"	" "	"1"	" "	"1"	" "	1	"1"	2	77	4	1	4
"1.462518237"	" "	1	" "	0	4	6	6	4	4	4	8	6	5	5	0	0	0	0	4	9	10	10	5	4	6	5	6	5	5	3	5	2	9	5	5	5	8	5	5	2	5	6	2	7	6	5	7	3	3	8	6	5	2	" "	"1"	" "	6	8	90	2	15	1	8	77	8	77	13	4	26	77	9	77	13	"6"	"5"	"7"	"4"	"5"	"4"	"8"	"6"	"6"	"5"	"1"	"1"	"5"	"1"	"3"	"0"	"0"	"4"	"5"	"3"	"7"	"5"	"8"	"5"	"5"	"5"	"4"	"2"	"8"	"5"	"5"	"6"	"7"	"7"	"7"	"3"	"6"	"7"	"1"	"5"	"4"	"8"	"8"	"5"	"3"	"8"	"7"	"5"	"2"	" "	"2"	" "	"5"	"21"	"69"	"2"	"24"	"1"	"7"	"77"	"12"	"4"	"17"	"77"	"9"	"4"	"27"	"77"	"13"	2	"2"	1	63	4	1	2
" "	" "	0	" "	1	7	10	10	5	7	7	77	7	7	10	5	3	6	0	10	10	10	4	7	7	10	2	10	7	5	1	0	0	10	3	5	5	10	10	10	5	10	10	0	10	10	10	10	0	0	10	10	5	2	" "	"1"	" "	7	3	74	2	11	1	6	1	26	77	26	3	59	77	13	4	35	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2	" "	1	75	4	1	2
"0.570527757"	" "	1	" "	0	1	5	6	6	8	8	10	77	8	2	10	10	10	8	3	0	0	5	10	10	10	10	77	0	8	6	2	2	1	0	5	5	10	77	6	6	10	77	77	1	8	10	5	10	10	10	3	8	1	"2"	" "	" "	2	75	1	2	5	1	5	77	7	77	41	77	47	3	12	2	23	"2"	"5"	"9"	"7"	"7"	"6"	"8"	"8"	"8"	"2"	"10"	"10"	"8"	"6"	"5"	"0"	"1"	"4"	"0"	"10"	"0"	"10"	"8"	"1"	"5"	"5"	"0"	"0"	"0"	"0"	"6"	"6"	"9"	"5"	"5"	"77"	"10"	"6"	"9"	"2"	"8"	"9"	"6"	"10"	"10"	"8"	"8"	"8"	"1"	"2"	" "	" "	"2"	"55"	"20"	"2"	"4"	"1"	"5"	"77"	"12"	"1"	"19"	"77"	"11"	"4"	"15"	"77"	"25"	1	"1"	1	76	4	1	3
" "	" "	0	" "	1	9	5	8	7	8	7	10	8	8	5	9	6	5	7	1	0	5	5	7	8	5	7	8	1	7	5	5	0	2	4	5	3	9	10	9	2	10	7	8	2	7	10	5	5	8	7	7	10	2	" "	"2"	" "	4	47	29	2	8	1	5	77	7	77	22	4	16	77	10	2	44	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2	" "	1	74	4	1	4
" "	" "	0	" "	1	8	10	5	0	0	3	10	5	0	10	0	0	0	0	0	0	6	0	10	0	10	0	0	5	77	0	0	0	5	5	0	5	10	5	8	5	5	10	0	10	10	10	10	0	0	5	8	0	2	" "	"1"	" "	6	5	89	2	6	1	3	1	14	4	23	77	20	77	6	1	12	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	2	" "	2	56	3	4	2
