table,path,rows,columns,sha256,schema_version
people,output/respondent/people.parquet,27789,7,f6fa0d209c3435ab3d28aedea4c656893e40cde4dc4e3ec0957ebe16e954e863,1
sample_memberships,output/respondent/sample_memberships.parquet,83367,5,9fd13ff7e698084b521682db4f0446d7c7837965d9bf4bb55fd29d757116a1bd,1
source_responses,output/respondent/source_responses.parquet,1524838,8,2e9d4569b529dbba833bc433d7d8feba90cf1734a1d7ef5eed3e52d851c3fa89,1
respondent_measures,output/respondent/respondent_measures.parquet,959020,6,a2f94af9730abe55fd10ced70684eed1c050201605ec72079a929dfd17ed1def,1
respondent_memberships,output/respondent/respondent_memberships.parquet,5882,5,a97a1bffbd90910971ac8ae395456b72a8e1cbc9a5d247dba2696553e6bd2456,1
respondent_knowledge,output/respondent/respondent_knowledge.parquet,73342,10,c29c11ee6b2b9035cf0973365cbec24bc28e00ffb06d2e46e32162858c97f4c9,1
