table,path,rows,columns,sha256,schema_version
respondents,output/respondents.parquet,2088,6,9ed6c621332a3b7584349021e23c89962022264734b8ce079a25d9f913c6ec8f,1
knowledge_responses,output/knowledge_responses.parquet,30944,10,21b7aad99eb590e97f2e2d296f3fba23748f4e74a125b702060bff7f125e6f9f,1
knowledge_scores,output/knowledge_scores.parquet,4176,7,3c5d1ffa87e652332a1d3de900e7015696982198921bf35d072ccc3bbcd960cf,1
groups,output/groups.parquet,144,3,5ea38e7ba39a8ed3579f0fbe81a1a9110aefd3e21738941b0c52bddbdebb60fd,1
memberships,output/memberships.parquet,2084,5,208c8b67534ac201df50673a33752039abfd905bd2f2c237307e05409cc50607,1
