path,bytes,sha256,extension,identical_copies,disclosure_status,publication_status
data/BTP/2004.Online.Primaries/2004-btp-portland.pdf,151626,fcb3062577e34f88a6b8e46f5ce4a67967f8be87b835617d7b95a46bdb7500bf,pdf,2,review_required,vault_only
data/BTP/2004.Online.Primaries/2004-btp-seattle.pdf,17018,3977d10c93885f1d05e82fb48a3db13b0ea1ba32c2afe312e5e91b1b3dd34cf5,pdf,2,review_required,vault_only
data/BTP/2004.Online.Primaries/2004-btp.pdf,77691,b98bba5ab08fb336440612c834cf071366bde1aedc6a35757ad936fe8931a048,pdf,2,review_required,vault_only
data/BTP/2004.Online.Primaries/btp04_caseid.dta,99949,2ffeaf5a627052977c06176522ad308ab5b616eb31efd8aa9b1821f69e489cf3,dta,5,review_required,vault_only
data/BTP/2004.Online.Primaries/btp04primaries.txt,8249,2303e43917f737d677d5561d011bda585ddc734a330de9f83722bc55c3eda1be,txt,2,review_required,vault_only
data/BTP/2004GE/DOP All Surveys.doc,870400,67587e50e86f57e1840371cceff9d7656727090c8d9ec428d39c9186365f2395,doc,2,review_required,vault_only
data/BTP/2004GE/Online DPolls_Indices_Wave 4.pdf,60926,ba01c727ede0670621df96a93e1b5e9f5a214263c181afa23a3b89e5c17909e1,pdf,2,review_required,vault_only
data/BTP/2004GE/data/2004 online GE_hlm.dta,1213973,76016b95a033116438df905b5ca3540e020dbafa7f275e97df31342c9416a2e2,dta,3,review_required,vault_only
data/BTP/2004GE/data/2004GE.dta,7897605,cd11f4f5ef2ff44baa314fbe20c1d269ec7c30e4cffd7c0ffca41522282ee352,dta,2,review_required,vault_only
data/BTP/2004GE/data/2004findat.dta,5596345,709f729434b846602159a4ffe59ec243fb4a6da7f77bac09fb47d7d0116bb45a,dta,2,review_required,vault_only
data/BTP/2004GE/data/btp04.rdata,53531,71229128c91b55b487e20e8581394a1e43abd66e1fd6655db80aee4d035bf251,rdata,1,review_required,vault_only
data/BTP/2004GE/data/btp04_caseid.dta,99949,2ffeaf5a627052977c06176522ad308ab5b616eb31efd8aa9b1821f69e489cf3,dta,5,review_required,vault_only
data/BTP/2004GE/onlinedp-release.pdf,34770,1f6db4b1468fcfbfb869b2f345d026497861f5f4c456ce1071b85e8e2151c11d,pdf,2,review_required,vault_only
data/BTP/2004OnlinePrimaries/2004-btp-lincoln.pdf,22606,5193d62b86bf98f078060b43af000d7fce9cf2ecf72c1c7f5fd002026c078d88,pdf,2,review_required,vault_only
data/BTP/2004OnlinePrimaries/2004-btp-newhampshire.pdf,71424,76abe5c04ec6057517fb95816323b2ccacc5f5bb3aca434efeb016e28f3197e6,pdf,2,review_required,vault_only
data/BTP/2004OnlinePrimaries/2004-btp-portland.pdf,151626,fcb3062577e34f88a6b8e46f5ce4a67967f8be87b835617d7b95a46bdb7500bf,pdf,2,review_required,vault_only
data/BTP/2004OnlinePrimaries/2004-btp-seattle.pdf,17018,3977d10c93885f1d05e82fb48a3db13b0ea1ba32c2afe312e5e91b1b3dd34cf5,pdf,2,review_required,vault_only
data/BTP/2004OnlinePrimaries/2004-btp.pdf,77691,b98bba5ab08fb336440612c834cf071366bde1aedc6a35757ad936fe8931a048,pdf,2,review_required,vault_only
data/BTP/2004OnlinePrimaries/btp04primaries.txt,8249,2303e43917f737d677d5561d011bda585ddc734a330de9f83722bc55c3eda1be,txt,2,review_required,vault_only
data/BTP/2004OnlinePrimaries/data/2004 online primaries_hlm.dta,5699742,c51aa34b351e1e1726658f6adb415a3743bd2b4cd53e1d71222a857de98b9ebe,dta,2,review_required,vault_only
data/BTP/2004OnlinePrimaries/data/2004 online primaries_small_caseid.dta,121366,e80d504152d220b5ff53fdb48dfbea90349be6becf6ccf454045cc16deb3ac36,dta,3,review_required,vault_only
data/BTP/2004OnlinePrimaries/data/btp04_caseid.dta,99949,2ffeaf5a627052977c06176522ad308ab5b616eb31efd8aa9b1821f69e489cf3,dta,5,review_required,vault_only
data/BTP/2005 Health Education/2005-btp-post.pdf,76579,4996e3046ebeefc2b596aac5d9bd7584f9c7a81c817bc4e1f367474f4faa4753,pdf,2,review_required,vault_only
data/BTP/2005 Health Education/2005-btp-pre.pdf,60044,41f923a4e16e863db9dd879d5e8edf79783d1b94d0eedc09bf930b895fe533dc,pdf,2,review_required,vault_only
data/BTP/2005 Health Education/2005alice.dta,6688757,fdff148b90c33fdb98d122b281f3077495564cec0bcabbfee5424b69fc172c95,dta,2,review_required,vault_only
data/BTP/2005 Health Education/2005cddnhjl_post.doc,99328,7473098bd96ce449008ac7369b509402ae776cfaa9ad14ace9ef9d36645ec05e,doc,2,review_required,vault_only
data/BTP/2005 Health Education/2005cddnhjl_pre.doc,87040,9b1f2caf35f016d228f92ee5ff707de333bcefee82693cdf6a4b852373a43100,doc,2,review_required,vault_only
data/BTP/2005 Health Education/btp05_caseid.dta,104807,a8a1412236b9a718485646ec5580a415aeb0fb43b62ba7e8a29826ee510ac975,dta,2,review_required,vault_only
data/BTP/2005 Health Education/btp05_hlm.dta,1285210,0ac4885083845e14a7ef86bcf8c700bb2276e1a76f92fdd059dff91176233d8d,dta,2,review_required,vault_only
data/BTP/2005 Health Education/hed_hlm.txt,5704,11800586af1643d3b30192e5c4df5e5b3936f3036892aeb17c793ba0faf66f36,txt,2,review_required,vault_only
data/BTP/2005/2005-btp-post.pdf,76579,4996e3046ebeefc2b596aac5d9bd7584f9c7a81c817bc4e1f367474f4faa4753,pdf,2,review_required,vault_only
data/BTP/2005/2005-btp-pre.pdf,60044,41f923a4e16e863db9dd879d5e8edf79783d1b94d0eedc09bf930b895fe533dc,pdf,2,review_required,vault_only
data/BTP/2005/2005cddnhjl_post.doc,99328,7473098bd96ce449008ac7369b509402ae776cfaa9ad14ace9ef9d36645ec05e,doc,2,review_required,vault_only
data/BTP/2005/2005cddnhjl_pre.doc,87040,9b1f2caf35f016d228f92ee5ff707de333bcefee82693cdf6a4b852373a43100,doc,2,review_required,vault_only
data/BTP/2005/data/2005alice.dta,6688757,fdff148b90c33fdb98d122b281f3077495564cec0bcabbfee5424b69fc172c95,dta,2,review_required,vault_only
data/BTP/2005/data/btp05_caseid.dta,104807,a8a1412236b9a718485646ec5580a415aeb0fb43b62ba7e8a29826ee510ac975,dta,2,review_required,vault_only
data/BTP/2005/data/btp05_hlm.dta,1285210,0ac4885083845e14a7ef86bcf8c700bb2276e1a76f92fdd059dff91176233d8d,dta,2,review_required,vault_only
data/BTP/2005/hed_hlm.txt,5704,11800586af1643d3b30192e5c4df5e5b3936f3036892aeb17c793ba0faf66f36,txt,2,review_required,vault_only
data/BTP/2007/2007BTP ygpm dataset.dta,997808,84cef96d470c7d51737fbc4b7569489ec51feb474ed5082f0af2270e1ae51065,dta,2,review_required,vault_only
data/BTP/2007/2007BTP_CODEBOOK.pdf,286790,235dbd209480dbf756f27a1ea40ee2455661480d72a7e8d4e20ac8c275f3e94d,pdf,1,review_required,vault_only
data/BTP/2007/BTP Oct07 - syntax for recoding variables onto 0-1 scale-edit.sps,22493,8efa6dc09ebb5065b5d23600a86072fcafff003cebe0299d84e4ac6cfd539295,sps,1,review_required,vault_only
data/BTP/2007/BTP Oct07 - syntax for recoding variables onto 0-1 scale.sps,18857,fecb3a8177ed45bbc497ab31c2421876bcb286e5dc164bffe1573422e18c2c2e,sps,1,review_required,vault_only
data/BTP/2007/BTP Questions on Deliberation.doc,151552,7bcae7ebb5e79e13bfdeadb5d8868422cf757dd6fc6a0e43f804d8272a8091c6,doc,1,review_required,vault_only
"data/BTP/2007/BTP online democracy DP Oct 2007 on 0-1 scales, 1-1-07.sav",1646498,45f12a167b87cbb8c49d59886319b59121d4aa20d73e15fc12c225fd7c54ebe5,sav,2,review_required,vault_only
"data/BTP/2007/BTP online democracy DP Oct 2007, 10-31-07.sav",836837,c9616ec1e032e1b7baaaae39e42bcceba8a9cbc9cbcb89cf6dc3118a7d2614d6,sav,2,review_required,vault_only
"data/BTP/2007/BTP_online_democracy_DP_Oct_2007,_10-31-07.sav",1238040,9baf5a13de4c414b97edfcfe46cfb6e0b2e632264f16f040eb9e903975c87acf,sav,2,review_required,vault_only
"data/BTP/2007/BTP_online_democracy_DP_Oct_2007_on_0-1_scales,_1-1-07.sav",2494391,950d9f0905dea048beef7d6f31944b34d9354db7b13963bdb5c808b2840062ef,sav,2,review_required,vault_only
data/BTP/2007/OnlineBTP_POSTSURVEY_FALL07.txt,15193,f2fc981217c55f6ca1a0537e91f765966bc501d0fd228feb28125677273bf1e9,txt,1,review_required,vault_only
data/BTP/2007/OnlineBTP_PRESURVEY_FALL07.txt,21672,96da6b5be5e4bb2ea7ec51da3dd8d7df4aca274c4c1d0b95505ec98dd1dc8538,txt,1,review_required,vault_only
data/BTP/2007/data/2007BTP ygpm dataset.dta,997808,84cef96d470c7d51737fbc4b7569489ec51feb474ed5082f0af2270e1ae51065,dta,2,review_required,vault_only
"data/BTP/2007/data/BTP online democracy DP Oct 2007 on 0-1 scales, 1-1-07.sav",1646498,45f12a167b87cbb8c49d59886319b59121d4aa20d73e15fc12c225fd7c54ebe5,sav,2,review_required,vault_only
"data/BTP/2007/data/BTP online democracy DP Oct 2007, 10-31-07.sav",836837,c9616ec1e032e1b7baaaae39e42bcceba8a9cbc9cbcb89cf6dc3118a7d2614d6,sav,2,review_required,vault_only
"data/BTP/2007/data/BTP_online_democracy_DP_Oct_2007,_10-31-07.sav",1238040,9baf5a13de4c414b97edfcfe46cfb6e0b2e632264f16f040eb9e903975c87acf,sav,2,review_required,vault_only
"data/BTP/2007/data/BTP_online_democracy_DP_Oct_2007_on_0-1_scales,_1-1-07.sav",2494391,950d9f0905dea048beef7d6f31944b34d9354db7b13963bdb5c808b2840062ef,sav,2,review_required,vault_only
data/BTP/2007/data/final.sav,2621130,8260d7b4ea6055df6237e5405642b9c5b8f0ed5e375bd76757d38a436ec8b634,sav,2,review_required,vault_only
data/BTP/2007/final.sav,2621130,8260d7b4ea6055df6237e5405642b9c5b8f0ed5e375bd76757d38a436ec8b634,sav,2,review_required,vault_only
data/BTP/BTP2/January results summary comprehensive final.doc,48128,1322cff65259038ce7e9622f35659b2d0aa54ed09022b5f6a8b4b482ff14d877,doc,1,review_required,vault_only
data/BTP/BTP2/code1.do,985,8b92c9e4a63dc8c9ed45c28f7e8a7d36e9468005633719c19ce6aa0c30da50f4,do,2,review_required,vault_only
data/BTP/BTP2/dp10.sps,114,f4ba9f11dceca488eb7514807e16a31f90a92c7b838b58fe8e2f9f6a3cef589b,sps,1,review_required,vault_only
data/BTP/BTP2/dp10_Jan24.sav,1036368,7ca90b39f2569ba024c7be479ae4846802309f7377dcaabc38ad203bca778f64,sav,2,review_required,vault_only
data/BTP/BTP2/dp10_jan24.dta,1134089,df0407bb835c588ee37618a2b1302807d2912d4e5223f85a0126d1219c22323e,dta,2,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Baton_Rouge_additional_Q.doc,42496,acb536616b669df01856fb43a8dc00798d542a12b92a2c27b278a04eca32375c,doc,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Delib-poll.xls,34816,e009a5fe9b5424ed46c777eea38dcae0baa6b9e60653066fef67b8b62af7b26e,xls,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Iraq_has_gotten_Sarasota.doc,35328,bfb4228f7fbeb2aa670ca9ef3c7238699dd4cbe8bb5dcae32de33e3825c42d7e,doc,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/January questions and results.doc,35328,d5df9f3c544a8d1f1ab6ca930d820b8c894d81fb0585ceaffab5da930d23bf6b,doc,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/January results inclusive final jmcg.doc,93184,a2ec49db0e45e196ec7e07676badd6a2027a83c1af8d500b6eb251036c89a984,doc,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/January results inclusive finalb.doc,98816,940faad722627106180655c346d9b9be173bad6b3f31c80b85a575782322e2f5,doc,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/January results summary comprehensive final.doc,56832,df19de900e845eddaa1b2c40638fd84696c5d7ba26427d7b470865608fa3d33e,doc,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/January results summary revised.doc,31232,814ea67a2a0d2689d7826df641cfb0792ff6b944200b3ccd8b7402640e73088b,doc,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Last_minute_questions.xls,14848,20c44c6e60508e8d28620399b3c3cc1e6292b56444236309b1880603cc274085,xls,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Q_s_for_Berkeley1.doc,21504,60349982f89c6c1d4c6c34350d8a6cc487769b017ae0d55aacd6cde0162cd011,doc,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Raw_Data/Y,1036368,8f2c90f2225cd318de881337730010769aad6a6f210fdda984be36615be8ab38,,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Raw_Data/_notes/dwsync.xml,639,116c8ceeabb6b84b95ea252c42375fba78a5aca71dd4538590cb7f1319cf6af0,xml,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Raw_Data/dp10.dat.txt,1408242,b67d9c2cde1d525d4f2913710e98a9f4e4ff10f23f3b5d491affd9807a42a95f,txt,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Raw_Data/dp10.spss.txt,28412,4ba607599dd6189288616a5515872b92981e6c46c3181b01187ef90615949d63,txt,1,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Raw_Data/dp10_Jan24.sav,1036368,7ca90b39f2569ba024c7be479ae4846802309f7377dcaabc38ad203bca778f64,sav,2,review_required,vault_only
data/BTP/BTP_Cities/10City/Seattle/Raw_Data/dp10_jan24.dta,1134089,df0407bb835c588ee37618a2b1302807d2912d4e5223f85a0126d1219c22323e,dta,2,review_required,vault_only
