poll_id,wave,respondents,deposited_mean,rebuilt_mean,changed_scores,change_percentage_points
uk-health-1998,1,230,0.6579710144927536,0.6579710144927536,0,0
uk-health-1998,2,230,0.7369565217391304,0.7369565217391304,0,0
northern-ireland-2007,1,124,0.21774193548387097,0.21774193548387097,0,0
northern-ireland-2007,2,124,0.5034562211981567,0.5034562211981567,0,0
uk-crime-1994,1,299,0.5222169135212613,0.5222169135212613,0,0
uk-crime-1994,2,299,0.6168179646440516,0.6168179646440516,0,0
uk-eu-1995,1,224,0.5151785714285715,0.5151785714285715,0,0
uk-eu-1995,2,224,0.7178571428571429,0.7178571428571429,0,0
uk-monarchy-1996,1,258,0.6468023255813954,0.6468023255813954,0,0
uk-monarchy-1996,2,258,0.7989341085271318,0.7965116279069767,55,-0.24224806201550353
uk-general-election-1997,1,275,0.5447272727272727,0.5447272727272727,0,0
uk-general-election-1997,2,275,0.6475151515151515,0.6475151515151515,0,0
cpl-1996,1,216,0.29365079365079366,0.29365079365079366,0,0
cpl-1996,2,216,0.45436507936507936,0.45436507936507936,0,0
swepco-1996,1,232,0.4353448275862069,0.4353448275862069,0,0
swepco-1996,2,232,0.6379310344827587,0.6379310344827587,0,0
wtu-1996,1,230,0.39913043478260873,0.39913043478260873,0,0
wtu-1996,2,230,0.6869565217391305,0.6869565217391305,0,0
australia-republic-1999,1,347,0.46829971181556196,0.46829971181556196,0,0
australia-republic-1999,2,347,0.7518731988472622,0.7518731988472622,0,0
btp-2007,1,301,0.5074750830564784,0.5074750830564784,0,0
btp-2007,2,301,0.6196013289036545,0.6196013289036545,0,0
btp-general-election-2004,1,250,0.7386666666666667,0.7386666666666667,0,0
btp-general-election-2004,2,250,0.8093333333333333,0.8093333333333333,0,0
btp-health-education-2005,1,454,0.37481644640234946,0.37481644640234946,0,0
btp-health-education-2005,2,454,0.4100587371512482,0.4100587371512482,0,0
btp-online-primaries-2004,1,328,0.48127177700348434,0.48127177700348434,0,0
btp-online-primaries-2004,2,328,0.5087108013937282,0.5087108013937282,0,0
bulgaria-crime-2002,1,278,0.4316546762589928,0.4316546762589928,0,0
bulgaria-crime-2002,2,278,0.5246659815005139,0.5246659815005139,0,0
nic-1996,1,466,0.5295064377682402,0.5295064377682402,0,0
nic-1996,2,466,0.6209763948497854,0.6209763948497854,0,0
vermont-energy-2007,1,146,0.23211567732115676,0.2222222222222222,53,-0.9893455098934548
vermont-energy-2007,2,146,0.6293759512937596,0.6012176560121766,79,-2.815829528158295
san-mateo-2008,1,239,0.14539748953974893,0.14539748953974893,0,0
san-mateo-2008,2,239,0.25889121338912136,0.31694560669456073,92,5.805439330543933
michigan-2009,1,310,0.34157706093189966,0.34157706093189966,0,0
michigan-2009,2,310,0.43942652329749105,0.43942652329749105,0,0
