poll_id,poll_name,n_indices,att_index,t1var,t2_t3var,details
92,NIC2,9,Liberalizing Trade Index,nic2.t1trade_b,nic2.t2trade_b,"[Single Item] This is a single item asking whether the U.S. should “repeal the North American Free Trade Agreement, called NAFTA,” “leave NAFTA the way it is,” “adopt agreements like NAFTA but with more Latin American countries.” "
1001,NIC 1,9,Protecting the Environment Index,nic1.t1att1,nic1.t2att1,(Same as NIC2)
1001,NIC 1,9,Fighting Terrorism Index,nic1.t1att2,nic1.t2att2,(Same as NIC2)
1001,NIC 1,9,Increasing Foreign Aid Index,nic1.t1att3,nic1.t2att3,(Same as NIC2)
1001,NIC 1,9,Internationalism Index,nic1.t1att4,nic1.t2att4,(Same as NIC2)
1001,NIC 1,9,Multilateralism Index,nic1.t1att5,nic1.t2att5,(Same as NIC2)
1001,NIC 1,9,Democracy Index,nic1.t1att6,nic1.t2att6,(Same as NIC2)
1001,NIC 1,9,Fighting Poverty and Suffering Index,nic1.t1att7,nic1.t2att7,(Same as NIC2)
1001,NIC 1,9,Human Rights Index,nic1.t1att8,nic1.t2att8,(Same as NIC2)
1001,NIC 1,9,Liberalizing Trade Index,nic1.t1att9,nic1.t2att9,(Same as NIC2)
94,BTP 2004 Election,6,More services / Higher taxes,btp04.w4b42,btp04.w4f42,"[Single Item] Some people think the federal government should lower taxes, even if that means providing fewer services like health care and education. Suppose these people are at one end of a scale, at point 1. Other people think the federal government should provide more services like health care and education, even if even that means raising taxes. Suppose these people are at the other end, at point 7.  People who are exactly in the middle are at point 4, and of course other people have positions at points 2, 3, 5, or 6.  Where would you place yourself on this scale, or haven't you thought much about this?"
94,BTP 2004 Election,6,Multilateralism (intervene with UN approval),btp04.w4b45,btp04.w4f45,"[Single Item] Here's the next issue.  Some people feel the United States should intervene militarily when its interests are threatened without working through international organizations such as the U.N and NATO.  Suppose these people are at point 1. Other people feel that we should not intervene without first obtaining international approval and cooperation.  Suppose these people are at point 7.  Using the scale shown below, where would you place yourself, or haven't you thought much about this?"
94,BTP 2004 Election,6,Free trade vs. Protectionism ,btp04.w4b48,btp04.w4f48,"[Single Item] Here's the next one.  Some people feel that we should pursue free trade even if that means some current American jobs are lost to companies abroad. Other people feel that we should protect American industries even if that means we lose markets for our goods abroad. And of course, other people fall somewhere in between. Where would you place yourself on this issue, or haven't you thought much about this?"
94,BTP 2004 Election,6,Constitutional rights vs. Find everypotential terrorist ,btp04.w4b51,btp04.w4f51,"[Single Item] When it comes to protecting the country from terrorism, some people say it is important to ensure people’s constitutional rights, even if it means that some suspected terrorists aren’t found.  Suppose these people are at point 1. Others say it s important to find every potential terrorist, even if some innocent people are falsely accused, interrogated, or imprisoned.  Suppose these people are at point 7. Where would you place yourself on this scale, or haven't you thought much about this?"
94,BTP 2004 Election,6,Health insutrance: Govt  vs. Private,btp04.w4b54,btp04.w4f54,"[Single Item] Some people feel that the federal government should make sure that everyone has adequate health  insurance. Suppose these people are at one end of a scale, at point 1. Other people feel that health insurance should be left up to individuals and their employers.  Suppose these people are at point 7. Where would you place yourself on this scale, or haven't you thought much about this?"
94,BTP 2004 Election,6,Gay marriage: Allow marriage vs. Constitutional amendment to ban gay marriage ,btp04.w4b57,btp04.w4f57,"[Single Item] Finally, some people believe that two people of the same sex should be able to marry just like anyone else.  Suppose these people are at point 1. Other people think there should be a constitutional amendment to prohibit gay marriage.  Suppose these people are at point 7. Where would you place yourself on this scale, or haven't you thought much about this?"
96,San Mateo,7,Create more housing,sm.t1more,sm.t2more,"[Single Item] Some people think we should create more housing in the county.    Suppose people who believe this are at one end of a scale, at point 1.  Other people think we should restrict housing growth in the county. Suppose people who believe this are at the other end, at point 7.  People who are exactly in the middle are at point 4, and of course other people are at points 2, 3, 5, or 6.  Where would you place yourself on this scale, or haven't you thought much about this? (reverse coded)"
96,San Mateo,7,Require some homes to be sold below market rate,sm.t1belowmrkt,sm.t2belowmrkt,"[Single Item] Some people think developers should be required to provide a certain portion of their homes at prices below the market rate.  Suppose people who believe this are at one end of a scale, at point 1. Other people think developers should be allowed to sell homes at whatever price the market will support.   Suppose people who believe this are at the other end, at point 7.  People who are exactly in the middle are at point 4.  Where would you place yourself on this scale, or haven't you thought much about this?(reverse coded)"
96,San Mateo,7,Open space areas rezoned to allow housing,sm.t1openspace,sm.t2openspace,"[Single Item] Some people think that any new housing should be located in already developed areas.  Suppose people who believe this are at one end of a scale, at point 1.  Other people think that any new housing should be located in currently protected open space areas rezoned to allow housing developments. Suppose people who believe this are at the other end, at point 7.  People who are exactly in the middle are at point 4, and of course other people are at points 2, 3, 5, or 6.  Where would you place yourself on this scale, or haven't you thought much about this?"
96,San Mateo,7,Attract jobs v. Restrict commuters,sm.t1lesscommute,sm.t2lesscommute,"[Single Item] If new housing is restricted, some people think we should still try to attract new jobs to the county, even if that increases the number of commuters.  Suppose people who believe this are at one end of a scale, at point 1.  Other people think we should try to minimize the number of commuters, even if that reduces job growth.  Suppose people who believe this are at the other end, at point 7.  People who are exactly in the middle are at point 4.  Where would you place yourself on this scale, or haven't you thought much about this?"
96,San Mateo,7,Increase public consultation,sm.t1consult,sm.t2consult,"[Single Item] On a scale of 0 to 10, where 0 is completely unimportant, 10 is extremely important, and 5 is exactly in the middle, how important would you say it is to increase public consultation in the planning and approval of new housing development?"
96,San Mateo,7,Land use: Local control v. regional coordination within county,sm.t1countyl,sm.t2countyl,"[Single Item] Some people think local communities should retain control over land use.  Suppose people who believe this are at one end of a scale, at point 1.  Other people think land use policies should be coordinated countywide.  Suppose people who believe this are at the other end, at point 7.  People who are exactly in the middle are at point 4.  Where would you place yourself on this scale, or haven't you thought much about this?"
96,San Mateo,7,Housing issue: County level v. state-level,sm.t1countys,sm.t2countys,"[Single Item] Some people think housing is a county-level issue.  Suppose people who believe this are at one end of a scale, at point 1.  Other people think housing is a broader, state-level issue.  Suppose people who believe this are at the other end, at point 7.  People who are exactly in the middle are at point 4.  Where would you place yourself on this scale, or haven't you thought much about this? (reverse coded)"
97,BTP 2005 Health Education,11,Education Reform,btp05.t1reform,btp05.t2reform,"[Single Item]  ""In order to improve public education in America, some people think the focus should be on reforming the existing public school system. Others believe the focus should be on finding an alternative to the existing public school system. Which approach do you think is preferable? (0 = Finding an alternative system; 1 = Reforming the existing system)"""
97,BTP 2005 Health Education,11,Charter School or Vouchers,btp05.t1fcvsch,btp05.t2fcvsch,"""Fund more charter schools with money from the public school system (1=Strongly agree)""; ""Provide vouchers to pay some or all of the cost of private schools with money from the public school system (1=Strongly agree)""
"
97,BTP 2005 Health Education,11,Tax Money to Pub Schools,btp05.t1mmtaxe,btp05.t2mmtaxe,"""Provide more money for the most troubled public schools even if this means raising taxes (1=Strongly support)""; ""Provide more money for public schools to pay for smaller class sizes even if this means raising taxes (1=Strongly support)""; ""Provide more money for public schools to pay for new technology even if this means raising taxes (1=Strongly support)""; ""Provide more money for public schools to pay teachers even if this means raising taxes (1=Strongly support)""; ""How important would you say it is that the nation's schools focus on improving the following?: Funding (1=Extremely important)""
"
97,BTP 2005 Health Education,11,Standardized Testing,btp05.t1stest,btp05.t2stest,"""In your opinion is there too much emphasis on standardized testing in the public schools in your community, about the right amount, or not enough emphasis? (0 = Too much, .5 = About the right amount, 1 = Not enough)""; ""Some people think increased use of standardized tests in the public schools is good because it helps evaluate the performance of students and schools. Some people think it is bad because it forces teachers to emphasize only what is measured in the tests. Indicate whether you think it would be bad or good to increase the use of standardized tests in the public schools.""
"
97,BTP 2005 Health Education,11,Testing Local/State,btp05.t1testsl,btp05.t2testsl,"[Single Item] ""Some people think that tests for student achievement should be set at the state level and applied in the same way to all students in the state. Others think that local school boards should make these decisions in each community. Which do you think? (0 = Decisions about testing should be made at the state level; 1 = Decisions should be made by local school boards in each community)"""
97,BTP 2005 Health Education,11,No Child Left Behind,btp05.t1nclb,btp05.t2nclb,"[Single Item] ""From what you know or have heard about the No Child Left Behind Act, do you approve or disapprove of it or couldn't you say? (5-pt scale; 0 = strongly approve, 1 = strongly disapprove)"""
97,BTP 2005 Health Education,11,Health - CostCov,btp05.t1costcov,btp05.t2costcov,"""The cost of health insurance (0=completely unimportant; 1=extremely important)""; 
""The number of Americans without health insurance (0=completely unimportant; 1=extremely important)""; ""The cost of prescription drugs (0=completely unimportant; 1=extremely important)""; ""Would you be willing to pay more than you do now for health care if this meant that many more Americans would have health insurance coverage? (0 = No; .5 = Yes, at least slightly more; 1 = Yes, significantly more)""
"
97,BTP 2005 Health Education,11,Health - Government Involvement,btp05.t1govinv,btp05.t2govinv,"""The US should adopt a single-payer system, where a government entity accepts all healthcare fees and pays out all healthcare costs for everyone. (5-pt scale; 1 = strongly agree, 0 = strongly disagree)""; ""The US should increase funding for Medicare and Medicaid even if this means increases in taxes. (5-pt scale; 1 = strongly agree, 0 = strongly disagree)"""
97,BTP 2005 Health Education,11,Health - MedQuality,btp05.t1medqual,btp05.t2medqual,"""Medical errors or mistakes (0=completely unimportant; 1=extremely important)""; 
""The medical malpractice system (0=completely unimportant; 1=extremely important)""; ""Quality of health care provided to those with insurance (0=completely unimportant; 1=extremely important)"""
97,BTP 2005 Health Education,11,Health - EmplyPayIns,btp05.t1emplypay,btp05.t2emplypay,"[Single Item] ""The US should require employer coverage of health care, where every employer must provide insurance for all workers. (5-pt scale; 1 = strongly agree, 0 = strongly """
97,BTP 2005 Health Education,11,Health - Individuals Pay Insurance,btp05.t1indivpay,btp05.t2indivpay,"[Single Item] ""The US should require individual coverage, where individuals must buy minimal coverage, perhaps funded by a tax credit. (5-pt scale; 1 = strongly agree, 0 = strongly disagree)"""
20,UK EU,4,Relations with EU,ukeu.eurelat1g,ukeu.eurelat2g,
20,UK EU,4,Scope of EU,ukeu.euscope1g,ukeu.euscope2g,
20,UK EU,4,EU should include some Eastern European countries ,ukeu.commies1r,ukeu.commies2r,
20,UK EU,4,Favor a Referendum,ukeu.favref1r,ukeu.favref2r,
22,UK Health,11,Healthcare Payer,ukhealth.t1payhlt,ukhealth.t2payhlt,
22,UK Health,11,Priority to Poor,ukhealth.t1poora,ukhealth.t2poora,
22,UK Health,11,Healthcare Options,ukhealth.t1option,ukhealth.t2option,
