scenario,poll_id,source_poll_id,poll_name,issue_id,pair_id,group_id,group_key,t1mean,t2mean,t1sd,t2sd,n_t1,n_t2,n_complete,t1mean_cc,t2mean_cc,t1sd_cc,t2sd_cc,polarex,homoex,polarfreq,homofreq,polar_abs,polarex_cc,homoex_cc,polarfreq_cc,homofreq_cc,polar_abs_cc
historical,6,27,UK Crime,ukcrime.rootcauset1,6:2701::ukcrime.rootcauset1,2701,6:2701,0.784313725490196,0.848039215686274,0.1474871214052,0.0942592378579873,17,17,17,0.784313725490196,0.848039215686274,0.1474871214052,0.0942592378579873,0.0637254901960784,0.0532278835472125,TRUE,TRUE,0.0637254901960784,0.0637254901960784,0.0532278835472125,TRUE,TRUE,0.0637254901960784
historical,6,27,UK Crime,ukcrime.rootcauset1,6:2702::ukcrime.rootcauset1,2702,6:2702,0.82843137254902,0.852941176470588,0.151584765647708,0.1197850062087,17,17,17,0.82843137254902,0.852941176470588,0.151584765647708,0.1197850062087,0.0245098039215685,0.0317997594390081,TRUE,TRUE,0.0245098039215685,0.0245098039215685,0.0317997594390081,TRUE,TRUE,0.0245098039215685
historical,6,27,UK Crime,ukcrime.rootcauset1,6:2703::ukcrime.rootcauset1,2703,6:2703,0.808823529411765,0.843137254901961,0.247846113704515,0.117417054578466,17,17,17,0.808823529411765,0.843137254901961,0.247846113704515,0.117417054578466,0.0343137254901961,0.13042905912605,TRUE,TRUE,0.0343137254901961,0.0343137254901961,0.13042905912605,TRUE,TRUE,0.0343137254901961
historical,6,27,UK Crime,ukcrime.rootcauset1,6:2704::ukcrime.rootcauset1,2704,6:2704,0.75,0.827777777777778,0.169616748199702,0.138968231305465,15,15,15,0.75,0.827777777777778,0.169616748199702,0.138968231305465,0.0777777777777777,0.0306485168942372,TRUE,TRUE,0.0777777777777777,0.0777777777777777,0.0306485168942372,TRUE,TRUE,0.0777777777777777
historical,6,27,UK Crime,ukcrime.rootcauset1,6:2705::ukcrime.rootcauset1,2705,6:2705,0.78125,0.796875,0.212731355539398,0.15205003440632,16,16,16,0.78125,0.796875,0.212731355539398,0.15205003440632,0.015625,0.0606813211330781,TRUE,TRUE,0.015625,0.015625,0.0606813211330781,TRUE,TRUE,0.015625
historical,6,27,UK Crime,ukcrime.rootcauset1,6:2706::ukcrime.rootcauset1,2706,6:2706,0.797619047619048,0.851190476190476,0.152312255577229,0.127343717812943,14,14,14,0.797619047619048,0.851190476190476,0.152312255577229,0.127343717812943,0.0535714285714286,0.0249685377642862,TRUE,TRUE,0.0535714285714286,0.0535714285714286,0.0249685377642862,TRUE,TRUE,0.0535714285714286
historical,6,27,UK Crime,ukcrime.rootcauset1,6:2707::ukcrime.rootcauset1,2707,6:2707,0.68939393939394,0.803030303030303,0.190361166568641,0.0933387444318875,11,11,11,0.68939393939394,0.803030303030303,0.190361166568641,0.0933387444318875,0.113636363636364,0.0970224221367531,TRUE,TRUE,0.113636363636364,0.113636363636364,0.0970224221367531,TRUE,TRUE,0.113636363636364
historical,6,27,UK Crime,ukcrime.rootcauset1,6:2708::ukcrime.rootcauset1,2708,6:2708,0.75,0.814102564102564,0.186338998124983,0.144953082103817,13,13,13,0.75,0.814102564102564,0.186338998124983,0.144953082103817,0.0641025641025641,0.0413859160211652,TRUE,TRUE,0.0641025641025641,0.0641025641025641,0.0413859160211652,TRUE,TRUE,0.0641025641025641
historical,6,27,UK Crime,ukcrime.rootcauset1,6:2709::ukcrime.rootcauset1,2709,6:2709,0.802083333333333,0.84375,0.171796067734069,0.117359056523764,16,16,16,0.802083333333333,0.84375,0.171796067734069,0.117359056523764,0.0416666666666666,0.0544370112103047,TRUE,TRUE,0.0416666666666666,0.0416666666666666,0.0544370112103047,TRUE,TRUE,0.0416666666666666
historical,6,27,UK Crime,ukcrime.rootcauset1,6:2710::ukcrime.rootcauset1,2710,6:2710,0.833333333333333,0.844444444444444,0.20167945650116,0.166269367730507,15,15,15,0.833333333333333,0.844444444444444,0.20167945650116,0.166269367730507,0.0111111111111111,0.0354100887706525,TRUE,TRUE,0.0111111111111111,0.0111111111111111,0.0354100887706525,TRUE,TRUE,0.0111111111111111
historical,6,27,UK Crime,ukcrime.rootcauset1,6:2711::ukcrime.rootcauset1,2711,6:2711,0.773148148148148,0.800925925925926,0.139459611705406,0.181088955700074,18,18,18,0.773148148148148,0.800925925925926,0.139459611705406,0.181088955700074,0.0277777777777778,-0.041629343994668,TRUE,FALSE,0.0277777777777778,0.0277777777777778,-0.041629343994668,TRUE,FALSE,0.0277777777777778
historical,6,27,UK Crime,ukcrime.rootcauset1,6:2712::ukcrime.rootcauset1,2712,6:2712,0.827777777777778,0.855555555555556,0.135351785433757,0.165071733645338,15,15,15,0.827777777777778,0.855555555555556,0.135351785433757,0.165071733645338,0.0277777777777778,-0.0297199482115804,TRUE,FALSE,0.0277777777777778,0.0277777777777778,-0.0297199482115804,TRUE,FALSE,0.0277777777777778
historical,6,27,UK Crime,ukcrime.rootcauset1,6:2713::ukcrime.rootcauset1,2713,6:2713,0.833333333333333,0.826388888888889,0.158910431540932,0.148470031212869,12,12,12,0.833333333333333,0.826388888888889,0.158910431540932,0.148470031212869,-0.00694444444444453,0.0104404003280635,FALSE,TRUE,-0.00694444444444453,-0.00694444444444453,0.0104404003280635,FALSE,TRUE,-0.00694444444444453
historical,6,27,UK Crime,ukcrime.rootcauset1,6:2714::ukcrime.rootcauset1,2714,6:2714,0.768518518518518,0.782407407407407,0.16802280510569,0.148903642815962,18,18,18,0.768518518518518,0.782407407407407,0.16802280510569,0.148903642815962,0.013888888888889,0.0191191622897281,TRUE,TRUE,0.013888888888889,0.013888888888889,0.0191191622897281,TRUE,TRUE,0.013888888888889
historical,6,27,UK Crime,ukcrime.rootcauset1,6:2715::ukcrime.rootcauset1,2715,6:2715,0.744791666666667,0.776041666666667,0.191167829115908,0.176694835280533,16,16,16,0.744791666666667,0.776041666666667,0.191167829115908,0.176694835280533,0.03125,0.0144729938353743,TRUE,TRUE,0.03125,0.03125,0.0144729938353743,TRUE,TRUE,0.03125
historical,6,27,UK Crime,ukcrime.rootcauset1,6:2716::ukcrime.rootcauset1,2716,6:2716,0.798611111111111,0.909722222222222,0.156743748499271,0.120281306081172,12,12,12,0.798611111111111,0.909722222222222,0.156743748499271,0.120281306081172,0.111111111111111,0.0364624424180989,TRUE,TRUE,0.111111111111111,0.111111111111111,0.0364624424180989,TRUE,TRUE,0.111111111111111
historical,6,27,UK Crime,ukcrime.rootcauset1,6:2717::ukcrime.rootcauset1,2717,6:2717,0.846153846153846,0.846153846153846,0.117093237254874,0.131084127311618,13,13,13,0.846153846153846,0.846153846153846,0.117093237254874,0.131084127311618,0,-0.0139908900567438,FALSE,FALSE,0,0,-0.0139908900567438,FALSE,FALSE,0
historical,6,27,UK Crime,ukcrime.rootcauset1,6:2718::ukcrime.rootcauset1,2718,6:2718,0.774509803921569,0.791666666666667,0.231549554260921,0.215501675683096,17,17,17,0.774509803921569,0.791666666666667,0.231549554260921,0.215501675683096,0.017156862745098,0.0160478785778255,TRUE,TRUE,0.017156862745098,0.017156862745098,0.0160478785778255,TRUE,TRUE,0.017156862745098
historical,6,27,UK Crime,ukcrime.rootcauset1,6:2719::ukcrime.rootcauset1,2719,6:2719,0.743589743589744,0.814102564102564,0.202591824349966,0.173984640904464,13,13,13,0.743589743589744,0.814102564102564,0.202591824349966,0.173984640904464,0.0705128205128205,0.0286071834455016,TRUE,TRUE,0.0705128205128205,0.0705128205128205,0.0286071834455016,TRUE,TRUE,0.0705128205128205
historical,6,27,UK Crime,ukcrime.rootcauset1,6:2720::ukcrime.rootcauset1,2720,6:2720,0.791666666666667,0.803571428571429,0.141534629268074,0.165402716447036,14,14,14,0.791666666666667,0.803571428571429,0.141534629268074,0.165402716447036,0.011904761904762,-0.0238680871789616,TRUE,FALSE,0.011904761904762,0.011904761904762,-0.0238680871789616,TRUE,FALSE,0.011904761904762
candidate,6,27,UK Crime,ukcrime.rootcauset1,6:2701::ukcrime.rootcauset1,2701,6:2701,0.784313725490196,0.879901960784314,0.1474871214052,0.0831800060032025,17,17,17,0.784313725490196,0.879901960784314,0.1474871214052,0.0831800060032025,0.0955882352941176,0.0643071154019973,TRUE,TRUE,0.0955882352941176,0.0955882352941176,0.0643071154019973,TRUE,TRUE,0.0955882352941176
candidate,6,27,UK Crime,ukcrime.rootcauset1,6:2702::ukcrime.rootcauset1,2702,6:2702,0.82843137254902,0.848039215686274,0.151584765647708,0.13253437092741,17,17,17,0.82843137254902,0.848039215686274,0.151584765647708,0.13253437092741,0.0196078431372548,0.0190503947202986,TRUE,TRUE,0.0196078431372548,0.0196078431372548,0.0190503947202986,TRUE,TRUE,0.0196078431372548
candidate,6,27,UK Crime,ukcrime.rootcauset1,6:2703::ukcrime.rootcauset1,2703,6:2703,0.808823529411765,0.877450980392157,0.247846113704515,0.106709167390758,17,17,17,0.808823529411765,0.877450980392157,0.247846113704515,0.106709167390758,0.0686274509803921,0.141136946313757,TRUE,TRUE,0.0686274509803921,0.0686274509803921,0.141136946313757,TRUE,TRUE,0.0686274509803921
candidate,6,27,UK Crime,ukcrime.rootcauset1,6:2704::ukcrime.rootcauset1,2704,6:2704,0.75,0.8,0.169616748199702,0.140152977645347,15,15,15,0.75,0.8,0.169616748199702,0.140152977645347,0.05,0.0294637705543555,TRUE,TRUE,0.05,0.05,0.0294637705543555,TRUE,TRUE,0.05
candidate,6,27,UK Crime,ukcrime.rootcauset1,6:2705::ukcrime.rootcauset1,2705,6:2705,0.78125,0.8359375,0.212731355539398,0.129519008686413,16,16,16,0.78125,0.8359375,0.212731355539398,0.129519008686413,0.0546875,0.0832123468529848,TRUE,TRUE,0.0546875,0.0546875,0.0832123468529848,TRUE,TRUE,0.0546875
candidate,6,27,UK Crime,ukcrime.rootcauset1,6:2706::ukcrime.rootcauset1,2706,6:2706,0.797619047619048,0.833333333333333,0.152312255577229,0.126592420885458,14,14,14,0.797619047619048,0.833333333333333,0.152312255577229,0.126592420885458,0.0357142857142858,0.0257198346917709,TRUE,TRUE,0.0357142857142858,0.0357142857142858,0.0257198346917709,TRUE,TRUE,0.0357142857142858
candidate,6,27,UK Crime,ukcrime.rootcauset1,6:2707::ukcrime.rootcauset1,2707,6:2707,0.68939393939394,0.787878787878788,0.190361166568641,0.0940126791362944,11,11,11,0.68939393939394,0.787878787878788,0.190361166568641,0.0940126791362944,0.0984848484848484,0.0963484874323462,TRUE,TRUE,0.0984848484848484,0.0984848484848484,0.0963484874323462,TRUE,TRUE,0.0984848484848484
candidate,6,27,UK Crime,ukcrime.rootcauset1,6:2708::ukcrime.rootcauset1,2708,6:2708,0.75,0.83974358974359,0.186338998124983,0.138031541876147,13,13,13,0.75,0.83974358974359,0.186338998124983,0.138031541876147,0.0897435897435898,0.0483074562488354,TRUE,TRUE,0.0897435897435898,0.0897435897435898,0.0483074562488354,TRUE,TRUE,0.0897435897435898
candidate,6,27,UK Crime,ukcrime.rootcauset1,6:2709::ukcrime.rootcauset1,2709,6:2709,0.802083333333333,0.848958333333333,0.171796067734069,0.136824942224782,16,16,16,0.802083333333333,0.848958333333333,0.171796067734069,0.136824942224782,0.046875,0.0349711255092877,TRUE,TRUE,0.046875,0.046875,0.0349711255092877,TRUE,TRUE,0.046875
candidate,6,27,UK Crime,ukcrime.rootcauset1,6:2710::ukcrime.rootcauset1,2710,6:2710,0.833333333333333,0.858333333333333,0.20167945650116,0.147566234792359,15,15,15,0.833333333333333,0.858333333333333,0.20167945650116,0.147566234792359,0.0249999999999999,0.0541132217088006,TRUE,TRUE,0.0249999999999999,0.0249999999999999,0.0541132217088006,TRUE,TRUE,0.0249999999999999
candidate,6,27,UK Crime,ukcrime.rootcauset1,6:2711::ukcrime.rootcauset1,2711,6:2711,0.773148148148148,0.784313725490196,0.139459611705406,0.184133725205813,18,17,17,0.769607843137255,0.784313725490196,0.142915487618757,0.184133725205813,0.0111655773420479,-0.0446741135004076,TRUE,FALSE,0.0111655773420479,0.0147058823529411,-0.0412182375870559,TRUE,FALSE,0.0147058823529411
candidate,6,27,UK Crime,ukcrime.rootcauset1,6:2712::ukcrime.rootcauset1,2712,6:2712,0.827777777777778,0.861111111111111,0.135351785433757,0.143187448830704,15,15,15,0.827777777777778,0.861111111111111,0.135351785433757,0.143187448830704,0.0333333333333334,-0.007835663396947,TRUE,FALSE,0.0333333333333334,0.0333333333333334,-0.007835663396947,TRUE,FALSE,0.0333333333333334
candidate,6,27,UK Crime,ukcrime.rootcauset1,6:2713::ukcrime.rootcauset1,2713,6:2713,0.833333333333333,0.868055555555556,0.158910431540932,0.109281014212626,12,12,12,0.833333333333333,0.868055555555556,0.158910431540932,0.109281014212626,0.0347222222222222,0.0496294173283065,TRUE,TRUE,0.0347222222222222,0.0347222222222222,0.0496294173283065,TRUE,TRUE,0.0347222222222222
candidate,6,27,UK Crime,ukcrime.rootcauset1,6:2714::ukcrime.rootcauset1,2714,6:2714,0.768518518518518,0.800925925925926,0.16802280510569,0.111213188405135,18,18,18,0.768518518518518,0.800925925925926,0.16802280510569,0.111213188405135,0.0324074074074074,0.0568096167005549,TRUE,TRUE,0.0324074074074074,0.0324074074074074,0.0568096167005549,TRUE,TRUE,0.0324074074074074
