legacy_field,caseid,historical_value,approved_value
pminority,910084,0.2727272727272727,0.2727272727272727
pminority,910059,0.25,0.25
pminority,910029,0.16666666666666669,0.16666666666666669
pminority,910075,0.5,0.5
pminority,910060,0.25,0.25
pminority,910026,0.16666666666666669,0.16666666666666669
pminority,910039,0.3,0.3
pminority,910069,0.1111111111111111,0.1111111111111111
pminority,910006,0.5,0.5
pminority,910012,0.42857142857142855,0.42857142857142855
pminority,910043,0.25,0.25
pminority,910025,0.16666666666666669,0.16666666666666669
pminority,910097,0.25,0.25
pminority,910071,0.1111111111111111,0.1111111111111111
pminority,910129,0.16666666666666669,0.16666666666666669
pminority,910037,0.3,0.3
pminority,910032,0.16666666666666669,0.16666666666666669
pminority,910066,0.1111111111111111,0.1111111111111111
pminority,910086,0.2727272727272727,0.2727272727272727
pminority,910014,0.14285714285714288,0
pminority,910103,0,0
pminority,910018,0.14285714285714288,0
pminority,910070,0.1111111111111111,0.1111111111111111
pminority,910027,0.16666666666666669,0.16666666666666669
pminority,910017,0.14285714285714288,0
pminority,910091,0.2727272727272727,0.2727272727272727
pminority,910047,0.2,0.1111111111111111
pminority,910052,0.2,0.1111111111111111
pminority,910065,0.1111111111111111,0.1111111111111111
pminority,910019,0.14285714285714288,0
pminority,910009,0.42857142857142855,0.42857142857142855
pminority,910118,0.4615384615384616,0.3636363636363637
pminority,910058,0.25,0.25
pminority,910125,0.4615384615384616,0.3636363636363637
pminority,910082,0.2727272727272727,0.2727272727272727
pminority,910121,0.4615384615384616,0.3636363636363637
pminority,910099,0.25,0.25
pminority,910116,0.4615384615384616,0.3636363636363637
pminority,910101,0,0
pminority,910113,0.2857142857142857,0.2857142857142857
nh.t1endexp,910073,0,0
nh.t1endexp,910102,0.75,0.75
nh.t1endexp,910036,0.875,0.875
nh.t1endexp,910049,0.125,0.125
nh.t1endexp,910094,0.675000011920929,0.625
nh.t1endexp,910122,1,1
nh.t1endexp,910001,0.875,0.875
nh.t1endexp,910127,1,1
nh.t1endexp,910013,1,1
nh.t1endexp,910072,0.75,0.75
nh.t1endexp,910068,1,1
nh.t1endexp,910005,0.25,0.25
nh.t1endexp,910022,0.75,0.75
nh.t1endexp,910117,1,1
nh.t1endexp,910083,0.875,0.875
nh.t1endexp,910085,0.875,0.875
nh.t1endexp,910041,0.5,0.5
nh.t1endexp,910098,1,1
nh.t1endexp,910074,0.5,0.5
nh.t1endexp,910016,0.875,0.875
nh.t1endexp,910020,0.675000011920929,0.625
nh.t1endexp,910120,0.675000011920929,0.625
nh.t1endexp,910095,1,1
nh.t1endexp,910105,1,1
nh.t1endexp,910107,0.875,0.875
nh.t1endexp,910096,0.875,0.875
nh.t1endexp,910035,0.875,0.875
nh.t1endexp,910028,0.125,0.125
nh.t1endexp,910023,0.875,0.875
nh.t1endexp,910044,0.5,0.5
nh.t1endexp,910090,0.375,0.375
nh.t1endexp,910100,1,1
nh.t1endexp,910057,0,0
nh.t1endexp,910111,0.5,0.5
nh.t1endexp,910054,0.75,0.75
nh.t1endexp,910056,1,1
nh.t1endexp,910050,1,1
nh.t1endexp,910055,1,1
nh.t1endexp,910131,1,1
nh.t1endexp,910104,1,1
nh.t1endexp,910053,0.875,0.875
nh.t1endexp,910048,0.875,0.875
nh.t1endexp,910004,0.675000011920929,0.625
nh.t1endexp,910010,0.875,0.875
nh.t1endexp,910008,0.375,0.375
nh.t1endexp,910042,0.875,0.875
nh.t1endexp,910126,0.75,0.75
nh.t1endexp,910077,0.5,0.5
nh.t1endexp,910078,0.675000011920929,0.625
nh.t1endexp,910034,1,1
nh.t1endexp,910067,1,1
nh.t1endexp,910114,1,1
nh.t1endexp,910130,0.675000011920929,0.625
nh.t1endexp,910031,1,1
nh.t1endexp,910108,1,1
nh.t1endexp,910132,0.675000011920929,0.625
nh.t1endexp,910079,0.5,0.5
nh.t1endexp,910003,0.5,0.5
nh.t1endexp,910040,0.375,0.375
nh.t1endexp,910062,1,1
nh.t1endexp,910045,0.5,0.5
nh.t1endexp,910119,0.5,0.5
nh.t1endexp,910046,1,1
nh.t1endexp,910115,0.5,0.5
nh.t1endexp,910080,0.875,0.875
nh.t1endexp,910081,0.875,0.875
nh.t1endexp,910112,1,1
nh.t1endexp,910110,1,1
nh.t1endexp,910011,1,1
nh.t1endexp,910088,0.875,0.875
nh.t1endexp,910024,0.5,0.5
nh.t1endexp,910089,0.875,0.875
nh.t1endexp,910128,0.875,0.875
nh.t1endexp,910064,1,1
nh.t1endexp,910124,0.875,0.875
nh.t1endexp,910109,1,1
nh.t1endexp,910051,0.5,0.5
nh.t1endexp,910076,0,0
nh.t1endexp,910021,0.75,0.75
nh.t1endexp,910106,1,1
nh.t1endexp,910092,0.5,0.5
nh.t1endexp,910061,0.5,0.5
nh.t1endexp,910015,1,1
nh.t1endexp,910038,1,1
nh.t1endexp,910093,1,1
nh.t1endexp,910030,1,1
nh.t1endexp,910002,0.75,0.75
nh.t1endexp,910123,0.875,0.875
nh.t1endexp,910007,1,1
nh.t1endexp,910033,1,1
nh.t1endexp,910087,0.875,0.875
nh.t1endexp,910063,1,1
nh.t1endexp,910084,0.675000011920929,0.625
