poll_id,artifact_id,artifact_type,title,location,source_id,original_archive_path,sha256,rights_status,disclosure_status,publication_status,notes
bulgaria-crime-2002,cor-sood-bulgaria-crime-2002,data,Cor-Sood scored knowledge battery,data/bulgaria-crime-2002/knowledge-battery.csv,cor-sood-bulgaria-crime-2002,replication/data.zip:data/bul.csv,a7db8b2d74654d6cdb82b5aed2037482dd1f1474747729761e98ae27d9db98a8,public-license,approved-public,published,Scored binary items; row number is not a respondent identifier
bulgaria-crime-2002,cdd-bulgaria-crime-2002-survey,data,Reviewed poll-level survey,data/bulgaria-crime-2002/survey.sav,cdd-bulgaria-crime-2002-survey,data/Bulgaria/data/bulgaria.sav,88502e432e20f6600423c44632ca8753435748af9721d6b1ec867a0357ad133f,owner-approved,approved-public,published,Reviewed source; archive path and hash retained; source license not inferred
bulgaria-crime-2002,cdd-bulgaria-crime-2002-survey-variables,codebook,Source variables,data/bulgaria-crime-2002/variables.csv,cdd-bulgaria-crime-2002-survey-variables,data/Bulgaria/data/bulgaria.sav,8aaa48c2911f6b65f8a1b36636091c5bac87b735b350e25c32e2819f4baae65b,owner-approved,approved-public,published,Reviewed source; archive path and hash retained; source license not inferred
bulgaria-crime-2002,cdd-bulgaria-crime-2002-survey-value-labels,codebook,Source value-labels,data/bulgaria-crime-2002/value-labels.csv,cdd-bulgaria-crime-2002-survey-value-labels,data/Bulgaria/data/bulgaria.sav,787edbd4cd3ba223f59452153f6c8138402bd8fe83cd9909c766f0f48c1673fb,owner-approved,approved-public,published,Reviewed source; archive path and hash retained; source license not inferred
bulgaria-crime-2002,cdd-bulgaria-crime-2002-questionnaire,questionnaire,Original questionnaire.doc,data/bulgaria-crime-2002/questionnaire.doc,cdd-bulgaria-crime-2002-questionnaire,data/Bulgaria/codebook/Bulgaria.doc,7101f933cee01690014e04ca25b113c2336b2e1f0a317ad5d7d147ebcbf8d5ec,owner-approved,approved-public,published,Reviewed source; archive path and hash retained; source license not inferred
bulgaria-crime-2002,cdd-bulgaria-crime-2002-knowledge-index,codebook,Original knowledge-index.doc,data/bulgaria-crime-2002/knowledge-index.doc,cdd-bulgaria-crime-2002-knowledge-index,data/Bulgaria/Indices/Bulgaria_Knowledge Indices.doc,562147c29a8e69fa4bca2afa770d8b3578dff8322322e195bb426ad92f8b237c,owner-approved,approved-public,published,Reviewed source; archive path and hash retained; source license not inferred
bulgaria-crime-2002,material-14f09619eb8626fc-bulgaria-crime-2002,codebook,AllPollIndices,data/shared/codebooks/attitude_indices/allpollindices.csv,material-14f09619eb8626fc,meta_data/attitude_indices/AllPollIndices.csv,14f09619eb8626fc7861fe1bd3ca498a35fec8cfdcc8ba9728ff6e80b9e56992,review-required,approved-public,published,"Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply. Cleanup review: Genuine cross-poll coding evidence. Required build input read by scripts/12_build_polardata.R; 129 attitude targets plus header, canonical historical registry."
bulgaria-crime-2002,material-e0ff5cf4f836a41b-bulgaria-crime-2002,codebook,AllPollIndices_withEmpiricalPremises,data/shared/codebooks/attitude_indices/allpollindices-withempiricalpremises.csv,material-e0ff5cf4f836a41b,meta_data/attitude_indices/AllPollIndices_withEmpiricalPremises.csv,e0ff5cf4f836a41b9bb66245130d5246dd7a942668872045c5ee66be48d1f2f5,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply. Cleanup review: Genuine cross-poll coding evidence. 144 rows plus header; includes empirical-premise indices deliberately absent from current 129-row build registry. Unique evidence for future corrections.
bulgaria-crime-2002,material-a6eea8ca19a00fe8-bulgaria-crime-2002,codebook,Appendix A -9-14-14,data/shared/codebooks/knowledge_indices/appendix-a-9-14-14.docx,material-a6eea8ca19a00fe8,meta_data/knowledge_indices/Appendix A -9-14-14.docx,a6eea8ca19a00fe84b2b3bab798a67aec325c43ae5be66f3a51525976e1032d1,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply. Cleanup review: Genuine cross-poll coding evidence. 273-paragraph cross-poll knowledge-item appendix extends January content; retain complete version.
bulgaria-crime-2002,material-7af1872d80219bc0-bulgaria-crime-2002,codebook,Rosetta Stone,data/shared/codebooks/rosetta_stone/rosetta-stone.xls,material-7af1872d80219bc0,meta_data/rosetta_stone/Rosetta Stone.xls,7af1872d80219bc0f745e63c426cec847e480a8c2aa180072f6e2a838b4974c3,review-required,approved-public,published,"Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply. Cleanup review: Genuine cross-poll coding evidence. 136×8 cross-poll dataset URLs, filters, group identifiers and 0–1 index mapping; retain single content representative."
