poll_id,artifact_id,artifact_type,title,location,source_id,original_archive_path,sha256,rights_status,disclosure_status,publication_status,notes
america-in-one-room-2019,a1r-public-participants,data,America in One Room participant data,data/america-in-one-room-2019/participants.tab,a1r-2019,,06134deebb34b08ffac91068727b55c1ec4dde88df5f388e1552b0bfa54c6818,public-license,approved-public,published,CC0 Dataverse deposit
america-in-one-room-2019,material-f937811041f72f6f-america-in-one-room-2019,paper,Is Deliberation an Antidote to Extreme Partisan Polarization?,data/america-in-one-room-2019/papers/a1r-2019-paper.pdf,material-f937811041f72f6f,,f937811041f72f6f918844a6feb0a62ebd49f14c9423b1a84f40bdb73f484e42,review-required,approved-public,published,"APSR 2021, DOI 10.1017/S0003055421000642. Compare recruitment, deliberator/control samples, weights and reported policy outcomes; measurement definitions require instrument review. Source URL: https://fsi9-prod.s3.us-west-1.amazonaws.com/s3fs-public/is-deliberation-an-antidote-to-extreme-partisan-polarization-reflections-on-america-in-one-room_1.pdf. Retrieved 2026-09-23. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply."
america-in-one-room-2019,oos-a1r-codebook,codebook,america-in-one-room-2019: a1r_codebook.tab,data/america-in-one-room-2019/codebooks/a1r_codebook.tab,oos-a1r-codebook,,223f26e26f515c5312853222d3b5bafedb11dc82e8980ba165c6d4eb11cde04f,owner-approved,approved-public,published,Unchanged public OOS source; upstream centralization authorized. Study america-in-one-room-2019. Original URL in oos_sources.
america-in-one-room-2019,oos-a1r-code,codebook,america-in-one-room-2019: a1r_code.docx,data/america-in-one-room-2019/codebooks/a1r_code.docx,oos-a1r-code,,73c1a1707497ec1ab3ff8bd3d5dd805152c00af271c88b02b2a5e91e0b747e9b,owner-approved,approved-public,published,Unchanged public OOS source; upstream centralization authorized. Study america-in-one-room-2019. Original URL in oos_sources.
america-in-one-room-2019,material-96ffcf2f21674cbf-america-in-one-room-2019,briefing-material,America in One Room briefing booklet,data/america-in-one-room-2019/briefing-materials/a1r-2019-briefing.pdf,material-96ffcf2f21674cbf,https://drive.google.com/file/d/1ja0CIevtWjYVqnmvvHCKmrY-g4AkJbed/view,96ffcf2f21674cbfc84a18f95745a1cc8b534547d5352823db1e2aafa00d0141,review-required,approved-public,published,Downloaded public source linked by Stanford event page.
america-in-one-room-2019,material-c231aae89955d3d7-america-in-one-room-2019,research-design,America in One Room NORC methodological report,data/america-in-one-room-2019/design/a1r-2019-norc-methods.pdf,material-c231aae89955d3d7,https://drive.google.com/file/d/1A9LlJEN4vMmQ_ma6peEEfY4MT8WABHSo/view,c231aae89955d3d778e42cf7f0ed5212b3f95427c127444783670fb6a45735ec,review-required,approved-public,published,Downloaded public source linked by Stanford event page.
america-in-one-room-2019,material-16c84a17f5152926-america-in-one-room-2019,event-report,America in One Room executive summary,data/america-in-one-room-2019/reports/a1r-2019-executive-summary.pdf,material-16c84a17f5152926,https://drive.google.com/file/d/1mxM_4B42obgsZ-h_gR7ypYYOcV7GFE6e/view,16c84a17f515292682613b9b63311283c9eea6c14790967a8b94b6ba5a466e80,review-required,approved-public,published,Downloaded public source linked by Stanford event page.
america-in-one-room-2019,material-6e83d5d747d3eca4-america-in-one-room-2019,codebook,america-in-one-room-2019: a1r_code.docx (PDF preview),data/america-in-one-room-2019/codebooks/a1r_code.pdf,material-6e83d5d747d3eca4,,6e83d5d747d3eca4fe566484befdece6f0aee051121cd0017c9456ea334d85c1,review-required,approved-public,published,Generated from data/america-in-one-room-2019/codebooks/a1r_code.docx. Original retained unchanged. See metadata/document_previews.csv for converter and verification details.
