"estimate","null","se","df","p","conf_low","conf_high","se_two_way","df_two_way","p_two_way","two_way_variance_nonnegative","n_pairs","n_groups","n_issues","n_polls","mean_absolute","proportion_abs_gt_10","proportion_abs_gt_20","leave_one_poll_min","leave_one_poll_max","outcome","dimension"
0.0129503731787336,0,0.00309532848998221,13.8595300038354,0.00093821405539798,0.00630523573932033,0.0195955106181468,0.00300517873661693,128,3.2356116870324e-05,TRUE,2480,397,129,21,0.052163952415601,0.131451612903226,0.0157258064516129,0.0118503273283909,0.0149085083746897,"homoex","all"
0.586290322580645,0.5,0.0201772536104129,13.8595300038354,0.000784394053913401,0.542973232383262,0.629607412778029,0.0181022819912944,128,5.00302808728121e-06,TRUE,2480,397,129,21,NA,NA,NA,0.575971731448763,0.594883720930232,"homofreq","all"
-0.0221382563936714,0,0.00838511909271823,13.9485489880194,0.019444415134189,-0.0401287737225105,-0.00414773906483238,0.00651738186210279,128,0.000908791256228657,TRUE,2431,397,129,21,0.0887341902068544,0.314273961332785,0.100370218017277,-0.026221479228285,-0.0176473335321176,"polarex","all"
0.439736733854381,0.5,0.0409980613329048,13.9485489880194,0.163780993992093,0.351774198712936,0.527699268995826,0.0245001071014216,128,0.0152392010789653,TRUE,2431,397,129,21,NA,NA,NA,0.416028815848716,0.471593533487297,"polarfreq","all"
0.0100543080903782,0,0.00313438969079012,14.0098249877648,0.00631761563604473,0.00333215307789723,0.0167764631028593,0.00352783425593548,128,0.00509721774067875,TRUE,2385,392,129,21,0.0897120883078716,0.323689727463312,0.10272536687631,0.00777106749976764,0.0111709722207195,"ext_grp","educ"
0.522431865828092,0.5,0.0173362757213988,14.0098249877648,0.216615831879609,0.485251698639316,0.559612033016869,0.0135473504323103,128,0.100209525413823,TRUE,2385,392,129,21,NA,NA,NA,0.517757809157039,0.537158984007526,"freqgrp_grp","educ"
0.0522646901948174,0,0.00666171682691111,14.0042050941306,1.71376413664893e-06,0.037977131115483,0.0665522492741519,0.005394443094193,128,5.50868403729015e-17,TRUE,2384,392,129,21,0.119717362574902,0.42994966442953,0.172818791946309,0.0480140562783746,0.0548874419850755,"ext_dis","educ"
0.588087248322147,0.5,0.0117633750030734,14.0042050941306,2.9252885342374e-06,0.562858028933861,0.613316467710433,0.01225015560666,128,4.7805708727592e-11,TRUE,2384,392,129,21,NA,NA,NA,0.582191780821918,0.593310712554532,"freqdis_grp","educ"
-0.0302676652794611,0,0.00852329027103245,14.0098249877648,0.00319034614358988,-0.048547102130151,-0.0119882284287712,0.00537200962529039,128,1.06602458049177e-07,TRUE,2385,392,129,21,0.11237957356903,0.406289308176101,0.160587002096436,-0.0335466950771197,-0.0241776253179655,"ext_adv","educ"
0.388259958071279,0.5,0.0235385773715618,14.0098249877648,0.00031156236338177,0.337778052030735,0.438741864111823,0.0158535071333632,128,1.00191223157305e-10,TRUE,2385,392,129,21,NA,NA,NA,0.37927886809676,0.404045155221072,"freqadv_grp","educ"
