source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
d2013p,double,numeric,float64,q13: shuangchen road (second stage) t2,%8.0g,,,TRUE,Retained
d2014p,double,numeric,float64,q14: tngquao road t2,%8.0g,,,TRUE,Retained
d2015p,double,numeric,float64,q15: reconstruction for donghe road t2,%8.0g,,,TRUE,Retained
d2016p,double,numeric,float64,q16: donghe main ave t2,%8.0g,,,TRUE,Retained
d2017p,double,numeric,float64,q17: xicheng road (first stage) t2,%8.0g,,,TRUE,Retained
d2018p,double,numeric,float64,q18: zeguo main ave (second stage) t2,%8.0g,,,TRUE,Retained
d2019p,double,numeric,float64,q19: zeguo main ave (third stage) t2,%8.0g,,,TRUE,Retained
d2020p,double,numeric,float64,q20: air compressor industrial zone matching environmental constructions t2,%8.0g,,,TRUE,Retained
d2021p,double,numeric,float64,q21: auxiliary environmental construction for muyu/lianshu industrial zone t2,%8.0g,,,TRUE,Retained
d2022p,double,numeric,float64,q22: chengqu subroad rebuild t2,%8.0g,,,TRUE,Retained
d2023p,double,numeric,float64,q23: guojialing hill side reconstruction t2,%8.0g,,,TRUE,Retained
d2024p,double,numeric,float64,q24: wenchang park (first stage) t2,%8.0g,,,TRUE,Retained
d2025p,double,numeric,float64,q25: wenchang park (second stage) t2,%8.0g,,,TRUE,Retained
d2026p,double,numeric,float64,q26: citizen park (first stage) t2,%8.0g,,,TRUE,Retained
d2027p,double,numeric,float64,q27: urban environmental construtions t2,%8.0g,,,TRUE,Retained
d2028p,double,numeric,float64,q28: danyan hill park t2,%8.0g,,,TRUE,Retained
d2029p,double,numeric,float64,q29: muyu hill park t2,%8.0g,,,TRUE,Retained
d2030p,double,numeric,float64,q30: urban and countryside environmental projects t2,%8.0g,,,TRUE,Retained
d2031p,double,numeric,float64,q31: demonstrative street t2,%8.0g,,,TRUE,Retained
d2032p,double,numeric,float64,q32: old street reconstruction t2,%8.0g,,,TRUE,Retained
d2033p,double,numeric,float64,q33: muyu environmental project (sewage disposal) t2,%8.0g,,,TRUE,Retained
d2034p,double,numeric,float64,q34: danyan environmental project (sewage disposal) t2,%8.0g,,,TRUE,Retained
d2035p,double,numeric,float64,"q35: treatment of  sewage, earlier stage t2",%8.0g,,,TRUE,Retained
d20361p,double,numeric,float64,what are the priority projects for this year from above 30 projects? rank 1 t2,%8.0g,,,TRUE,Retained
d20362p,double,numeric,float64,rank 2 t2,%8.0g,,,TRUE,Retained
d20363p,double,numeric,float64,rank 3 t2,%8.0g,,,TRUE,Retained
d20364p,double,numeric,float64,rank 4 t2,%8.0g,,,TRUE,Retained
d20365p,double,numeric,float64,rank 5 t2,%8.0g,,,TRUE,Retained
d2037p,double,numeric,float64,q37: what are the reasons for you to select the top five priority projects? t2,%8.0g,,,TRUE,Retained
d20381p,double,numeric,float64,q38-1: how important is this to the economical development? t2,%8.0g,,,TRUE,Retained
d20382p,double,numeric,float64,q38-2: how important is this in protecting the environment? t2,%8.0g,,,TRUE,Retained
d20383p,double,numeric,float64,q38-3: how important is this to you and your family's daily life convenience? t2,%8.0g,,,TRUE,Retained
d20384p,double,numeric,float64,q38-4: how important is this to the image of city? t2,%8.0g,,,TRUE,Retained
d2039p,double,numeric,float64,q39: do you think the government will seriously take into account your views and,%8.0g,,,TRUE,Retained
d2040p,double,numeric,float64,q40: do you think the government will use the results of the democracy deliberat,%8.0g,,,TRUE,Retained
d2041p,double,numeric,float64,"q41: do you agree with the following view? ""most people do not know much about p",%8.0g,,,TRUE,Retained
d2042p,double,numeric,float64,"q42: do you agree with the following view? ""common people like me do not have a",%8.0g,,,TRUE,Retained
d3043p,double,haven_labelled|vctrs_vctr|double,float64,q43: by how much did zeguo township's revenue increase from 2003 to 2004? t2,%8.0g,,,TRUE,Retained
d3044p,double,haven_labelled|vctrs_vctr|double,float64,q44: what is the figures for the floating population in zeguo township? t2,%8.0g,,,TRUE,Retained
d3045p,double,haven_labelled|vctrs_vctr|double,float64,q45: which of the below is not a major product of zeguo township? t2,%8.0g,,,TRUE,Retained
d3046p,double,haven_labelled|vctrs_vctr|double,float64,"q46: at the moment, how many parks does zeguo have? t2",%8.0g,,,TRUE,Retained
d4047p,double,numeric,float64,q47: what are your views on participating in this form of small group discussion,%8.0g,,,TRUE,Retained
d4048p,double,numeric,float64,q48: what are your views on this form of large group sessions with experts? t2,%8.0g,,,TRUE,Retained
d4049p,double,numeric,float64,q49: what are your views on the entire day of deliberation? t2,%8.0g,,,TRUE,Retained
d40501p,double,numeric,float64,q50-1: what are your views of the following questions? t2,%8.0g,,,TRUE,Retained
d40502p,double,numeric,float64,q50-2: did your small group moderator provide everyone with an equal opportunity,%8.0g,,,TRUE,Retained
d40503p,double,numeric,float64,q50-3: were your group members equal in the discussions? t2,%8.0g,,,TRUE,Retained
d40504p,double,numeric,float64,q50-4: did your small group moderator attempt to influence you or your group mem,%8.0g,,,TRUE,Retained
d40505p,double,numeric,float64,q50-5: did your small group moderator attempt leading you and your group members,%8.0g,,,TRUE,Retained
d40506p,double,numeric,float64,q50-6: was your small group discussion dominated only by a few people? t2,%8.0g,,,TRUE,Retained
wo3pre42,double,numeric,float64,,%8.0g,,,TRUE,Retained
wo3post4,double,numeric,float64,,%8.0g,,,TRUE,Retained
wo3pre41,double,numeric,float64,,%8.0g,,,TRUE,Retained
